"","LT.ctrl","LT.mt"
"Egr4",-0.0331559798254419,-0.672712443976714
"Fosb",0.939741112462296,0.608974974530318
"Gm17024",-0.343534816242779,0.412835507631823
"Fos",0.519665305622203,0.451499171465846
"Rgs1",1.82541373834447,1.97611946864592
"Atf3",0.799220916279266,0.0397193892962099
"Egr1",0.334882226238671,0.236690557532896
"Nr4a1",0.409979261313085,0.318318110703214
"Zfp36",0.390309804935101,0.390346124111538
"Egr2",0.534607360082816,0.11816762808415
"Ppp1r15a",0.622434436625229,0.32400179334323
"Frat2",0.76994656397481,0.00558284422277808
"Egr3",-0.301839448168193,-0.417161106184755
"Dusp1",0.719045093720921,0.399420224352298
"Ier2",0.511941518443966,0.23376556658368
"Tnfsf9",1.42802673865287,1.55825211160619
"Btg2",0.286409973942095,0.0840495288670006
"Arc",0.131978603292472,-0.50671028474356
"Gdf15",0.250567259814811,0.362125991559692
"Jun",0.354044235375025,-0.00488462170898292
"Ier3",0.357232655828111,0.630186987871776
"Junb",0.674119125077899,0.188498362071325
"Dusp8",0.139865627955875,-0.281949284040948
"Cxcl1",0.252284869848227,0.573490117877793
"Nfkbiz",0.602176564477292,0.24228158024146
"Cxcl2",0.830847560585695,1.02268187337657
"Pcdh10",-1.18435105924036,-0.520098185106487
"Ifrd1",-0.172786350971673,-0.279182938057855
"Zbtb10",-0.0374330631805925,-0.154445056983962
"Mir17hg",0.468138139358026,0.0616040319794814
"Slc25a25",-0.0558109163453025,-0.0235636774523806
"Zswim4",0.0176048209577457,-0.0860849569655938
"Stk17b",-0.121993496324826,-0.368898255859805
"Creb5",-0.0885819421017254,-0.345752694404318
"Hivep1",-0.270059019582627,-0.28500943109185
"4930523C07Rik",0.0379693854591567,0.0030752266373029
"Itpkc",-0.571237594626071,-0.422047133077837
"Arg2",-0.0200842895358499,0.6284393156771
"Fgf7",-0.00520836990392899,-0.00511301024488807
"Nfil3",0.296431733072695,-0.0406100346083382
"Fas",-0.360698990171816,-0.153806544253407
"Tnfrsf11b",0.242104543449293,0.209721824642657
"Arid5a",0.138706542285047,0.183984251480928
"Trib1",0.539772326087467,0.196271590368896
"Rasgef1a",0.0224217091545281,-0.332885479346557
