"","LT.ctrl","LT.mt"
"Egr4",1.06956984748275,-0.416266843834421
"Fosb",1.22978141424279,1.31502125214129
"Gm17024",-0.438777297182148,0.746785363350719
"Fos",1.34485719338873,1.43375687137415
"Rgs1",1.79450897772927,2.42501608810076
"Atf3",0.788222558118234,-0.67202342811602
"Egr1",0.368983917267941,0.379523622817971
"Nr4a1",0.99453754939843,1.05106158507031
"Zfp36",0.665166630446331,0.479956292196193
"Egr2",0.688355134664515,0.160346689257818
"Ppp1r15a",0.978640650502082,0.462641767006911
"Frat2",0.617270501500676,0.0211563123686579
"Egr3",-0.324059389753562,-0.450935091242734
"Dusp1",1.24686493786993,0.73778706319165
"Ier2",0.935912841467388,0.344907123797475
"Tnfsf9",0.775911715856798,1.82616378967263
"Btg2",0.557521191987942,0.040350984468253
"Arc",0.590620616474456,-0.0181753853477267
"Gdf15",-0.251391379111788,-0.170130729213436
"Jun",0.951841104967181,-0.0897912818393299
"Ier3",0.425226079358749,0.444853374874469
"Junb",1.14329460773713,0.111854868061929
"Dusp8",0.0445885336028739,-0.761277149847264
"Cxcl1",0.0364056163536736,0.314037745404896
"Nfkbiz",-0.142358366175971,-0.395072300536815
"Cxcl2",0.636236423073502,0.256535850734121
"Pcdh10",-1.33320570253365,-0.34178316078816
"Ifrd1",-0.429915151898417,-0.784326763756757
"Zbtb10",-0.259479848017009,0.18282051236492
"Mir17hg",0.268198559086563,0.155440743139763
"Slc25a25",-0.463212523872261,-0.799091781934697
"Zswim4",-0.258358739795823,-0.271429756833608
"Stk17b",-0.155266205904766,-0.181147792631654
"Creb5",-0.638169537155176,-0.560270073595782
"Hivep1",-0.639613488488441,-0.541276647958132
"4930523C07Rik",-0.287108101211721,-0.0794593341152879
"Itpkc",-1.09162409768286,-1.04193920412613
"Arg2",-0.674698265571793,0.68932840289208
"Fgf7",-0.00855675462789096,-0.0498022722837284
"Nfil3",0.611144297743685,-0.0494268786569825
"Fas",-0.496292105926414,0.0276178359247971
"Tnfrsf11b",0.138648471801351,0.603894919689206
"Arid5a",0.166205723288937,0.0946133600702378
"Trib1",0.965620621954281,0.399566049513233
"Rasgef1a",0.217145642389605,-0.656225009532728
"Klf10",0.128730451907669,-0.101222623167026
"Irf1",-0.727832223085681,-0.452038482047002
"Tnfaip3",-0.159073192361142,-0.238165400396226
"Nr4a3",0.0972733309075636,0.988504098192864
"Rel",-0.31733540989081,-0.309048322811114
"Klf5",0.640777843187395,0.730807425073632
"Gadd45b",0.825090216956648,0.546972063019413
"Pim1",0.848688305983134,0.185373137315634
"Mir155hg",1.22019582132917,0.986034491302163
"Zc3h12c",0.0561858894231261,0.783024750165478
"Nfatc1",-0.871614852298237,-0.868392063102407
"Cxcl10",0.588597809695831,0.167398203971881
"Zc3h12a",0.263266117088758,0.969763221459525
"Rnd1",-0.526652648692337,-0.0115714606497618
"Stx11",-0.311443778363642,-0.226535298668042
"Bcl3",0.0812135886633115,0.704771505368828
"Cgn",0.957711438972836,-0.122568719561022
"Pdgfb",0.682249918020057,-0.00529369704051609
"Gm8773",0.0292647171146218,-0.285875991074542
"Csf1",-0.488173832600167,0.174399761367068
"Plekhh1",0.25125267144724,-0.297718539788804
"Rrad",0.705588776312654,0.576694152258836
"Dot1l",-0.0320803563199816,-0.116059457154666
"Ccdc88c",0.564342861748628,-0.0385425300225502
"Errfi1",-0.266930201900262,-0.397545661543811
"Sik1",-0.236476740446329,0.0374962310743183
"Kcnk10",-0.469022296984744,-0.775853578091768
"Ccl1",0.787057700000036,-0.0138299680348722
"Zbtb46",0.365471486351219,-0.617055488092667
"Ccl2",0.105219842403678,0.90130702840912
"Micall2",0.471133580733927,0.207585141113311
"Slco5a1",0.160510399287559,0.120559210084566
"Wnt11",0.163812365171297,-0.2655208297449
"Tjp2",0.132000858946307,-0.113026759413181
"Ccl7",0.573709382871284,0.914958742648613
"Birc3",-0.497862146816407,0.104285833918773
"Angptl4",0.706975580158241,0.57606313072909
"Bahcc1",0.499681762664389,-0.015781959575096
"Bdkrb2",-0.259328059724972,0.288496873130931
"Icam1",-0.217397382654721,0.330925953842547
"Nfkb1",-0.370516844877791,-0.710218450619325
"Nfkb2",-0.597414283518612,-0.0928365464907969
"Nfkbie",-0.285110763020821,-0.121928203606329
