,cluster
Acpp,8
Adtrp,5
Angptl4,4
B4galt5,4
Bcl3,3
Bdkrb2,7
Ccl1,7
Ccl2,3
Ccl5,8
Ccl7,2
Cd274,9
Cebpb,2
Cgn,3
Cx3cl1,7
Cxcl10,3
Egln3,9
ENSMUSG00000041481,4
ENSMUSG00000097418,1
ENSMUSG00000097804,7
Exoc3l4,9
Flt1,4
Fpr1,8
Gadd45b,1
Gbp2,5
Gch1,7
Gda,4
Gdf15,10
Glrx,9
Gsap,5
Hivep3,3
Icam1,3
Ifih1,6
Ifnb1,6
Il1r1,4
Il1rap,9
Il1rl1,5
Il34,5
Irf1,1
Irg1,7
Itgal,8
Itpkc,1
Jak2,2
Kcnk10,7
Kcnn3,5
Klf10,1
Lcn2,8
Mmp1b,8
Mmp3,8
Mmp9,8
Nfkb1,2
Nfkb2,4
Nfkbie,3
Oasl1,6
Pdgfb,3
Pilra,8
Pim1,1
Ptger2,7
Ptges,7
Rab11fip1,3
Rab15,9
Rab20,2
Rbfox1,5
Rel,1
Rhof,2
Ripk2,3
Rsad2,6
Sdc4,2
Sik1,2
Slc39a4,9
Slc6a12,9
Slc7a2,5
Slco2a1,5
Slco3a1,5
Slfn2,3
Sod2,9
St3gal1,4
Timp1,5
Tmem132e,7
Tmem158,9
Tnfaip2,3
Tnfsf11,3
Tnip1,4
Trim47,2
U90926,8
Wnt11,4
Zbtb10,1
Zc3h12a,6
Zc3h12c,2
