"","X","index","gene","cluster","comment","gene_id","chip.seq.10k.peak","gene.2"
"1","ENSMUSG00000071341",1,"Egr4",1,"","ENSMUSG00000071341",FALSE,"Egr4"
"2","ENSMUSG00000003545",2,"Fosb",1,"","ENSMUSG00000003545",FALSE,"Fosb"
"3","ENSMUSG00000090582",3,"ENSMUSG00000090582",1,"","ENSMUSG00000090582",FALSE,"Gm17024"
"4","ENSMUSG00000021250",4,"Fos",1,"TNF specific","ENSMUSG00000021250",FALSE,"Fos"
"5","ENSMUSG00000026358",5,"Rgs1",1,"","ENSMUSG00000026358",FALSE,"Rgs1"
"6","ENSMUSG00000026628",6,"Atf3",1,"","ENSMUSG00000026628",FALSE,"Atf3"
"7","ENSMUSG00000038418",7,"Egr1",1,"","ENSMUSG00000038418",TRUE,"Egr1"
"8","ENSMUSG00000023034",8,"Nr4a1",1,"","ENSMUSG00000023034",FALSE,"Nr4a1"
"9","ENSMUSG00000044786",9,"Zfp36",1,"","ENSMUSG00000044786",TRUE,"Zfp36"
"10","ENSMUSG00000037868",10,"Egr2",1,"","ENSMUSG00000037868",FALSE,"Egr2"
"11","ENSMUSG00000040435",11,"Ppp1r15a",1,"","ENSMUSG00000040435",FALSE,"Ppp1r15a"
"12","ENSMUSG00000047604",12,"Frat2",1,"","ENSMUSG00000047604",FALSE,"Frat2"
"13","ENSMUSG00000033730",13,"Egr3",1,"","ENSMUSG00000033730",FALSE,"Egr3"
"14","ENSMUSG00000024190",14,"Dusp1",1,"","ENSMUSG00000024190",TRUE,"Dusp1"
"15","ENSMUSG00000053560",15,"Ier2",1,"","ENSMUSG00000053560",TRUE,"Ier2"
"16","ENSMUSG00000035678",16,"Tnfsf9",1,"","ENSMUSG00000035678",FALSE,"Tnfsf9"
"17","ENSMUSG00000020423",17,"Btg2",1,"","ENSMUSG00000020423",TRUE,"Btg2"
"18","ENSMUSG00000022602",18,"Arc",1,"","ENSMUSG00000022602",FALSE,"Arc"
"19","ENSMUSG00000038508",19,"Gdf15",1,"","ENSMUSG00000038508",FALSE,"Gdf15"
"20","ENSMUSG00000052684",20,"Jun",1,"","ENSMUSG00000052684",FALSE,"Jun"
"21","ENSMUSG00000003541",21,"Ier3",1,"","ENSMUSG00000003541",TRUE,"Ier3"
"22","ENSMUSG00000052837",22,"Junb",1,"","ENSMUSG00000052837",TRUE,"Junb"
"23","ENSMUSG00000037887",23,"Dusp8",1,"","ENSMUSG00000037887",FALSE,"Dusp8"
"24","ENSMUSG00000029380",24,"Cxcl1",1,"","ENSMUSG00000029380",TRUE,"Cxcl1"
