"","b1.LT.ctrl","b1.LI.ctrl","b1.TI.ctrl","b1.LT.ko","b1.LI.ko","b1.TI.ko","b2.LT.ctrl","b2.LI.ctrl","b2.TI.ctrl","b2.LT.ko","b2.LI.ko","b2.TI.ko"
"Egr4",-1.79214853477247,-1.24212585651069,0.550022678261775,-1.50720839912001,-0.999970969598177,0.507237429521836,-1.52313346853073,-0.278683912938453,1.24444955559228,-0.915516299710142,-0.359435720113477,0.556080579596665
"Fosb",-0.631445840515559,-0.38880916390364,0.242636676611919,-0.150820610382128,-0.357086398457523,-0.206265788075395,-0.346691724560722,-0.217387356768295,0.129304367792427,0.146726781646363,0.255896587216431,0.109169805570068
"ENSMUSG00000090582",-1.28499711237599,-1.17635145002183,0.108645662354154,0.0544743320183274,-0.266810237000129,-0.321284569018457,-0.907313784523687,-0.403302277972117,0.50401150655157,-0.635645323492715,-0.353543677301788,0.282101646190926
"Fos",-0.226182556563106,0.0382461925101966,0.264428749073303,-0.254587211964153,-0.32480316277273,-0.070215950808576,-0.0358808340483251,0.0101339840259339,0.0460148180742592,0.214716371206873,0.43030394903278,0.215587577825906
"Rgs1",0.789713140127918,1.5110349086012,0.721321768473278,0.938572791521725,1.3192523487586,0.380679557236874,0.633021400704586,0.691633427009765,0.0586120263051794,1.00481603477605,0.888206303650607,-0.116609731125446
"Atf3",-0.548888183634083,-0.224919175760196,0.323969007873887,-0.642555524495837,-0.430431981662404,0.212123542833433,-0.373247250285228,0.166248660087564,0.539495910372792,0.0806901151335969,0.22841429675801,0.147724181624413
"Egr1",-0.272199884588409,-0.0983346132160673,0.173865271372341,-0.125433521208104,-0.174929916879801,-0.0494963956716973,-0.126356519201352,-0.320876128092368,-0.194519608891016,-0.0528720564041083,0.0612648144592196,0.114136870863328
"Nr4a1",-0.345667889211982,-0.12428768517053,0.221380204041453,-0.113819540120297,-0.159767472712339,-0.0459479325920419,-0.328281141216145,-0.298501737763377,0.029779403452768,-0.125595365574406,-0.0611211835009918,0.064474182073414
"Zfp36",-0.480985818330584,-0.186719590136342,0.294266228194242,-0.346865316859008,-0.188807242945943,0.158058073913065,-0.400727488260625,-0.0525111810893145,0.34821630717131,0.119730899761815,0.524307267547701,0.404576367785886
"Egr2",-0.154612530547716,0.0839093039525939,0.23852183450031,-0.0691198462521851,-0.0509214062935372,0.0181984399586479,0.036559189513434,0.0774057968727302,0.0408466073592963,-0.0895034475131978,0.206746715713195,0.296250163226393
"Ppp1r15a",-0.374083023635041,-0.178530398496689,0.195552625138353,-0.200869182274148,-0.151856543827952,0.0490126384461962,-0.0887875724940194,0.145846073079666,0.234633645573685,-0.0608072429582799,0.236020376727991,0.296827619686271
"Frat2",0.040428839656658,-0.186024362100549,-0.226453201757207,-0.160314757079254,-0.113530790014999,0.0467839670642551,0.327564824189112,-0.165191727898154,-0.492756552087266,0.167740747712148,0.035847862122535,-0.131892885589613
"Egr3",-0.186938497420835,-0.0282545905146999,0.158683906906135,0.0910211986440918,-0.161421867663202,-0.252443066307293,0.0593237723269012,0.193245895979407,0.133922123652506,-0.464396683510406,-0.00902782676546304,0.455368856744943
"Dusp1",-0.287781145260885,0.0182631024140779,0.306044247674963,-0.144979865041243,-0.0448422756214952,0.100137589419748,-0.221442498068025,-0.0244879763592229,0.196954521708803,0.28551771066314,0.569644283141525,0.284126572478385
"Ier2",-0.448365827430479,-0.186906322557764,0.261459504872716,-0.422669953570169,-0.20953790389998,0.213132049670189,-0.333550487961174,0.0916975847266029,0.425248072687777,-0.163889763992677,0.0574602644960932,0.22135002848877
"Tnfsf9",1.00715238668994,2.16300009420899,1.15584770751905,0.773301157781335,0.975451247110637,0.202150089329302,1.17546725919142,1.94071066343055,0.76524340423913,1.88552974521187,2.50037082245897,0.614841077247098
"Btg2",-0.363245830283815,-0.16799314193453,0.195252688349285,-0.0815868981433053,-0.0485742684325769,0.0330126297107285,-0.0611579089168502,0.213548431073563,0.274706339990413,-0.241304832743148,-0.0497893543193727,0.191515478423775
"Arc",0.0700143171496586,0.407831229593741,0.337816912444082,-0.0133013303725868,-0.112064939376631,-0.0987636090040445,-0.561444674923216,-0.139953315529366,0.421491359393849,-0.221562090416882,0.0992893711861404,0.320851461603022
"Gdf15",0.299882991333895,0.392184311120897,0.0923013197870022,0.501043480737831,0.187143116025263,-0.313900364712568,-0.303804397921763,0.0619722949904142,0.365776692912177,0.608825488185923,0.941983449872804,0.33315796168688
"Jun",-0.401978409188267,-0.207921651781851,0.194056757406416,-0.279791978389597,-0.122060217263538,0.157731761126059,-0.227481831883343,-0.062579034126519,0.164902797756824,-0.21385260679866,-0.0409562614031947,0.172896345395465
"Ier3",-0.218744129797338,-0.137560004600798,0.0811841251965402,0.147906624722157,-0.0950301388562148,-0.242936763578371,0.0906080737017528,0.567591029725893,0.47698295602414,0.466036499388673,0.205501327554823,-0.26053517183385
"Junb",0.0182221494814131,0.270666101577817,0.252443952096404,-0.0703531963640824,0.000173551706294147,0.0705267480703767,0.00310586386425531,0.327907921134745,0.32480205727049,0.305907831018283,0.494798266409155,0.188890435390873
"Dusp8",-0.050396273848183,0.177557848482757,0.22795412233094,-0.0247775092189031,-0.0608171174113222,-0.036039608192419,-0.188133011097778,0.204431166408365,0.392564177506143,-0.213719159082645,-0.0226752269397202,0.191043932142925
"Cxcl1",0.029237125016601,-0.0752797224156713,-0.104516847432272,0.934621600815452,-0.227112285118183,-1.16173388593364,0.366182726576716,0.825809459860084,0.459626733283368,0.66003488135101,-0.122050256944509,-0.782085138295519
"Nfkbiz",0.603233346782679,0.0114871046189467,-0.591746242163732,0.640275133147618,-0.377880336804923,-1.01815546995254,0.863463353115887,0.25003882461176,-0.613424528504127,1.43035483571047,0.654843927809378,-0.77551090790109
"Cxcl2",1.18388321765509,2.35699260148852,1.17310938383343,1.36664922853178,1.23230324993593,-0.134345978595849,1.03445955123777,2.62965797482964,1.59519842359187,2.36399798722579,3.33893982647193,0.97494183924614
"Pcdh10",-0.823914472540937,-0.722421352410184,0.101493120130753,-0.664620542749709,-0.445888457563006,0.218732085186703,-0.805829375950937,0.0680110665024873,0.873840442453424,-0.367428545600997,-0.129125755674052,0.238302789926945
"Ifrd1",-0.143272468056542,0.00462334645287465,0.147895814509417,-0.291860382161422,-0.160877353447281,0.130983028714141,-0.176731661057197,0.120662911349052,0.297394572406249,-0.0446019510976543,0.228691611796939,0.273293562894593
"Zbtb10",0.0490415710052445,0.0125684367799219,-0.0364731342253226,-0.196390866655322,-0.118603673431915,0.0777871932234065,0.0415739486012557,0.0589825764231361,0.0174086278218803,-0.00741515452846248,0.0340852634329994,0.0415004179614619
"ENSMUSG00000089726",0.0486745284893618,0.103664927391755,0.054990398902393,-0.0707481776143647,0.031725826671395,0.10247400428576,-0.0741012576740828,0.0232209250482292,0.0973221827223121,0.277799364648227,0.275747413435886,-0.00205195121234086
"Slc25a25",0.0242934003594406,0.216255505058928,0.191962104699488,-0.105602916635658,-0.177734970261621,-0.0721320536259632,-0.136985713932011,0.315206017701606,0.452191731633617,0.0795485002151733,0.311295206282085,0.231746706066912
"Zswim4",0.410787331157439,0.647911513331473,0.237124182174034,-0.129339922891865,-0.151715788492767,-0.0223758656009015,0.181809174367838,0.367433981415292,0.185624807047454,0.299144761028446,0.546064856122615,0.246920095094169
"Stk17b",0.162668919839532,0.234641888789739,0.0719729689502069,-0.307746773603732,-0.0557834652528007,0.251963308350931,0.277898227513534,0.543601098244079,0.265702870730545,0.101342561423664,0.442220134152701,0.340877572729037
"Creb5",-0.034356731063826,0.0809151167016738,0.1152718477655,-0.145396623937412,-0.187641928898435,-0.0422453049610231,0.00257346431279224,0.0841898028459807,0.0816163385331885,0.049002108055648,0.0612999706527151,0.0122978625970675
"Hivep1",0.0459397547995746,0.157107733028282,0.111167978228707,-0.332074468660927,-0.202050264311565,0.130024204349362,0.109388212152767,0.361500910648664,0.252112698495897,0.224209079129904,0.517190544605755,0.292981465475851
"4930523C07Rik",-0.162436926494086,-0.0232730431052392,0.139163883388846,-0.265144267360145,0.181344387493422,0.446488654853567,-0.0289182426042863,0.178711150955039,0.207629393559326,0.114693405128822,0.258660433803759,0.143967028674937
"Itpkc",0.182221409855366,0.304845748747381,0.122624338892015,-0.140602765946842,-0.131756785928384,0.00884598001845748,0.14361947945827,0.492222370946764,0.348602891488494,-0.0308198895628036,0.207457081278426,0.23827697084123
"Arg2",0.236836172235577,1.150787693259,0.913951521023427,0.501611367366121,1.28771297267426,0.786101605308138,0.92733705950036,1.13928984273958,0.211952783239215,0.617316794544805,1.35734379464362,0.740027000098818
"Fgf7",0.169267505132557,-0.011718951723211,-0.180986456855768,0.10715749211552,-0.0699731995793196,-0.17713069169484,0.496048302924323,0.344823063126174,-0.151225239798149,0.0471294204222949,-0.0424058324061197,-0.0895352528284147
"Nfil3",-0.0317369928670959,0.0100094121574578,0.0417464050245538,0.00426226288293657,-0.0416853644200674,-0.045947627303004,-0.0541224302282795,-0.0848124772125552,-0.0306900469842756,0.134943633190239,0.158654939947687,0.0237113067574485
"Fas",0.329549619922846,0.536510814199637,0.206961194276791,-0.0919811775215163,-0.0286527904400379,0.0633283870814784,0.130351936186753,0.497534687991039,0.367182751804286,0.426692324849343,0.618562214630609,0.191869889781265
"Tnfrsf11b",-0.145608326518182,-0.0141371840641691,0.131471142454013,0.00470147830335587,0.0203645851034095,0.0156631068000535,0.127743795824152,0.313289536127654,0.185545740303503,0.125612845479384,0.250717007954017,0.125104162474632
"Arid5a",0.269926180973797,0.367556010284472,0.0976298293106753,-0.0653797632252826,-0.146028025345961,-0.0806482621206789,0.103819627914697,0.304059814443169,0.200240186528472,0.209525180853879,0.420027431627515,0.210502250773636
"Trib1",0.13228228790314,0.152610201536789,0.020327913633649,0.139504561658292,0.0299609807403907,-0.109543580917901,-0.0704920068290229,-0.11898903613332,-0.0484970293042977,0.167259004864718,0.103354372578035,-0.063904632286683
