"","LPS0","LPS30","LPS1","LPS3","TNF0","TNF30","TNF1","TNF3"
"4930523C07Rik",1.74982446784565,1.99522390039844,1.82168860850281,1.80581829102269,1.74982446784565,1.83920231353213,1.99051948744019,1.7835848115136
"Acpp",NA,2.25725920353142,2.44834961567481,NA,NA,2.1693147666868,NA,NA
"Adarb1",2.14869244782977,1.96451244684485,2.03011929192919,2.1122274180794,2.14869244782977,1.95707289097282,2.05600550775505,2.1084775014072
"Adtrp",NA,NA,2.43921604417392,2.06524020005804,NA,2.0541650589015,2.50541032622913,NA
"Angptl4",1.95114613898399,2.03886696247148,1.95222120686881,1.99628793176722,1.95114613898399,1.78189271925087,2.05640979059327,2.11395727368084
"Arc",1.27759793535668,1.44219338666584,1.32263539673272,1.38628563134197,1.27759793535668,1.40265892516446,1.32440530615201,1.35419905828494
"Arg2",NA,NA,2.35796932956579,2.01521999276999,NA,NA,2.28422857407579,NA
"Arid5a",1.6600382521614,1.74992553239426,1.694034468096,1.72623121521253,1.6600382521614,1.6824821301756,1.84220500302098,1.68471670936061
"Atf3",1.66073575085238,1.69208693915895,1.84892024563913,1.78087940982686,1.66073575085238,1.62970103983378,1.77819169932723,1.80979293464063
"Atp2b4",2.50134555951455,2.38949418160604,2.21153362606297,2.4569063322968,2.50134555951455,2.19977621257993,NA,2.89573534436233
"B4galt5",2.09670311618849,1.99008529666335,2.18746546985278,2.12101500594414,2.09670311618849,1.96279038243362,2.12183414468163,2.32586418892906
"Bahcc1",1.8908982158568,1.78178314361556,2.10019865412546,1.8123304830234,1.8908982158568,1.73426095721887,2.18952106767886,1.83220510150992
"Bcl3",1.51340817241802,1.75582165009756,1.6372691296536,1.43961287565766,1.51340817241802,1.51508743755161,1.48093370523501,1.34775279539759
"Bdkrb2",1.58294452466946,NA,NA,1.79958300096266,1.58294452466946,1.71551985379493,1.97537205206334,2.24366118024196
"Birc3",1.81608294697241,1.82726092574292,1.91764797632906,1.75360181638096,1.81608294697241,1.72188857952414,1.8669816868378,1.77052287293603
"Btg2",1.32654143640129,1.51096382583428,1.3889669133635,1.44249718109437,1.32654143640129,1.40026102499919,1.37084446045036,1.4015204008957
"Ccdc88c",2.13349372417229,1.86098942422363,2.14109647790904,1.99799570256393,2.13349372417229,NA,2.24586360495484,NA
"Ccl1",NA,NA,1.49801521496621,2.19638614410197,NA,2.35123404909463,NA,NA
"Ccl2",1.82348705636303,2.58081592510182,2.18587716164425,2.08968720019378,1.82348705636303,1.9280189024824,2.07747980487494,1.97712599346067
"Ccl3",1.55906679476819,NA,NA,NA,1.55906679476819,1.27318256476521,NA,NA
"Ccl5",NA,NA,NA,NA,NA,NA,2.12838612480838,2.6984101879659
"Ccl7",1.76213266338784,2.36791273083807,1.88184005835252,1.82019066412093,1.76213266338784,1.74738699580569,1.67517572972882,1.53424753463213
"Cd274",2.02550422054421,2.00756783907288,2.3020663677951,1.87853762356932,2.02550422054421,NA,1.89308951770129,2.17295793881298
"Cebpb",1.62015072554209,1.63060334676125,1.67443345861056,1.53401895135317,1.62015072554209,1.55791422712169,1.67066712006101,1.59813759340942
"Cgn",2.10118613918919,NA,2.00074979050154,1.97811869980541,2.10118613918919,1.96080067440249,NA,2.0840434588265
"Ch25h",1.32976509052075,1.61461959357966,2.30454242271327,1.65821125897718,1.32976509052075,1.30388473701292,NA,1.36132932097806
"Creb5",1.74691311155035,1.70194392220803,2.00498665240848,1.69422101427234,1.74691311155035,1.71165473718568,1.82378994720664,1.46632190131999
"Csf1",2.11964563970253,2.11557336491978,2.12984530229757,2.03246644568638,2.11964563970253,2.06444659841474,2.21797774282109,2.08143313499163
"Csf3",1.85049098819605,2.28335888111431,NA,2.23546397107347,1.85049098819605,2.22263572658233,NA,NA
"Cx3cl1",2.90795131511047,2.22133181628453,2.29215572160849,NA,2.90795131511047,2.05589810875256,NA,2.78729014938839
"Cxcl1",1.25604718983799,2.31192420540727,2.14761179268655,1.83652745888382,1.25604718983799,1.14180399718503,1.27693580694689,1.15647130180243
"Cxcl10",2.10637407212073,2.25645415735799,2.13329377790451,2.07446185867239,2.10637407212073,2.07999830332582,2.22097330698662,2.16311649890939
"Cxcl2",1.79992156912441,3.15836249209525,NA,NA,1.79992156912441,1.23030873372374,1.47740857717235,NA
"Cxcl3",NA,1.92862567681614,NA,NA,NA,2.36308742621494,NA,2.33825471230971
"Dot1l",1.99090454526827,1.94445640261776,2.00827060302012,1.86770635732648,1.99090454526827,1.93454281175232,2.09337189869166,1.85270349124567
"Dusp1",1.10376701607738,1.38605921861519,1.1256826012065,1.13716272334714,1.10376701607738,0.87552257663924,1.12007948845756,1.06205789324155
"Dusp8",1.52944953847999,1.71786380145421,1.65299381245539,1.53914096604346,1.52944953847999,NA,1.39478564065759,1.38980143524525
"Egln3",2.14936204139374,2.04616064366058,2.04296078356911,2.07551949440547,2.14936204139374,2.00086013229136,2.09717922727722,2.77017132185993
"Egr1",1.34637565966415,1.49459019375415,1.23945707664324,1.22432349943901,1.34637565966415,1.38465566282398,1.2904502287051,1.22950766450899
"Egr2",1.32352500235001,1.62807296985933,1.41614744153339,1.55783879979892,1.32352500235001,1.5125066421408,1.37672200479383,1.33208672917743
"Egr3",1.40681797321725,1.84505453731262,1.93370358381741,1.87737547783654,1.40681797321725,1.79144876029729,1.52481800068683,2.03094147817715
"Egr4",1.57813225885986,NA,1.61299046124176,NA,1.57813225885986,1.4819319814224,1.26952177077596,NA
"ENSMUSG00000041481",2.05578309395569,1.93756797038404,2.10895990375498,2.08345424441785,2.05578309395569,1.98824164342063,2.18182414342862,2.3497200790669
"ENSMUSG00000073234",2.54029009875066,NA,2.23865997185731,2.19976081051295,2.54029009875066,NA,2.37133723525674,NA
"ENSMUSG00000089726",1.33551372452759,1.8239334809231,1.34893939182898,1.61513222391248,1.33551372452759,1.43518351089156,1.29120739376931,1.38593999727213
"ENSMUSG00000090582",2.34759817161594,NA,1.1521235132653,1.37029330568971,2.34759817161594,1.39276675644606,1.16630437815259,NA
"ENSMUSG00000097418",2.14345850647522,NA,1.70499955382738,1.59455085328899,2.14345850647522,2.26665595379369,2.09748696158554,1.67744067946582
"ENSMUSG00000097804",1.71296218130068,2.28335888111431,2.03740695858996,2.21803915251704,1.71296218130068,NA,2.29897102875198,2.22276537106169
"Errfi1",1.55318740690014,1.5735363257221,1.47538482242712,1.50606529273756,1.55318740690014,1.46978847671438,1.45161723828976,1.59956579929277
"Exoc3l4",2.27633685908309,2.11559121536484,2.25743148369248,2.12964155710631,2.27633685908309,1.97366513481639,2.67831787656382,2.20979198255117
"F2rl1",NA,2.44780690743242,2.12865783580312,2.59969195079719,NA,2.15027874782809,2.52238172883288,2.66460041717391
"Fas",2.13158708207791,2.25004403046895,2.06783955120349,2.27666332213005,2.13158708207791,2.3253008656186,2.25795077350519,2.33463644335749
"Fgf7",1.77484513473294,1.74689059534905,1.7178282806508,1.76465245422212,1.77484513473294,1.58008938314336,1.88409544301371,1.77990270687763
"Flt1",2.50983989350208,2.53934621037822,2.12113159748852,2.37404767001331,2.50983989350208,2.24152828881222,2.434421483299,NA
"Fos",1.05969703924977,1.13696123546987,1.22722964264599,1.08396874455187,1.05969703924977,0.949773215958464,1.30371784460433,0.949699422795766
"Fosb",1.63016215876883,1.73378024268979,1.68834680858401,1.45193189335233,1.63016215876883,1.59363010448668,1.55864662188786,2.28527462624061
"Fpr1",NA,2.36621466524603,NA,2.13174668737663,NA,NA,1.98167302310118,NA
"Fpr2",2.3045205136456,NA,1.66522035067607,NA,2.3045205136456,NA,2.1254238795712,2.11074856418663
"Frat2",1.74811284913975,NA,1.8371918820042,NA,1.74811284913975,NA,1.47262702126635,1.42315210621597
"Gadd45b",1.5481734622629,1.50296606170108,1.39884619998832,1.6749137091991,1.5481734622629,1.76652868538545,1.53948062734638,2.00237906166163
"Gbp2",2.35861762897687,2.17338954640648,2.27907598711557,NA,2.35861762897687,2.08141191889972,2.24637874641337,2.59592363571156
"Gch1",1.86274717844416,2.21924656673537,NA,NA,1.86274717844416,2.1149114979346,NA,2.37015103266527
"Gda",2.32427357463421,2.2562112955478,2.47553027310237,2.20628326027915,2.32427357463421,NA,2.42063544640332,NA
"Gdf15",1.81026449013128,2.09683781891374,NA,1.28901293600991,1.81026449013128,1.42775932066708,NA,1.36274421828462
"Gjb2",1.96414405181614,2.27368615347013,2.23740860614741,2.36387422320902,1.96414405181614,1.98758301177063,NA,2.29704438377997
"Glrx",2.42611833897381,2.4603055408382,2.16354344155456,3.04229691162778,2.42611833897381,2.29550038559103,NA,NA
"Grem2",2.33313323240349,2.34343275658162,2.18182636949385,2.33372306365531,2.33313323240349,2.07033107141298,2.33471260438004,NA
"Gsap",2.2831375174211,2.45766991701224,2.4119007772638,NA,2.2831375174211,2.19609997407212,NA,2.50807634077529
