"","sp.LT.avg.ctrl","sp.LT.avg.ko","sp.avg.ratio","sp.LT.peak.ctrl","sp.LT.peak.ctrl.1","sp.peak.ratio","cluster","cluster"
"Egr4",0.288741716783354,0.351791273467328,0.82077566602905,0.17255741994054,0.261844340434013,0.65900763657722,1,1
"Fosb",0.645529154450127,0.900737973714166,0.716666970071559,0.593486117262971,0.968041824109838,0.61307900390431,1,1
"Gm17024",0.410371625783117,1.03848064806239,0.395165404910331,0.259293919246247,1.27708116094051,0.203036366972393,1,1
"Fos",0.854893993986456,0.838226936250979,1.01988370573012,0.982587935841602,0.873953840676843,1.12430186825499,1,1
"Rgs1",1.72873069435091,1.91663124326114,0.901963119107609,2.63071900470705,2.2913077007904,1.14812995382487,1,1
"Atf3",0.683546702340945,0.640577253754558,1.06707926067392,0.57485271180516,0.586738405756679,0.979742771506169,1,1
"Egr1",0.828055926702502,0.916728530385909,0.903272778424297,0.799060979783865,0.875703091861474,0.912479340555152,1,1
"Nr4a1",0.786943580219611,0.924138161276685,0.851543214201282,0.617101450782159,0.726051703453518,0.849941468144583,1,1
"Zfp36",0.716487868216338,0.786290693070024,0.911225167143789,0.52034393312977,0.547635243282064,0.950165168354153,1,1
"Egr2",0.898373619706395,0.953219357026359,0.942462627394538,0.840654562095171,1.0842566890661,0.77532799250632,1,1
"Ppp1r15a",0.771595682773192,0.870026239577247,0.886864841166304,0.660522964448137,0.719028920172216,0.918631985330901,1,1
"Frat2",1.02841947788683,0.894829821939046,1.14929057198642,1.26393076910979,0.86008757563622,1.46953729470495,1,1
"Egr3",0.87846791682553,1.06512385397443,0.824756589149324,0.778802874270051,0.910886226297743,0.85499467637738,1,1
"Dusp1",0.819160953959991,0.90439199961081,0.905758735495785,0.689296933107111,0.871080250187864,0.79131277853958,1,1
"Ier2",0.732872518896118,0.746042666566826,0.982346656215636,0.550715414266895,0.527108110849445,1.04478645448921,1,1
"Tnfsf9",2.00993993236386,1.7091762293845,1.17596997770539,2.15807795938733,2.67160265245162,0.807784030835181,1,1
"Btg2",0.777413555993866,0.945017598964768,0.822644527303506,0.512564974781318,0.827678347417853,0.619280396038378,1,1
"Arc",1.04972710094967,0.990822592203209,1.05945010661846,1.23473005713722,1.21202064549746,1.01873681914919,1,1
"Gdf15",1.23104456637799,1.41523681287054,0.869850582731136,1.7713361988525,1.38462364725099,1.27929073172286,1,1
"Jun",0.756819722669058,0.823709779082846,0.918794145568763,0.474241228261296,0.663868320507927,0.714360383846081,1,1
"Ier3",0.859313145525781,1.10796063521792,0.775580935108556,0.634361314397641,0.829253689589207,0.764978585397538,1,1
"Junb",1.01271073485987,0.952404804552288,1.06331964099649,0.662529244981711,0.731158286594361,0.906136546803955,1,1
"Dusp8",0.965671045735736,0.982972179703238,0.982399162128144,0.691452911093746,0.69805856791192,0.990537102297973,1,1
"Cxcl1",1.020472372893,1.9113892381711,0.53389040416981,0.656819049315509,1.9252101611629,0.341167454112524,1,1
"Nfkbiz",1.51911737755624,1.55862637313255,0.974651400581071,0.983782864691008,1.67975396657729,0.585670809098065,1,1
"Cxcl2",2.27187461989289,2.57870944732934,0.881012252949155,1.27471321350649,2.2540744901763,0.565515123418474,1,1
"Pcdh10",0.564907095745915,0.630854609801313,0.895463212869019,0.510396247081997,0.455266599140468,1.12109310906096,2,2
"Ifrd1",0.905462960712686,0.81684803833486,1.10848397525501,0.913467299373864,0.67459889779602,1.35408952246772,2,2
"Zbtb10",1.034577392256,0.872731111701289,1.18544804738221,1.41924975935684,0.833541256802047,1.70267487994766,2,2
"Mir17hg",1.03431421426109,0.952144090722318,1.08630009295803,0.889353852511174,0.923338716400949,0.963193502789265,2,2
"Slc25a25",1.01698147541093,0.929416449044417,1.09421505984378,0.676733443854068,0.984974970971655,0.687056487523217,2,2
"Zswim4",1.32941112416819,0.914249651731441,1.45410077176459,1.25172133984185,0.783253946985656,1.59810409466697,2,2
"Stk17b",1.11935598121765,0.807902570779561,1.38550862653842,1.24713377108259,0.716343627576076,1.74097140404889,2,2
"Creb5",0.976467050902367,0.904130780873972,1.08000642336109,0.821538047561638,0.867163305229071,0.947385622301694,2,2
"Hivep1",1.03235542466889,0.79439339424424,1.29955187461124,0.636835549427385,0.649315764000839,0.98077943696214,2,2
"4930523C07Rik",0.893514516601964,0.832115520235489,1.07378662562272,0.705437881928193,0.680441547321867,1.03673546200215,2,2
"Itpkc",1.13462960274528,0.907140068005556,1.25077663611517,1.43310117264606,0.689564035702083,2.07827134021997,2,2
"Arg2",1.17840558430167,1.41579400079905,0.832328420403388,0.999320109434054,1.20018538922895,0.832638122745401,2,2
"Fgf7",1.12448740738629,1.07710395206074,1.04399153418284,1.06030570644872,1.02451235900878,1.03493696013055,2,2
"Nfil3",0.978241793266593,1.00295874396838,0.975355964689043,0.75925662439406,0.793441561480951,0.95691562082646,2,2
"Fas",1.25662102173346,0.938233437315941,1.33934794024006,0.917490437285696,0.884164320451401,1.03769222085017,2,2
"Tnfrsf11b",0.903998117510399,1.00326413214544,0.90105694855973,0.996209683132436,0.899396033192545,1.10764295857103,2,2
"Arid5a",1.20574613115761,0.955693715494888,1.2616449303878,1.17413366383238,0.733407971496182,1.60092841837689,2,2
"Trib1",1.09602620169719,1.10152677374616,0.995006410937917,1.00702909634896,1.28654632462305,0.782738310370605,2,2
"Rasgef1a",1.05924068599201,0.542333384968719,1.95311724365466,1.02807469851328,0.39592407944537,2.59664605384309,3,3
"Klf10",1.2950775791731,0.93953079992782,1.37843014755088,1.7807990927235,0.8442765453055,2.10926041073322,3,3
"Irf1",1.60127609930506,0.752941933402024,2.12669268142631,1.70236504358315,0.541552183008456,3.14349216381345,3,3
"Tnfaip3",1.5132924693861,0.894676555100195,1.69144084614649,0.822358218099553,0.970351403689232,0.847484957483428,3,3
"Nr4a3",1.02552569206843,0.948271058668672,1.08146893516736,1.20849563047736,0.719790118741227,1.67895557192531,3,3
"Rel",1.66804610444079,1.05185807584628,1.58580909605961,2.39879548563611,0.830545188883566,2.88821790522996,3,3
"Klf5",1.31617837069108,1.24761486076562,1.0549556694791,1.36039596094346,1.19006586265096,1.14312661478506,3,3
"Gadd45b",1.28858166886983,0.964003494712845,1.33669813018019,1.68365506089511,0.900004450883853,1.87071859393769,3,3
"Pim1",1.75719891300272,1.07015999359722,1.64199645241465,1.65384629875163,0.893194308840546,1.85160863922038,3,3
"Mir155hg",2.5352463666,1.11064137263414,2.28268676916571,2.50399793292348,0.954946404103889,2.62213452206588,3,3
"Zc3h12c",1.6552702934426,0.991506409443613,1.66944991749621,2.72064486610762,0.850817841887623,3.19768196218312,3,3
"Nfatc1",0.974637313726742,0.790427250008613,1.2330512564137,0.780143640644715,0.709128652041458,1.10014401251285,3,3
"Cxcl10",4.43826385604973,0.766457580766492,5.79061903414311,3.61733532986774,0.584826680175091,6.18531173848763,3,3
"Zc3h12a",2.9215361487641,2.02761310631933,1.44087456312979,3.66143522906935,2.41923861867262,1.51346593130953,3,3
"Rnd1",2.03354103615258,1.45911992114524,1.39367642555143,1.54158187426161,1.85514435773641,0.830976774304829,3,3
"Stx11",1.32395771272449,0.732126655634938,1.80837250294662,0.96252254980335,0.772214644564494,1.24644430998351,3,3
"Bcl3",1.96159746339394,1.34938944848398,1.45369260564307,1.80552274002554,1.51447879453468,1.19217432858166,3,3
"Cgn",1.87624451583796,0.879383323292827,2.13359119526217,3.75900455739106,0.708379411669863,5.30648476715318,4,4
"Pdgfb",2.51960411930605,0.972969890050561,2.58960132792508,3.93102747758811,0.85531433495801,4.59600326677688,4,4
"Gm8773",1.22457469777071,0.707308064105556,1.73131731407484,0.968392875664026,0.599779306094328,1.61458200678855,4,4
"Csf1",1.66127953159507,1.01207724061074,1.64145528121211,1.26132501040969,1.00161552781483,1.25929059143227,4,4
"Plekhh1",1.3701542164394,0.895194425208283,1.5305660735327,1.23065682624159,0.865196988689139,1.42240072761482,4,4
