"","b1.TL.ctrl","b1.IL.ctrl","b1.TI.ctrl","b1.TL.ko","b1.IL.ko","b1.TI.ko","b2.TL.ctrl","b2.IL.ctrl","b2.TI.ctrl","b2.TL.ko","b2.IL.ko","b2.TI.ko"
"Egr4",0.507808308523803,0.325523844937841,0.182284463585962,0.512249353111165,0.3117173938846,0.200531959226564,0.786743704270205,0.0906646390413631,0.696079065228842,0.392132949506407,0.129859775429598,0.262273174076809
"Fosb",0.248950015174307,0.140231175304257,0.108718839870049,0.0722513523037327,0.184125935857912,-0.111874583554179,0.211222150622772,0.126454508111852,0.0847676425109195,-0.0655294230987796,-0.110139160871687,0.0446097377729079
"ENSMUSG00000090582",0.38520742408402,0.33767193070524,0.0475354933787803,-0.0315230592639801,0.10170006389173,-0.13322312315571,0.453707136695686,0.167134841612725,0.286572295082961,0.345028089018355,0.173061778930407,0.171966310087948
"Fos",0.12471763644786,-0.0192231479680517,0.143940784415912,0.108783284818777,0.142320625100691,-0.0335373402819142,0.019212971933663,-0.00534042737816216,0.0245533993118252,-0.13049784385325,-0.246562709921398,0.116064866068148
"Rgs1",-0.322908013946103,-0.559761544341801,0.236853530395698,-0.477441681674825,-0.620403329933112,0.142961648258287,-0.614103879588438,-0.658491366709048,0.0443874871206102,-0.794014032540706,-0.727614741525957,-0.0663992910147481
"Atf3",0.2971393229959,0.108283948311853,0.188855374684048,0.305127053302472,0.189048269993448,0.116078783309023,0.298669780896737,-0.110098228551034,0.408768009447771,-0.0597557928501301,-0.160858922178185,0.101103129328054
"Egr1",0.138716419089016,0.0471212826157169,0.0915951364732988,0.0872152259973892,0.123771873931121,-0.036556647933732,0.0910174335188176,0.24768428094049,-0.156666847421672,0.0365588220784078,-0.040719846478332,0.0772786685567399
"Nr4a1",0.170747432694442,0.0567411545759323,0.114006278118509,0.0662336764242184,0.0944877545306753,-0.0282540781064569,0.193976265090766,0.174503895426031,0.019472369664735,0.0649291363748879,0.0308921959463605,0.0340369404285273
"Zfp36",0.2556407948867,0.0892667797662148,0.166374015120485,0.244751683761893,0.125909269696994,0.118842414064898,0.256317648669902,0.0296755062913243,0.226642142378578,-0.0796111558860062,-0.304594099581896,0.22498294369589
"Egr2",0.0899252614541096,-0.0449158295184528,0.134841090972562,0.0528756181649785,0.0387074848902976,0.0141681332746809,-0.0316365363334238,-0.0660477914145089,0.0344112550810851,0.0598141728631246,-0.124771322257551,0.184585495120676
"Ppp1r15a",0.238144950330613,0.105977352944188,0.132167597386425,0.192729872672543,0.143199608845194,0.049530263827349,0.0829959878681714,-0.125718779249788,0.20871476711796,0.0489812793105752,-0.171711490285973,0.220692769596548
"Frat2",-0.0344747736637235,0.171692443429162,-0.206167217092885,0.136552212641615,0.0951230668439201,0.041429145797695,-0.225477755604855,0.134668725198432,-0.360146480803286,-0.170844049232,-0.0381982066950306,-0.13264584253697
"Egr3",0.105737618878786,0.0151160614204246,0.0906215574583616,-0.0618029430352515,0.119668523615231,-0.181471466650482,-0.0364273789207061,-0.113356435656223,0.0769290567355167,0.313701233486352,0.00518558565187785,0.308515647834474
"Dusp1",0.179720789816329,-0.0102406942244418,0.189961484040771,0.125166907131061,0.037379373634657,0.0877875334964041,0.210525827216863,0.0217235933992147,0.188802233817648,-0.200111604465243,-0.368060522370813,0.16794891790557
"Ier2",0.263150746835345,0.0998618965659769,0.163288850269368,0.317557073824726,0.14809846496084,0.169458608863886,0.285595777924829,-0.0676157935735406,0.353211571498369,0.121465735069574,-0.0394228740497198,0.160888609119294
"Tnfsf9",-0.555576458113132,-0.908199100337149,0.352622642224017,-0.871838449534675,-1.0448590368432,0.173020587308523,-0.840147489727718,-1.13676677510338,0.296619285375663,-0.911058158017987,-1.03854426476054,0.127486106742556
"Btg2",0.261220306794557,0.112669967336066,0.148550339458491,0.104849628185814,0.0617087129567793,0.0431409152290345,0.0669171044004762,-0.212616692941411,0.279533797341887,0.166816033293015,0.0321734581414798,0.134642575151535
"Arc",-0.0568210138153873,-0.295364682046921,0.238543668231534,0.0114279952805763,0.0996592875904696,-0.0882312923098933,0.370263697674369,0.0805568738013501,0.289706823873018,0.228336378058348,-0.091484697516695,0.319821075575043
"Gdf15",-0.40487185008488,-0.513473526406651,0.108601676321772,-0.737466273255086,-0.305781600440689,-0.431684672814398,0.591560899931081,-0.106115628994722,0.697676528925803,-0.439613241582443,-0.666717340347466,0.227104098765023
"Jun",0.388716543465201,0.187539784820275,0.201176758644927,0.417589677779245,0.172264889864503,0.245324787914743,0.441085792106163,0.114490407688166,0.326595384417997,0.317238999132001,0.0571723292082313,0.260066669923769
"Ier3",0.151482117229008,0.0925648906814394,0.058917226547569,-0.15124846334088,0.105686293597338,-0.256934756938218,-0.0974678243878324,-0.520790093190446,0.423322268802614,-0.434400626055608,-0.208920020689632,-0.225480605365976
"Junb",-0.0144653519963569,-0.197151699228142,0.182686347231785,0.0762818585867738,-0.000183614915032747,0.0764654735018066,-0.00302112962247187,-0.285618019811037,0.282596890188565,-0.300138432430867,-0.456080502673831,0.155942070242964
"Dusp8",0.0501869513258616,-0.163483425267864,0.213670376593726,0.0373569943518309,0.0928520363352346,-0.0554950419834037,0.235671340780529,-0.228357530934148,0.464028871714678,0.20159512424679,0.0200004913646765,0.181594632882114
"Cxcl1",-0.0139582296247858,0.0372689255781385,-0.0512271552029243,-0.368169981237551,0.131641207504393,-0.499811188741944,-0.22075713703416,-0.429204037155458,0.208446900121298,-0.343106337988327,0.0825020301300745,-0.425608368118402
"Nfkbiz",-0.360280451585278,-0.00836131655959045,-0.351919135025688,-0.375287323989844,0.313531835117854,-0.688819159107698,-0.66659708301691,-0.235525075098328,-0.431072007918582,-0.810985033523678,-0.470447114890195,-0.340537918633483
"Cxcl2",-0.76569974560303,-1.10074776251798,0.335048016914947,-0.866593650237867,-0.813021211317069,-0.0535724389207977,-0.772299804741255,-1.26515853431894,0.492858729577685,-1.24622144832324,-1.39459934480629,0.14837789648305
"Pcdh10",0.977332847633652,0.824739403364724,0.152593444268928,1.0164371085505,0.629077408877416,0.387359699673087,0.806067207401258,-0.049612472319341,0.855679679720599,0.594131458515088,0.19179012279492,0.402341335720168
"Ifrd1",0.171296446657002,-0.00524932243085122,0.176545769087853,0.425369612281795,0.223797885486939,0.201571726794856,0.271491012421238,-0.16715047332193,0.438641485743168,0.0522815860566165,-0.244088692689804,0.296370278746421
