"",X0.ifnr.l.1,X0.5.ifnr.l.1,X1.ifnr.l.1,X2.ifnr.l.1,X3.ifnr.l.1,X5.ifnr.l.1,X8.ifnr.l.1,X0.ifnr.t.1,X0.5.ifnr.t.1,X1.ifnr.t.1,X2.ifnr.t.1,X3.ifnr.t.1,X5.ifnr.t.1,X8.ifnr.t.1,X0.ifnr.1,X0.5.ifnr.1,X1.ifnr.1,X2.ifnr.1,X3.ifnr.1,X5.ifnr.1,X8.ifnr.1,X0.ifnr.l.2,X0.5.ifnr.l.2,X1.ifnr.l.2,X2.ifnr.l.2,X3.ifnr.l.2,X5.ifnr.l.2,X8.ifnr.l.2,X0.ifnr.t.2,X0.5.ifnr.t.2,X1.ifnr.t.2,X2.ifnr.t.2,X3.ifnr.t.2,X5.ifnr.t.2,X8.ifnr.t.2,X0.ifnr.2,X0.5.ifnr.2,X1.ifnr.2,X2.ifnr.2,X3.ifnr.2,X5.ifnr.2,X8.ifnr.2
Fosb,0.00971940811263027,0.0394331082348947,0.42011404547191,0.134744786608411,0.0210037480119843,0.0146824100289814,0.010527300806292,0.00971940811263027,0.10020905601166,0.707875101458789,0.136412257891354,0.0259000476945083,0.0131264020683647,0.0140318410185781,0.00971940811263027,0.058592076161351,0.630068871645876,0.0992033553462412,0.0239056012861244,0.0161532618456097,0.0137047109153961,0.0111274851018449,0.114437863798284,0.688488796384785,0.813648385231238,0.220999338389899,0.0666935585590357,0.0213327718494645,0.0111274851018449,0.214697233461001,0.893422499886301,1,0.265165734075275,0.0454051060124608,0.0330054157294563,0.0111274851018449,0.176836507109444,0.787639666570508,0.880337893034995,0.292149578150076,0.0652760646953433,0.038323801015543
Gm17024,0.0141037522389584,0.0661590980407482,0.249780382985896,0.0981033061358045,0.0500158602824585,0.0189244767576465,0.0375646285649975,0.0141037522389584,0.201064113612761,0.963309836620907,0.0461032609555807,0.023757742929214,0.0222754478957477,0.0322330004111667,0.0141037522389584,0.0919976102956818,1,0.0305519529508748,0.0251090520914008,0.0188606235887736,0.0277134287939607,0.0583137717376723,0.17715177977067,0.304008635482493,0.072629794339336,0.0507501757040218,0.0641112664273611,0.0279193440422995,0.0583137717376723,0.409939371443295,0.751757107438078,0.0767322110216592,0.0530734617071257,0.0295065684213788,0.0365016932228401,0.0583137717376723,0.0878084412972673,0.660620772621923,0.037576912488634,0.0594172420280816,0.0505994960058635,0.044022381392444
Atf3,0.0487070099631491,0.14983390761083,0.574852711805158,0.265261005995776,0.0775711353513345,0.0548516776714642,0.0269268143902645,0.0487070099631491,0.320546554300289,1,0.269602607586293,0.0450006435377774,0.0329152201990153,0.0358576804009412,0.0487070099631491,0.19263923801251,0.762673213775227,0.283605283186546,0.033680870241645,0.0372553940347685,0.0415606754662163,0.0494382854707888,0.200252391435875,0.476570854865531,0.573486846856031,0.181649620692042,0.0799476146630181,0.0330822060023859,0.0494382854707888,0.346911286167769,0.69535396428734,0.655148432486137,0.20558718409793,0.0607805704346444,0.0519867689987309,0.0494382854707888,0.143968959137502,0.445883201724781,0.513912169309552,0.170572514301886,0.0560512842787796,0.0410589145651606
Nr4a1,0.0148600057775087,0.148699359206318,0.61710145078216,0.335957887173093,0.0974310942351888,0.0328993653779853,0.0128019683394145,0.0148600057775087,0.268280912142774,1,0.202081706425285,0.0483219940802139,0.0469969327023097,0.0202735041775392,0.0148600057775087,0.211058410359733,0.869829471079164,0.178399012141873,0.0563787179706667,0.025197159669697,0.0173674568596762,0.0138847153588477,0.192523959852317,0.485297029627924,0.691305674551052,0.0967624421808928,0.0389794154958917,0.0226433124827074,0.0138847153588477,0.276734689794906,0.6366044760276,0.821150742954512,0.125387115710599,0.0382996892176994,0.0231875766130903,0.0138847153588477,0.249985821956613,0.582534404824547,0.833452835278622,0.148076200228165,0.0391942758391679,0.0285837469010223
Zfp36,0.0263065567830486,0.188490310032943,0.520343933129769,0.375397717091318,0.116591198777729,0.0905584128506352,0.0373881159790467,0.0263065567830486,0.631394978299448,1,0.131480742076107,0.0364382592103914,0.0396083036992443,0.0260470694846875,0.0263065567830486,0.348223741821102,0.92081804820232,0.153482381501608,0.0301957496246592,0.0320066467351232,0.0312777803105316,0.026380249591684,0.163217417005665,0.389148361963706,0.231695016895519,0.0823287263216462,0.0419700008669856,0.0228592126601986,0.026380249591684,0.368949763824434,0.60634402074302,0.1485284471302,0.0549772125552551,0.0320125412672185,0.0270045199983186,0.026380249591684,0.306277048741921,0.434548906121691,0.129084117716905,0.0443062831782834,0.0279056018472783,0.0245935302585754
Ppp1r15a,0.092071939225496,0.401661460110383,0.660522964448137,0.143315219689021,0.12927677439787,0.123754277656378,0.1082527975409,0.092071939225496,0.687374752254363,1,0.0845481027721049,0.0924123545980989,0.0886569599238519,0.104838320832861,0.092071939225496,0.561581479985899,0.854970794836157,0.0871819195077157,0.0828990348914981,0.0924194429052327,0.10625261187847,0.15893960802932,0.31302961901476,0.620824750135092,0.240809496966448,0.108548475233468,0.120089232970255,0.115548258336799,0.15893960802932,0.437544040850707,0.686005929436152,0.196374662477625,0.0901016651362852,0.108625892587065,0.10669712449465,0.15893960802932,0.294344840065563,0.554462349259994,0.183564310969786,0.0952668714828374,0.100221221449743,0.1296693701601
Dusp1,0.0323139243965276,0.258469877611744,0.689296933107113,0.279434200990744,0.1731008044307,0.138518911630036,0.084710758503654,0.0323139243965276,0.592781343233033,1,0.120971569150411,0.133722935303435,0.0870294799415069,0.0545727621645061,0.0323139243965276,0.427243031982904,0.864860122410509,0.109299809181824,0.106182294267649,0.0573855564699869,0.0377314123343044,0.0729403741430508,0.348381409139289,0.664534524397056,0.340419568867744,0.133049853663084,0.134571626611855,0.118377509666589,0.0729403741430508,0.554801759054758,0.700648425403767,0.345849169419492,0.164195121092722,0.149904591885687,0.124589548597299,0.0729403741430508,0.420122019020952,0.593659832266728,0.302033381849627,0.15131177493306,0.146738889850108,0.156492284062377
Ier2,0.0491012123454688,0.358831215217231,0.550715414266895,0.170316238958383,0.178911365221713,0.10928780611039,0.0556174279730212,0.0491012123454688,0.659938390498242,1,0.11781397564739,0.0747709090888032,0.063236370106509,0.0447392325331839,0.0491012123454688,0.496585556334033,0.849097185499049,0.0980316962138278,0.0878974795935159,0.0543712334118236,0.0414115067655172,0.0411035352274793,0.267714620129998,0.304941694611159,0.179087240889834,0.113586835569991,0.0792290778520851,0.0426321124353902,0.0411035352274793,0.44589016207989,0.445298583987633,0.1566185165138,0.0994029649647614,0.0583384882478549,0.0491134361593778,0.0411035352274793,0.2384420456351,0.349838753457452,0.142441280537407,0.0865833132132026,0.0653427139490288,0.0412188870186822
Btg2,0.0660303410251948,0.225135433620856,0.512564974781317,0.446180734055368,0.197197601852688,0.173911366782341,0.112186332479956,0.0660303410251948,0.572351234826445,1,0.252453654193793,0.107689012088305,0.125086430521692,0.105842070012459,0.0660303410251948,0.422939063219874,0.913391855057725,0.229709444139858,0.104703997125925,0.113584896931781,0.0968888003720684,0.11149346496791,0.429796012853149,0.639773439780547,0.687598857420697,0.312084920162415,0.221649826160705,0.141467183338032,0.11149346496791,0.547654473298126,0.797296652894432,0.643504669580773,0.24197073973785,0.165672788819981,0.146427288457445,0.11149346496791,0.331954667465128,0.693120362636783,0.550306057373097,0.192264526924577,0.165315039871415,0.149408132765894
Jun,0.133391491484181,0.316306227971067,0.474241228261296,0.46844487441946,0.348598432871482,0.208771041555718,0.158846560368887,0.133391491484181,0.633399346321161,1,0.436676635727233,0.261383141792107,0.193585567246992,0.127696094076378,0.133391491484181,0.499533754197986,0.896703775749408,0.37249821301139,0.256699584693553,0.143750870055968,0.132903763952569,0.233907077679242,0.413081623047619,0.483347572325215,0.601304149668874,0.400662470033393,0.390016468554456,0.302072700306925,0.233907077679242,0.641157186714839,0.677191970775266,0.675796852680874,0.44411581901231,0.331185584057259,0.303414352602989,0.233907077679242,0.575706977075752,0.571935310678848,0.624876255024477,0.39164308610706,0.299494661317529,0.252036794760361
