pd.cate,pd.ord,id
1,3,2
1,3,3
1,3,6
1,3,8
1,3,9
1,3,11
1,3,14
1,3,15
1,3,17
1,3,20
1,4,1
1,4,21
1,4,22
1,4,23
1,4,24
1,4,27
1,4,31
1,4,36
1,5,35
2,3,4
2,3,7
2,3,10
2,3,12
2,3,26
2,3,40
2,4,13
2,4,18
2,4,25
2,4,28
2,4,30
2,4,32
2,4,33
2,4,34
2,4,39
2,4,43
2,4,45
2,4,48
2,4,49
2,4,51
2,4,56
2,4,65
2,4,66
2,4,70
2,4,130
2,5,41
2,5,42
2,5,44
2,5,60
2,5,64
2,5,68
2,5,69
2,5,74
2,5,76
2,5,77
2,5,79
2,5,81
2,5,83
2,5,90
2,5,94
2,5,114
2,5,120
2,5,121
2,5,157
2,6,38
2,6,67
2,6,97
2,6,101
2,6,109
2,6,148
2,6,151
2,7,160
3,3,5
3,3,16
3,3,19
3,4,29
3,4,37
3,4,46
3,4,47
3,4,50
3,4,52
3,4,53
3,4,54
3,4,55
3,4,57
3,4,58
3,4,59
3,4,71
3,4,125
3,4,131
3,5,61
3,5,62
3,5,63
3,5,72
3,5,78
3,5,82
3,5,84
3,5,85
3,5,86
3,5,87
3,5,88
3,5,89
3,5,91
3,5,92
3,5,93
3,5,110
3,5,115
3,5,116
3,5,117
3,5,118
3,5,119
3,5,122
3,5,123
3,5,124
3,5,126
3,5,132
3,5,134
3,5,135
3,5,136
3,5,137
3,5,138
3,5,139
3,5,140
3,5,156
3,5,162
3,6,73
3,6,75
3,6,80
3,6,96
3,6,98
3,6,99
3,6,100
3,6,102
3,6,103
3,6,104
3,6,105
3,6,106
3,6,107
3,6,108
3,6,111
3,6,112
3,6,113
3,6,127
3,6,128
3,6,129
3,6,133
3,6,143
3,6,144
3,6,145
3,6,146
3,6,150
3,6,152
3,6,153
3,6,155
3,6,167
3,6,168
3,6,169
3,6,172
3,6,173
3,6,174
3,6,175
3,6,176
3,6,177
3,7,95
3,7,141
3,7,142
3,7,147
3,7,149
3,7,154
3,7,158
3,7,159
3,7,161
3,7,163
3,7,164
3,7,165
3,7,166
3,7,170
3,7,171
