gene,cate
Egr4,TNF-specific
Fosb,TNF-specific
Gm17024,TNF-specific
Fos,non-specific
Rgs1,LPS-specific
Atf3,TNF-specific
Egr1,non-specific
Nr4a1,TNF-specific
Zfp36,TNF-specific
Egr2,non-specific
Ppp1r15a,TNF-specific
Frat2,non-specific
Egr3,non-specific
Dusp1,TNF-specific
Ier2,TNF-specific
Tnfsf9,LPS-specific
Btg2,TNF-specific
Arc,non-specific
Gdf15,LPS-specific
Jun,TNF-specific
Ier3,TNF-specific
Junb,TNF-specific
Dusp8,TNF-specific
Cxcl1,TNF-specific
Nfkbiz,non-specific
Cxcl2,non-specific
Pcdh10,TNF-specific
Ifrd1,non-specific
Zbtb10,LPS-specific
Mir17hg,non-specific
Slc25a25,TNF-specific
Zswim4,non-specific
Stk17b,non-specific
Creb5,non-specific
Hivep1,TNF-specific
4930523C07Rik,TNF-specific
Itpkc,LPS-specific
Arg2,non-specific
Fgf7,non-specific
Nfil3,non-specific
Fas,non-specific
Tnfrsf11b,non-specific
Arid5a,non-specific
Trib1,non-specific
Rasgef1a,non-specific
Klf10,LPS-specific
Irf1,LPS-specific
Tnfaip3,non-specific
Nr4a3,non-specific
Rel,LPS-specific
Klf5,non-specific
Gadd45b,LPS-specific
Pim1,LPS-specific
Mir155hg,LPS-specific
Zc3h12c,LPS-specific
Nfatc1,non-specific
Cxcl10,LPS-specific
Zc3h12a,LPS-specific
Rnd1,LPS-specific
Stx11,non-specific
Bcl3,LPS-specific
Cgn,LPS-specific
Pdgfb,LPS-specific
Gm8773,non-specific
Csf1,non-specific
Plekhh1,non-specific
Rrad,non-specific
Dot1l,non-specific
Ccdc88c,non-specific
Errfi1,non-specific
Sik1,LPS-specific
Kcnk10,LPS-specific
Ccl1,LPS-specific
Zbtb46,non-specific
Ccl2,LPS-specific
Micall2,non-specific
Slco5a1,non-specific
Wnt11,LPS-specific
Tjp2,non-specific
Ccl7,LPS-specific
Birc3,non-specific
Angptl4,LPS-specific
Bahcc1,non-specific
Bdkrb2,LPS-specific
Icam1,LPS-specific
Nfkb1,LPS-specific
Nfkb2,LPS-specific
Nfkbie,LPS-specific
Rab11fip1,LPS-specific
Relb,non-specific
Rhof,LPS-specific
Ripk2,LPS-specific
Trim47,LPS-specific
Vcam1,non-specific
Glrx,LPS-specific
Slco2a1,LPS-specific
Ngef,non-specific
Rffl,LPS-specific
Gbp2,LPS-specific
Il34,LPS-specific
Gjb2,non-specific
Slc7a2,LPS-specific
Sod2,LPS-specific
Tnip1,LPS-specific
Mt2,LPS-specific
Ch25h,LPS-specific
Mnda,LPS-specific
Ikbke,LPS-specific
Adarb1,non-specific
"Ifi203,Gm16340,LOC102641031",LPS-specific
Cx3cl1,LPS-specific
Gch1,LPS-specific
Serpina3g,LPS-specific
Atp2b4,non-specific
B4galt5,LPS-specific
Cebpb,LPS-specific
Gda,LPS-specific
Il1r1,LPS-specific
Jak2,LPS-specific
Nxph3,non-specific
Osmr,non-specific
Rab20,LPS-specific
Sdc4,LPS-specific
St3gal1,LPS-specific
Ifnb1,LPS-specific
Csf3,LPS-specific
Cxcl3,LPS-specific
Ccl3,LPS-specific
Il1a,LPS-specific
Nfkbia,non-specific
Slfn2,LPS-specific
Nos2,LPS-specific
Irg1,LPS-specific
Hivep3,LPS-specific
Ifih1,LPS-specific
Oasl1,LPS-specific
Ptger2,LPS-specific
Rsad2,LPS-specific
Tnfaip2,LPS-specific
Tnfsf11,LPS-specific
Slc39a4,LPS-specific
Il1rap,LPS-specific
Cd274,LPS-specific
Tmem158,LPS-specific
Slco3a1,LPS-specific
Egln3,LPS-specific
Adtrp,LPS-specific
Grem2,non-specific
Gsap,LPS-specific
Timp1,LPS-specific
F2rl1,non-specific
Rab15,LPS-specific
Il1rl1,LPS-specific
Slc6a12,LPS-specific
Exoc3l4,LPS-specific
Flt1,LPS-specific
Nptx1,non-specific
Mmp9,LPS-specific
Acpp,LPS-specific
Kcnq5,non-specific
Pilra,LPS-specific
Prokr2,LPS-specific
Mmp1b,LPS-specific
Mmp3,LPS-specific
Rasl12,LPS-specific
Rbfox1,LPS-specific
U90926,LPS-specific
Gm16685,LPS-specific
Tmem132e,LPS-specific
Fpr2,LPS-specific
Itgal,LPS-specific
Kcnn3,LPS-specific
Ptges,LPS-specific
Fpr1,LPS-specific
Ccl5,LPS-specific
Lcn2,LPS-specific
Steap4,LPS-specific
