"","0.ifnr.l.1","0.5.ifnr.l.1","1.ifnr.l.1","2.ifnr.l.1","3.ifnr.l.1","5.ifnr.l.1","8.ifnr.l.1","0.ifnr.t.1","0.5.ifnr.t.1","1.ifnr.t.1","2.ifnr.t.1","3.ifnr.t.1","5.ifnr.t.1","8.ifnr.t.1","0.ifnr.1","0.5.ifnr.1","1.ifnr.1","2.ifnr.1","3.ifnr.1","5.ifnr.1","8.ifnr.1","0.ifnrikba.l.1","0.5.ifnrikba.l.1","1.ifnrikba.l.1","2.ifnrikba.l.1","3.ifnrikba.l.1","5.ifnrikba.l.1","8.ifnrikba.l.1","0.ifnrikba.t.1","0.5.ifnrikba.t.1","1.ifnrikba.t.1","2.ifnrikba.t.1","3.ifnrikba.t.1","5.ifnrikba.t.1","8.ifnrikba.t.1","0.ifnrikba.1","0.5.ifnrikba.1","1.ifnrikba.1","2.ifnrikba.1","3.ifnrikba.1","5.ifnrikba.1","8.ifnrikba.1","0.ifnr.l.2","0.5.ifnr.l.2","1.ifnr.l.2","2.ifnr.l.2","3.ifnr.l.2","5.ifnr.l.2","8.ifnr.l.2","0.ifnr.t.2","0.5.ifnr.t.2","1.ifnr.t.2","2.ifnr.t.2","3.ifnr.t.2","5.ifnr.t.2","8.ifnr.t.2","0.ifnr.2","0.5.ifnr.2","1.ifnr.2","2.ifnr.2","3.ifnr.2","5.ifnr.2","8.ifnr.2","0.ifnrikba.l.2","0.5.ifnrikba.l.2","1.ifnrikba.l.2","2.ifnrikba.l.2","3.ifnrikba.l.2","5.ifnrikba.l.2","8.ifnrikba.l.2","0.ifnrikba.t.2","0.5.ifnrikba.t.2","1.ifnrikba.t.2","2.ifnrikba.t.2","3.ifnrikba.t.2","5.ifnrikba.t.2","8.ifnrikba.t.2","0.ifnrikba.2","0.5.ifnrikba.2","1.ifnrikba.2","2.ifnrikba.2","3.ifnrikba.2","5.ifnrikba.2","8.ifnrikba.2"
"Egr4",0.0118176372999615,0.0471126100486875,0.122646725339807,0.17255741994054,0.0250912730723131,0.0196484912798256,0.00827389048695321,0.0118176372999615,0.179395766361437,1,0.182823015330472,0.0160291547004823,0.0117375139719872,0.00827389048695321,0.0118176372999615,0.100022665140601,0.638244506140689,0.159874768759415,0.0252941147063814,0.019568236723016,0.00827389048695321,0.0101861227343693,0.0253054965682431,0.261844340434013,0.159513756742977,0.0554796786780112,0.0207029353233162,0.0068134937376375,0.0101861227343693,0.117883677976867,1,0.307561717631887,0.0619773343110788,0.030140517825158,0.0068134937376375,0.0101861227343693,0.0541404628949512,0.612125921682342,0.324127645114117,0.0551424568516178,0.0140733693549395,0.00987394409966951,0.0155561281585789,0.0998453702948538,0.219456994264707,0.348228768072655,0.0740526418770607,0.0182806002084889,0.00914642920551844,0.0155561281585789,0.328761574863503,0.72839895613389,1,0.142526257522553,0.0182387453745128,0.0214784339706753,0.0155561281585789,0.0632873786939341,0.292498462074208,0.450497626514678,0.0837176866179426,0.0280076228276869,0.0181836293554397,0.0505453841046396,0.0844241725715847,0.545746716808403,0.115781427041171,0.0184792516235709,0.0325411388858757,0.0114674923188476,0.0505453841046396,0.349373907205882,1,0.137733969609109,0.0272908137169944,0.0438448223176228,0.0114674923188476,0.0505453841046396,0.172232802752284,0.729211305862932,0.0732521509982885,0.0336984714757516,0.0177138450886642,0.0253592693760719
"Fosb",0.013730399745097,0.0557063077280596,0.593486117262971,0.190351075113009,0.0296715451196118,0.0207415262928783,0.0148716924561937,0.013730399745097,0.141563187919944,1,0.192706676093333,0.0365884428497816,0.01854338716154,0.0198224813807708,0.013730399745097,0.0827717715181738,0.890084804999398,0.140142456122278,0.033770931110389,0.0228193671628245,0.019360351687965,0.0149229781172102,0.0415639882240004,0.712737526085606,0.312545946261434,0.12163857066336,0.0722549655584443,0.0226900336100185,0.0149229781172102,0.0705553579795812,0.736267285497714,0.366445412907582,0.168922326065471,0.0595720310811588,0.024748239894926,0.0149229781172102,0.0398635279755969,1,0.398300819838709,0.131233167760835,0.0554170090399735,0.0232417847813246,0.0111274851018449,0.114437863798284,0.688488796384786,0.813648385231238,0.220999338389899,0.0666935585590358,0.0213327718494646,0.0111274851018449,0.214697233461001,0.8934224998863,1,0.265165734075275,0.0454051060124609,0.0330054157294563,0.0111274851018449,0.176836507109444,0.787639666570508,0.880337893034996,0.292149578150076,0.0652760646953433,0.0383238010155429,0.0166064518453008,0.0726984735494513,1,0.245290365998556,0.0339165662059958,0.0116837836663994,0.00530863547837237,0.0166064518453008,0.178587392734943,0.769346659681507,0.244297936744148,0.017335312439962,0.0111589681224987,0.0141899122680197,0.0166064518453008,0.085356629694261,0.752670773445038,0.257580050047665,0.030796726329684,0.00667921197926798,0.010623595085549
"ENSMUSG00000090582",0.0141037522389585,0.0661590980407484,0.249780382985897,0.0981033061358047,0.0500158602824585,0.0189244767576466,0.0375646285649975,0.0141037522389585,0.201064113612761,0.963309836620907,0.0461032609555806,0.0237577429292141,0.0222754478957478,0.0322330004111667,0.0141037522389585,0.091997610295682,1,0.0305519529508748,0.0251090520914008,0.0188606235887737,0.0277134287939607,0.062608318785073,0.246210188932919,0.585915954571564,0.170558535458806,0.146705343171961,0.091472889650662,0.0512815966824568,0.062608318785073,0.226451891189662,0.458793045024691,0.19654716568052,0.236822229203043,0.062076852804529,0.0612532877579847,0.062608318785073,0.107407738705585,1,0.161273897149512,0.137293848174271,0.0948063550042321,0.0665736094499035,0.077569963969347,0.235650289192992,0.404397421021436,0.0966133790032953,0.0675087407912563,0.085281889313753,0.0371387829473887,0.077569963969347,0.545308274956431,1,0.102070482955799,0.0705992150682758,0.0392501356215102,0.048555168766192,0.077569963969347,0.116804271523965,0.878768908315693,0.0499854435918709,0.0790378187850735,0.067308304112085,0.0585593151788995,0.0677728378149523,0.142545363151767,0.562085772628698,0.125271786797988,0.118793430718826,0.137819536929313,0.0784029308160084,0.0677728378149523,0.562191267592924,1,0.0471201093442037,0.110849801084058,0.0913479195956881,0.0358679386615503,0.0677728378149523,0.293806575072517,0.895260259738579,0.0706045137132746,0.094863959752661,0.0907537267182878,0.0619423006903993
"Fos",0.0267896710951077,0.353897827289204,0.982587935841602,0.142069317531591,0.0610081457326273,0.0860236705191711,0.110426955623861,0.0267896710951077,0.700582230732342,1,0.145304564075024,0.0736467690134168,0.0804227801044108,0.0352681481779148,0.0267896710951077,0.440086261275178,0.958772166335876,0.182025351417982,0.0380564834599637,0.0427292378696797,0.028226011888516,0.0230431905956469,0.228898335249644,0.759989639131465,0.069544731039893,0.059088006834976,0.0320435777754498,0.0206914228599073,0.0230431905956469,0.36581570948465,0.869599289755261,0.0659693108024264,0.0603544432793488,0.0227727830169914,0.0160441242599398,0.0230431905956469,0.289463357399916,1,0.07380883472906,0.0613452926889782,0.0295064511108558,0.0174320417316901,0.0212584119121418,0.347892529154088,0.94231010033946,0.169285236719893,0.0717501163380277,0.0662718530757958,0.0512529700292137,0.0212584119121418,0.487222935800973,0.839077011097098,0.191629033710865,0.0903359512218283,0.0475000131882721,0.0350532614331295,0.0212584119121418,0.28515766249813,1,0.181961218381514,0.0734678947995553,0.0498535034946161,0.0466328298243678,0.0558893808294641,0.374008874420139,1,0.0894464457775342,0.0437223927457722,0.0868916458639367,0.106108333939356,0.0558893808294641,0.617283494406755,0.501967170117914,0.097578027786238,0.118781506239347,0.0777323010738847,0.0439984295213321,0.0558893808294641,0.311859441361093,0.598699497732844,0.149622901799765,0.0610661967335836,0.0633677467312045,0.0626817297935018
"Rgs1",0.0467380734715846,0.235112987944263,1,0.228114161098426,0.0732040273959758,0.0291522123783033,0.0138313553127852,0.0467380734715846,0.320182279995359,0.380124216311486,0.045701229007919,0.0705638539606893,0.036948599949312,0.0404046411339192,0.0467380734715846,0.0654467506238475,0.274156299671997,0.0391648250900993,0.0477940740626469,0.0521990570508964,0.0450519897831992,0.0636886390103193,0.264303063696842,1,0.302935874357664,0.17463939182484,0.0347596240746977,0.0520592371931173,0.0636886390103193,0.269830753337836,0.436431998921421,0.0510072490574173,0.0581047094072004,0.0462730450517225,0.0620135906696035,0.0636886390103193,0.0978179110137962,0.419423849289752,0.0572172322398597,0.0571748920097933,0.0313846079944821,0.0316524157339057,0.184672959126295,0.628749241666201,1,0.567235284572035,0.393135157786458,0.0851975801556998,0.0686611451594252,0.184672959126295,0.380645556009326,0.590158760356868,0.170783788443891,0.204885961566188,0.140481663812427,0.216192816288829,0.184672959126295,0.184167671523574,0.681022144644903,0.223710325817803,0.202610993489455,0.175744494047405,0.160733915066373,0.139024011122705,0.432641438432367,1,0.754582663093102,0.3750477673995,0.0882340896113567,0.0382172372017347,0.139024011122705,0.290976904766925,0.396400646622366,0.0648175600855894,0.153273495004203,0.208297965680569,0.156371066843914,0.139024011122705,0.112904791488383,0.692768861417961,0.108260647780313,0.159701855120535,0.201973669477271,0.113156794254285
"Atf3",0.0487070099631493,0.149833907610831,0.57485271180516,0.265261005995776,0.0775711353513347,0.0548516776714644,0.0269268143902646,0.0487070099631493,0.32054655430029,1,0.269602607586293,0.0450006435377775,0.0329152201990155,0.0358576804009413,0.0487070099631493,0.192639238012511,0.76267321377523,0.283605283186547,0.033680870241645,0.0372553940347686,0.0415606754662165,0.0186006647215899,0.0895735611722367,0.586738405756679,0.252562342356411,0.072880682103967,0.0478465435986823,0.013984343032918,0.0186006647215899,0.17562824739864,1,0.349629438932314,0.094935190662552,0.0351189122363505,0.0154802561386491,0.0186006647215899,0.107169810875301,0.86421955727962,0.336305203497731,0.0834596118258653,0.0371221985277892,0.0115176172676903,0.0710980134002076,0.287986265586494,0.685364403371113,0.824740889258884,0.261233314285067,0.114973982703839,0.04757606586207,0.0710980134002076,0.498898839993405,1,0.942179761867887,0.295658318865895,0.087409540401395,0.0747630295773341,0.0710980134002076,0.207044133680972,0.641231983457177,0.739065563300922,0.245303144962586,0.080608276011234,0.059047501954262,0.142475355191357,0.312844154299171,1,0.278386287383773,0.126901872209242,0.182990197827613,0.108579350186493,0.142475355191357,0.465765191076172,0.889069319904913,0.196431441891133,0.14138290539041,0.111575947715532,0.0884098216739985,0.142475355191357,0.28922618243867,0.86317679382691,0.210326543822418,0.138846400183569,0.10060946021978,0.0923786809387576
"Egr1",0.0307163362090839,0.465421367189666,0.798305328371303,0.140128952129913,0.0845301712467016,0.0609550333540097,0.024887748987028,0.0307163362090839,0.706535425898206,0.99905432572522,0.0873913987992537,0.0380017512695529,0.0497274934485578,0.0267816501527411,0.0307163362090839,0.51684371452623,1,0.0826178899371835,0.0303091321861928,0.035081489757459,0.02258432122747,0.0476241473543929,0.374941167840979,0.817447801441988,0.241338723103326,0.280064242239445,0.168519870011055,0.0413402587748408,0.0476241473543929,0.514643321058947,0.933475979517609,0.229981083125802,0.252829287289099,0.133048684077919,0.038735515240188,0.0476241473543929,0.484496706337989,1,0.253325926086052,0.248652615788796,0.146292035406483,0.0450011354606777,0.0773308377023721,0.50673619275696,0.786724713408283,0.539808754922419,0.172594771576609,0.128484923742444,0.0665051709074944,0.0773308377023721,0.560086228420811,0.919256157468627,0.565513439236806,0.160253325673993,0.119712259251405,0.0845635883118991,0.0773308377023721,1,0.90622639435601,0.527837813514477,0.137758865797971,0.120901501301229,0.0756005761493208,0.209951934096468,0.537575623351854,1,0.143418460396528,0.0971307465703378,0.185421117128082,0.0392972041255441,0.209951934096468,0.865655410381072,0.812550412145463,0.12689913455486,0.105789741493868,0.14027466574423,0.0342728658189982,0.209951934096468,0.605317504594253,0.906413700510127,0.133935786960907,0.0839619871358117,0.120380693558041,0.0608332007065545
"Nr4a1",0.0148600057775087,0.148699359206318,0.617101450782159,0.335957887173093,0.0974310942351888,0.0328993653779853,0.0128019683394145,0.0148600057775087,0.268280912142774,1,0.202081706425285,0.0483219940802138,0.0469969327023097,0.0202735041775392,0.0148600057775087,0.211058410359733,0.869829471079163,0.178399012141873,0.0563787179706665,0.025197159669697,0.0173674568596762,0.0239175409178613,0.130209749658045,0.710224563073424,0.505453542282334,0.221471458299968,0.0938727718169498,0.0356417597801333,0.0239175409178613,0.197739546627679,0.978201083607667,0.407684918481798,0.145670684458926,0.0741245649994514,0.0347115771782972,0.0239175409178613,0.144684032032631,1,0.466012438096895,0.1563216281515,0.0849699665650159,0.0464026227110161,0.0166592694524893,0.230995626510715,0.582272936255224,0.829447864701247,0.11609828185244,0.0467685918698217,0.0271680790132986,0.0166592694524893,0.332034013301298,0.763815838258903,0.985239605886041,0.150442964980355,0.0459530372884218,0.0278211023246909,0.0166592694524893,0.299939974255463,0.698941056010452,1,0.177665962560033,0.0470263873132849,0.034295578215253,0.0659330308266675,0.243212526653199,1,0.184276725607589,0.0593345125065642,0.051300192958276,0.0179180134215196,0.0659330308266675,0.426202930550764,0.9622219321827,0.188299572389372,0.0618025831774067,0.0486092817668106,0.0164370330483651,0.0659330308266675,0.332474805088363,0.954688749471644,0.220453190438714,0.0587284541414575,0.0354813934545501,0.0244083303859799
"Zfp36",0.0263065567830485,0.188490310032943,0.52034393312977,0.375397717091319,0.116591198777729,0.0905584128506353,0.0373881159790466,0.0263065567830485,0.631394978299448,1,0.131480742076107,0.0364382592103915,0.0396083036992442,0.0260470694846874,0.0263065567830485,0.348223741821101,0.92081804820232,0.153482381501607,0.0301957496246592,0.0320066467351233,0.0312777803105315,0.047837767068204,0.181709671886152,0.547635243282064,0.438120755869302,0.31075738644957,0.159438647310659,0.0382164111126783,0.047837767068204,0.362215686905482,1,0.387278106720464,0.269077673826923,0.076220787353191,0.049581965588651,0.047837767068204,0.267153382486971,0.929605879865345,0.362711830558177,0.217792854268461,0.0918473532323146,0.0477784460009089,0.0435070664329425,0.269182858941458,0.641794672085395,0.382118086382046,0.135778903568241,0.0692181326626348,0.0377000710457848,0.0435070664329425,0.608482563037927,1,0.244957387306618,0.090670000320751,0.0527960038725045,0.0445366311441928,0.0435070664329425,0.505120918594376,0.716670555420324,0.212889239937956,0.0730711966516799,0.0460227212483806,0.0405603575152573,0.0416596609800226,0.291598384231596,1,0.342307703789579,0.13831716210536,0.113651498869068,0.0569088098442097,0.0416596609800226,0.814994063936291,0.565654463065062,0.263113706668802,0.0760396435337339,0.03604161439896,0.0288976312545185,0.0416596609800226,0.357333974290831,0.647808853144749,0.178811020329721,0.0642869281991365,0.04276523678829,0.0471035786253987
"Egr2",0.0354607488312196,0.318537745560807,0.840654562095171,0.314400167859946,0.122590778140135,0.0972266782681891,0.0289602727575219,0.0354607488312196,0.533318537156012,1,0.198194406652758,0.0869425561513171,0.0762691850281309,0.0264959679424277,0.0354607488312196,0.35869086245299,0.965271716204145,0.173637151296487,0.0624728777711184,0.0420571353244656,0.0209187283532871,0.0450874678464389,0.245834824474511,0.872276818992552,0.330513330502165,0.280344843220039,0.228295447955174,0.0633724636819252,0.0450874678464389,0.38249537568304,0.804492910017337,0.358884201230418,0.295237995417002,0.215554174878988,0.065351576132544,0.0450874678464389,0.304857782432525,1,0.363089538945604,0.238139756179968,0.135999438658032,0.052765133290405,0.0466987678216755,0.705347604861869,0.95146680654296,0.810857459186056,0.332971428843128,0.233796984248179,0.0722445649677248,0.0466987678216755,0.72803314478706,0.969340277591675,0.742422992999938,0.327954859221278,0.174121810643852,0.0859061789397044,0.0466987678216755,0.817798997171288,1,0.628352916094178,0.30843069545409,0.138517189796596,0.0488533763072779,0.141685574627386,0.332772848114766,1,0.253717152697887,0.105424340281368,0.138093341447211,0.0384579222411283,0.141685574627386,0.667242302881693,0.940972945601278,0.148269814332525,0.0937742785923907,0.117841853217813,0.0290219379926771,0.141685574627386,0.408245311844667,0.833090723378132,0.138600739522666,0.0883695790216137,0.0911108484003093,0.0406710415634089
