"","x"
"4930523C07Rik","ENSMUSG00000090394"
"Acpp","ENSMUSG00000032561"
"Adarb1","ENSMUSG00000020262"
"Adtrp","ENSMUSG00000058022"
"Angptl4","ENSMUSG00000002289"
"Arc","ENSMUSG00000022602"
"Arg2","ENSMUSG00000021125"
"Arid5a","ENSMUSG00000037447"
"Atf3","ENSMUSG00000026628"
"Atp2b4","ENSMUSG00000026463"
"B4galt5","ENSMUSG00000017929"
"Bahcc1","ENSMUSG00000039741"
"Bcl3","ENSMUSG00000053175"
"Bdkrb2","ENSMUSG00000021070"
"Birc3","ENSMUSG00000032000"
"Btg2","ENSMUSG00000020423"
"Ccdc88c","ENSMUSG00000021182"
"Ccl1","ENSMUSG00000020702"
"Ccl2","ENSMUSG00000035385"
"Ccl3","ENSMUSG00000000982"
"Ccl5","ENSMUSG00000035042"
"Ccl7","ENSMUSG00000035373"
"Cd274","ENSMUSG00000016496"
"Cebpb","ENSMUSG00000056501"
"Cgn","ENSMUSG00000068876"
"Ch25h","ENSMUSG00000050370"
"Creb5","ENSMUSG00000053007"
"Csf1","ENSMUSG00000014599"
"Csf3","ENSMUSG00000038067"
"Cx3cl1","ENSMUSG00000031778"
"Cxcl1","ENSMUSG00000029380"
"Cxcl10","ENSMUSG00000034855"
"Cxcl2","ENSMUSG00000058427"
"Cxcl3","ENSMUSG00000029379"
"Dot1l","ENSMUSG00000061589"
"Dusp1","ENSMUSG00000024190"
"Dusp8","ENSMUSG00000037887"
"Egln3","ENSMUSG00000035105"
"Egr1","ENSMUSG00000038418"
"Egr2","ENSMUSG00000037868"
"Egr3","ENSMUSG00000033730"
"Egr4","ENSMUSG00000071341"
"ENSMUSG00000041481","ENSMUSG00000041481"
"ENSMUSG00000073234","ENSMUSG00000073234"
"ENSMUSG00000089726","ENSMUSG00000089726"
"ENSMUSG00000090582","ENSMUSG00000090582"
"ENSMUSG00000097418","ENSMUSG00000097418"
"ENSMUSG00000097804","ENSMUSG00000097804"
"Errfi1","ENSMUSG00000028967"
"Exoc3l4","ENSMUSG00000021280"
"F2rl1","ENSMUSG00000021678"
"Fas","ENSMUSG00000024778"
"Fgf7","ENSMUSG00000027208"
"Flt1","ENSMUSG00000029648"
"Fos","ENSMUSG00000021250"
"Fosb","ENSMUSG00000003545"
"Fpr1","ENSMUSG00000045551"
"Fpr2","ENSMUSG00000052270"
"Frat2","ENSMUSG00000047604"
