"","0.ifnr.l.1","0.5.ifnr.l.1","1.ifnr.l.1","2.ifnr.l.1","3.ifnr.l.1","5.ifnr.l.1","8.ifnr.l.1","0.ifnr.t.1","0.5.ifnr.t.1","1.ifnr.t.1","2.ifnr.t.1","3.ifnr.t.1","5.ifnr.t.1","8.ifnr.t.1","0.ifnr.1","0.5.ifnr.1","1.ifnr.1","2.ifnr.1","3.ifnr.1","5.ifnr.1","8.ifnr.1","0.ifnrikba.l.1","0.5.ifnrikba.l.1","1.ifnrikba.l.1","2.ifnrikba.l.1","3.ifnrikba.l.1","5.ifnrikba.l.1","8.ifnrikba.l.1","0.ifnrikba.t.1","0.5.ifnrikba.t.1","1.ifnrikba.t.1","2.ifnrikba.t.1","3.ifnrikba.t.1","5.ifnrikba.t.1","8.ifnrikba.t.1","0.ifnrikba.1","0.5.ifnrikba.1","1.ifnrikba.1","2.ifnrikba.1","3.ifnrikba.1","5.ifnrikba.1","8.ifnrikba.1","0.ifnr.l.2","0.5.ifnr.l.2","1.ifnr.l.2","2.ifnr.l.2","3.ifnr.l.2","5.ifnr.l.2","8.ifnr.l.2","0.ifnr.t.2","0.5.ifnr.t.2","1.ifnr.t.2","2.ifnr.t.2","3.ifnr.t.2","5.ifnr.t.2","8.ifnr.t.2","0.ifnr.2","0.5.ifnr.2","1.ifnr.2","2.ifnr.2","3.ifnr.2","5.ifnr.2","8.ifnr.2","0.ifnrikba.l.2","0.5.ifnrikba.l.2","1.ifnrikba.l.2","2.ifnrikba.l.2","3.ifnrikba.l.2","5.ifnrikba.l.2","8.ifnrikba.l.2","0.ifnrikba.t.2","0.5.ifnrikba.t.2","1.ifnrikba.t.2","2.ifnrikba.t.2","3.ifnrikba.t.2","5.ifnrikba.t.2","8.ifnrikba.t.2","0.ifnrikba.2","0.5.ifnrikba.2","1.ifnrikba.2","2.ifnrikba.2","3.ifnrikba.2","5.ifnrikba.2","8.ifnrikba.2"
"Egr4",0.00357331200521514,0.0391627478486018,0.11532703813658,0.165654133613819,0.0169576886441131,0.0114694981646268,1.01400067812901e-21,0.00357331200521514,0.172549531804207,1,0.176005374033386,0.00781996575378766,0.00349252021481489,1.01400067812901e-21,0.00357331200521514,0.0925142272383025,0.635226409399528,0.152865672102654,0.0171622225694808,0.0113885740505597,1.01400067812901e-21,0.00339576602729325,0.0186188623325101,0.256780418469566,0.15374782283339,0.0490000464500047,0.0139847264316433,8.33794977939808e-22,0.00339576602729325,0.111832151905906,1,0.302811427660298,0.0555422775335905,0.0234870529758873,8.33794977939808e-22,0.00339576602729325,0.0476516433307358,0.609465014000909,0.319491001313159,0.0486605112023276,0.00730968007672889,0.0030814457735127,0.00646886597776606,0.0915361701897199,0.21225191214738,0.342212359991048,0.0655053527429886,0.00921848724392904,1.12192111781389e-21,0.00646886597776606,0.322565467874039,0.725891845302292,1,0.13461103865235,0.00917624605389879,0.0124458397574011,0.00646886597776606,0.0546407169376244,0.285967615418183,0.445425247804555,0.0752596141452382,0.019035298633526,0.00912062126664699,0.0395312156981654,0.073803015769178,0.540477141963535,0.105524030734222,0.00709309936723393,0.021318111850931,1.40993056909395e-21,0.0395312156981654,0.341826305418805,1,0.12773123423776,0.0160068801735861,0.0327529239020417,1.40993056909395e-21,0.0395312156981654,0.162630271826418,0.726070015874065,0.0625013929226992,0.022488870102059,0.00631881371758735,0.0140529289115751
"Fosb",2.6196172083805e-22,0.0425602776077797,0.587826814664099,0.179079508607245,0.0161630707976752,0.00710873228371762,0.00115718127254627,2.6196172083805e-22,0.12961241849268,1,0.181467903200078,0.0231762624527582,0.00487999165258571,0.00617689284359907,2.6196172083805e-22,0.0700025345556964,0.888554615317967,0.128171907908861,0.020319526587976,0.00921549991541705,0.00570832959001573,2.70422245556154e-22,0.0270445960214064,0.708385773362832,0.302131672481176,0.108332232074791,0.0582005124144047,0.00788471898163149,2.70422245556154e-22,0.0564751574004235,0.732271986206509,0.356847664681593,0.156332291310501,0.0453254435664434,0.00997410513031418,2.70422245556154e-22,0.0253183754207539,1,0.389185650669979,0.118072178174779,0.0411074769010108,0.00844482865737191,1.84948073777415e-22,0.10447289932725,0.684983454467539,0.811551426537571,0.212233478154329,0.0561913417756522,0.0103201237711321,1.84948073777415e-22,0.205860457533418,0.892223215320454,1,0.256896865011557,0.0346633366730253,0.0221241164032804,1.84948073777415e-22,0.1675736958112,0.785250039585372,0.878991371322189,0.284184350170936,0.0547578972796865,0.0275023478799984,0.0113581124456246,0.0677494954462467,1,0.241262505214969,0.0287606103239689,0.00640917214667188,1.65222774250234e-22,0.0113581124456246,0.174203540351337,0.768115670301993,0.24026477939789,0.0120908629455867,0.0058815556792733,0.00892867587517311,0.0113581124456246,0.080475207758927,0.751350785402757,0.253617778908351,0.0256241199636528,0.00137789122312804,0.00534332537382866
"ENSMUSG00000090582",3.59300459925284e-22,0.052800024262195,0.239048106007257,0.0852012106624893,0.0364258491956491,0.00488968745913772,0.0237964962127793,3.59300459925284e-22,0.189634925377176,0.962784964987527,0.0324572781256574,0.00979209598594144,0.00828859596062681,0.0183885963795679,3.59300459925284e-22,0.0790081697071264,1,0.016683500671871,0.0111627363198057,0.00482492083788535,0.013804369968858,0.0119389716305789,0.205465174459379,0.563533242339942,0.125724280628745,0.10058173864428,0.042363774991253,6.81270738299989e-22,0.0119389716305789,0.184638870601284,0.429538888375328,0.153117688547085,0.195569762188417,0.0113787780276241,0.0105106963674977,0.0119389716305789,0.0591599591900633,1,0.115937774667832,0.0906615189407525,0.0458774259775872,0.0161186003285828,0.0419906631463682,0.206168347763825,0.381424271296598,0.0617686069420916,0.0315413657814906,0.0500000472692564,4.89381727747004e-22,0.0419906631463682,0.527770236259579,1,0.0674361983414094,0.034751043585816,0.00219279023469712,0.0118567303538819,0.0419906631463682,0.0827382878920369,0.874092870771756,0.0133421727004509,0.0435151349910435,0.0313331980044305,0.0222467494298717,0.0330918350636636,0.110646070977167,0.545794352317907,0.0927298777019444,0.0860105118194648,0.105744433108292,0.0441173920670258,0.0330918350636636,0.545903771938368,1,0.0116707774109624,0.0777713608220996,0.0575439643165876,5.72112330133335e-22,0.0330918350636636,0.267534549211946,0.891363699578648,0.0360288558431523,0.061190809285203,0.0569276660922806,0.0270443884965836
"Fos",5.88520294965233e-23,0.336112499506839,0.98210863197682,0.118452962337752,0.0351604104695683,0.0608645404439106,0.0859395775452429,5.88520294965233e-23,0.692340123840878,1,0.121777265879694,0.0481469385667486,0.0551094736835088,0.00871186508300573,5.88520294965233e-23,0.424673452289736,0.957637283082974,0.15950887050033,0.0115769551865875,0.0163783370368746,0.00147587910932315,0.00711319126016997,0.216324955455559,0.756076093668309,0.0543729735235473,0.04374574473948,0.0162603363727833,0.00472307622175847,0.00711319126016997,0.355474868181094,0.867473010264144,0.0507392534293638,0.0450328313615506,0.00683837448705789,4.80566153431638e-23,0.00711319126016997,0.277877534837962,1,0.0587066065596425,0.0460398372995802,0.0136818399918498,0.00141054848694956,8.02064090580649e-23,0.333728658531903,0.941057067194573,0.151241989315022,0.0515883917066712,0.0459911397569154,0.0306460443513711,8.02064090580649e-23,0.476085342198623,0.835581740000144,0.174071096878157,0.0705779136703912,0.0268115727333073,0.0140944756909107,8.02064090580649e-23,0.269631181302473,1,0.164193295171337,0.0533434805702021,0.0292161811968568,0.0259255540186039,0.0127232803439025,0.345387656438722,1,0.0478146227464742,4.44983573847381e-23,0.0451430136925583,0.0652383164891972,0.0127232803439025,0.599785143257569,0.479196390144391,0.0563179924238759,0.0784909245225277,0.0355648904357026,0.000288657575442442,0.0127232803439025,0.280396661577412,0.580351459426709,0.110742433212534,0.0181367877447333,0.0205435679309068,0.0198261853084354
"Rgs1",0.033368246228551,0.224385183836038,1,0.217288196030209,0.0602053942832689,0.0155357373691165,1.19709147761117e-21,0.033368246228551,0.310647602043503,0.371430244686879,0.0323168596637364,0.0575281915051133,0.0234414719643201,0.0269459853183248,0.033368246228551,0.052339319029387,0.263976091474475,0.0256887804269514,0.0344390575920549,0.0389058219857319,0.0316585146350058,0.0333507306227622,0.240465366981317,1,0.280349939309694,0.147896456129764,0.00348437172077933,0.0213445185460334,0.0333507306227622,0.246172162151637,0.4181715408097,0.020258444398975,0.0275858732302347,0.0153708450021778,0.031621408174925,0.0333507306227622,0.0685858428098731,0.400612301330288,0.0266696404564573,0.0266259283387108,3.47630996332373e-21,0.000276485116418727,0.124564559251347,0.601379501773982,1,0.535330547868053,0.348395227945876,0.017755551494848,2.25023987122815e-21,0.124564559251347,0.334984854576164,0.55994401230765,0.109651436481674,0.146267725971855,0.0771153466643421,0.158408156561511,0.124564559251347,0.124022020303148,0.657506122828195,0.166479879855243,0.143825040299601,0.114977860454786,0.0988606557413615,0.104812414840621,0.410096974584024,1,0.744830801299799,0.350214771179483,0.0520043135979066,2.49105455500198e-21,0.104812414840621,0.262803282967764,0.372416124799859,0.0276573088152071,0.119628113803701,0.176839027540889,0.12284877023416,0.104812414840621,0.077655326312304,0.68056077685551,0.0728266436952876,0.126311910150423,0.170263430173249,0.0779173426174923
"Atf3",0.022382895649557,0.126308169866536,0.563088065232792,0.244929358993866,0.0520457471339486,0.0286975981808623,8.46156748230705e-23,0.022382895649557,0.301744765195683,1,0.249391101085543,0.0185739669069061,0.00615411656318375,0.009178000321816,0.022382895649557,0.170298006432486,0.756105923239412,0.263781257763716,0.00694095362123073,0.0106143913913649,0.0150388082750242,0.0071655778369271,0.0789654375921079,0.581923156686914,0.243853334464533,0.0620780561274751,0.0367522243851969,0.00249546760601766,0.0071655778369271,0.16602281739946,1,0.342051439227509,0.0843895398158572,0.0238762929728932,0.00400881081967836,0.0071655778369271,0.0967667156021681,0.86263746821156,0.328571952220616,0.0727802496179211,0.0259029211925093,8.2708008595948e-23,0.0246969303217145,0.252419317813582,0.669647532625612,0.815986238418348,0.22432998664233,0.0707646190168169,1.24325464920664e-22,0.0246969303217145,0.473867526796082,1,0.939291489787636,0.260474610214801,0.0418232607472004,0.0285450236399949,0.0246969303217145,0.167433914775821,0.623310582941665,0.726031205909102,0.207604063708757,0.0346822554171348,0.0120444643199514,0.0593090346987306,0.246200911288133,1,0.208401176566686,0.042225170312748,0.103753175936249,0.0221256536018556,0.0593090346987306,0.413952868705902,0.878310799378297,0.118498007970533,0.0581106345547609,0.025412873671012,1.09836624729537e-22,0.0593090346987306,0.220292369904029,0.849907108011689,0.1337407149036,0.0553281284822417,0.0133828104293357,0.00435377580750962
"Egr1",0.0083199146056531,0.45306930876976,0.793644939395702,0.120260635730808,0.063377180624957,0.0392573118683003,0.00235665112559955,0.0083199146056531,0.699754587044955,0.999032474825892,0.0663045201537697,0.0157736676185147,0.0277703466504395,0.00429431307112062,0.0083199146056531,0.505679828995036,1,0.0614207138411219,0.00790330166221995,0.0127859300821563,2.80221692298578e-23,0.00924681214705011,0.34975353602583,0.81009160178884,0.210767391363431,0.251053410196006,0.135014199347327,0.00270970536824076,0.00924681214705011,0.49508518556958,0.930795299798252,0.198952079180788,0.222720984123746,0.09811365168796,3.59174352252106e-23,0.00924681214705011,0.463723770268265,1,0.223237635685129,0.218376007723888,0.111890662633988,0.00651810227031875,0.0115969220797953,0.471594494291345,0.771530296746205,0.50702325204634,0.113647764682585,0.0663953895654709,4.52077792435412e-23,0.0115969220797953,0.528745357907499,0.913503706699835,0.534559220659445,0.100427074521275,0.0569977322698569,0.0193449570812943,0.0115969220797953,1,0.899545661398948,0.494199462310322,0.0763300370498528,0.0582716997442998,0.00974339113444099,0.181913774667268,0.521164560587488,1,0.113019082424449,0.065088655507901,0.156512379076174,0.00520264796205286,0.181913774667268,0.860887630818346,0.805897979646698,0.0959134992250316,0.0740549510763418,0.109763717072244,3.138793263362e-23,0.181913774667268,0.591310545767711,0.90309239931501,0.10319987666747,0.051452547575929,0.089163724090726,0.0275029394406331
"Nr4a1",0.00208472603478795,0.137659706065568,0.612136028499004,0.327346599638262,0.0857265950514691,0.0203580197630303,3.58234053809344e-23,0.00208472603478795,0.258791990674468,1,0.191734314712398,0.0359806488684448,0.0346384041157124,0.00756842659578312,0.00208472603478795,0.200827428400386,0.868141421734934,0.167744503627002,0.044141852225891,0.012555931973884,0.0046246937026222,4.98469903692375e-23,0.108896751243882,0.703124019666261,0.493335370269113,0.202394700922991,0.0716693863803998,0.0120115045129454,4.98469903692375e-23,0.178081271815162,0.977666931528682,0.393171062539955,0.12473653471404,0.051437277265286,0.011058529082252,4.98469903692375e-23,0.123725705744506,1,0.452927816769455,0.135648464944391,0.0625484302879138,0.0230360473994162,4.31505257706943e-23,0.217967536988818,0.57519601215726,0.826558455273391,0.101123658677887,0.0306194195785707,0.0106868445843367,4.31505257706943e-23,0.320717665862587,0.759814523690488,0.984989542632145,0.136050192341139,0.0297900482771847,0.0113509310917965,4.31505257706943e-23,0.288079905573775,0.693840665155889,1,0.163734388402581,0.0308815824641857,0.0179350943318945,0.0503231612427476,0.23056530311189,1,0.170644583213021,0.0436143703042741,0.0354457834234676,0.00150573010871329,0.0503231612427476,0.416613792172747,0.961590595532093,0.174734658700766,0.0461236866915022,0.0327099024662927,3.63802378025846e-23,0.0503231612427476,0.321319308126755,0.953931520349134,0.207425619147351,0.0429981836589136,0.019362624505078,0.00810451146032906
"Zfp36",0.000266426939363299,0.166787567919024,0.507516172658932,0.358693563786283,0.0929656110230454,0.0662366130279164,0.0116443476260796,0.000266426939363299,0.621537129617214,1,0.108253355257769,0.0106690882075853,0.0139239112996782,2.27286499496669e-23,0.000266426939363299,0.330792856864194,0.918700432724417,0.130843399125556,0.00425963104580092,0.00611895817930623,0.00537059919628419,0.010003659936282,0.149194956569678,0.5296605577963,0.415794519034442,0.28337037404869,0.126038994217214,3.18376750338714e-23,0.010003659936282,0.336873366874179,1,0.36293164038244,0.240034520636109,0.0395144777677893,0.0118171640765064,0.010003659936282,0.238033767699393,0.926808773878027,0.33738922476407,0.186711901960744,0.0557619642706541,0.00994198175006582,0.00603449632742721,0.240551600317833,0.627761244559286,0.357911296647979,0.101921271706883,0.0327528462473258,3.7938665957508e-23,0.00603449632742721,0.593144065398034,1,0.215377046204369,0.0550451347663837,0.0156873469201285,0.00710439634536567,0.00603449632742721,0.485733016790891,0.705570544011589,0.18205256346902,0.036756861911374,0.00864870707372954,0.00297234405138209,0.0131417965152229,0.270518084840476,1,0.322736389717532,0.112675588457471,0.0872759354135228,0.0288447227514001,0.0131417965152229,0.809488739788876,0.552729402260601,0.241185772944675,0.0485448432590231,0.00735657060920414,2.44098263380075e-23,0.0131417965152229,0.338209805275836,0.637328506045939,0.154374444857825,0.0364423958622774,0.0142802715553937,0.0187477118343348
"Egr2",0.0148527205034515,0.303977847218909,0.837250039890124,0.299751867394066,0.103844341354672,0.0779383204691067,0.00821335739648024,0.0148527205034515,0.523347574549068,1,0.181063292122125,0.067434471182341,0.0565330563230467,0.00569640105541009,0.0148527205034515,0.344988862397098,0.964529723117423,0.155981354526722,0.0424419817038698,0.0215900432204427,1.7419754397816e-22,2.10757300909277e-22,0.210225910613339,0.86624619878074,0.298902625156694,0.246365365886483,0.191858389056384,0.0191483462828256,2.10757300909277e-22,0.353339071878828,0.795261782205594,0.3286130643571,0.26196171811298,0.178515519791226,0.0212209051654235,2.10757300909277e-22,0.272035716193022,1,0.333016962697089,0.202167509413819,0.0952045006745956,0.00804017665015989,3.49753787360934e-22,0.690913653321479,0.949089341523099,0.801592052512355,0.300296119797632,0.196263479067343,0.0267971930421996,3.49753787360934e-22,0.714710475521481,0.967838369055428,0.729805230177359,0.295033806635206,0.133665035270132,0.0411280399044892,3.49753787360934e-22,0.808873631252551,1,0.610147274165799,0.274553224938511,0.0963162732572077,0.00226015493620946,0.116031083546622,0.312829838291236,1,0.231411216686701,0.0786860231741414,0.112331480722693,0.00971802002296937,0.116031083546622,0.657296379662389,0.939208663194002,0.122812122133145,0.0666877482956203,0.0914746879466223,1.49983100829066e-22,0.116031083546622,0.390558127614144,0.828101907599423,0.112854044615029,0.061121505573716,0.0639447098107185,0.0119972881227093
