"","b1.TL.ctrl","b1.IL.ctrl","b1.TI.ctrl","b1.TL.ko","b1.IL.ko","b1.TI.ko","b2.TL.ctrl","b2.IL.ctrl","b2.TI.ctrl","b2.TL.ko","b2.IL.ko","b2.TI.ko"
"Egr4",3.46330281311693,2.3654683480522,1.46410871063598,2.84259467309633,1.99995975572256,1.42132593666583,2.87414623764493,1.21308774984562,2.36928139618152,1.88624398438267,1.28292401061678,1.47026945382044
"Fosb",1.54911671007612,1.30931221907846,1.18315302301726,1.11020077889747,1.28083656429666,0.866777862097583,1.27164125308754,1.16262622523629,1.09376618683197,0.903297560926659,0.837466515190767,1.07860737658376
"ENSMUSG00000090582",2.43681564994093,2.26004492392654,1.07821558064752,0.962945243000738,1.20314476152309,0.800356926112301,1.87555007855529,1.3225316770838,1.41815134643195,1.55363254089698,1.27769516584575,1.21596495191291
"Fos",1.16973567136306,0.973838071190253,1.20116034273889,1.19299435123448,1.25249354029299,0.952495412435748,1.0251825547803,0.993000270574218,1.0324091394129,0.861715553320675,0.74210542102332,1.16117673973116
"Rgs1",0.578459099076431,0.350859441731844,1.6486918414427,0.521748773279155,0.400742562751487,1.30195497502647,0.644824560033906,0.619152445280914,1.04146331803849,0.498333672369058,0.540285435329821,0.922352593245174
"Atf3",1.4629578294728,1.16871177187777,1.25176956772007,1.56109195907096,1.34763703520071,1.15839199895427,1.29526496342864,0.891156884606554,1.45346457599382,0.945605206985693,0.853572559930185,1.10782053146488
"Egr1",1.20764789883482,1.07053696591805,1.12807678509186,1.0908354729388,1.12890956339884,0.966273569031153,1.09153358381258,1.24908887245032,0.873863828176879,1.03732793836225,0.958423498541509,1.08232732183718
"Nr4a1",1.2707391293807,1.08996943934984,1.16584840226226,1.08208928264418,1.11710707312098,0.968653147653097,1.25551663278518,1.22986651354635,1.02085601889011,1.09095785187117,1.04327622296777,1.04570374350885
"Zfp36",1.39569704437488,1.13817278627227,1.22626112766766,1.27179427254259,1.13982097216931,1.11578423594199,1.32017344891708,1.03706849390574,1.27298578317149,0.920359305620851,0.695292885469112,1.32370016270178
"Egr2",1.11312262299823,0.943497562674736,1.17978325226684,1.04907647188322,1.03592632785799,1.01269409191715,0.974977486388193,0.94776034448647,1.02871732507069,1.06400390634987,0.866488966700321,1.22794859166148
"Ppp1r15a",1.2960155458697,1.13173046053694,1.14516273181762,1.14939062123679,1.11099824967246,1.03455664450925,1.06347607139672,0.90384915689848,1.17660791436261,1.04304922345582,0.849084253835389,1.22844019158791
"Frat2",0.972365869669034,1.13762443822962,0.854733633519893,1.11753092653199,1.08187272812688,1.03295969801074,0.796880431756021,1.12131508602653,0.710665932962544,0.890235694227042,0.975458322028189,0.912633245443074
"Egr3",1.13834549998552,1.01977762594993,1.11626836186482,0.938857951841543,1.11838883837232,0.839473642465834,0.959713856085461,0.874635677454962,1.09727270545156,1.3797402431312,1.00627723243016,1.37113332058515
"Dusp1",1.22076131090697,0.987420770385577,1.23631317825153,1.10571522130927,1.03157039545646,1.07187568214383,1.16589874343434,1.01711864475467,1.14627605092772,0.820447138779877,0.67378289865288,1.21767284450263
"Ier2",1.36449378877822,1.13832011298332,1.19869074895122,1.34040591083329,1.15631775530312,1.15920204864614,1.26011070763331,0.938417885441463,1.34280337915822,1.120303608774,0.960954305230955,1.16582401751637
