"sp.LT.avg.ctrl","sp.LT.avg.ko","sp.avg.ratio","sp.LT.peak.ctrl","sp.LT.peak.ctrl.1","sp.peak.ratio","X0.ifnr.l.1","X0.5.ifnr.l.1","X1.ifnr.l.1","X2.ifnr.l.1","X3.ifnr.l.1","X5.ifnr.l.1","X8.ifnr.l.1","X0.ifnr.t.1","X0.5.ifnr.t.1","X1.ifnr.t.1","X2.ifnr.t.1","X3.ifnr.t.1","X5.ifnr.t.1","X8.ifnr.t.1","X0.ifnrikba.l.1","X0.5.ifnrikba.l.1","X1.ifnrikba.l.1","X2.ifnrikba.l.1","X3.ifnrikba.l.1","X5.ifnrikba.l.1","X8.ifnrikba.l.1","X0.ifnrikba.t.1","X0.5.ifnrikba.t.1","X1.ifnrikba.t.1","X2.ifnrikba.t.1","X3.ifnrikba.t.1","X5.ifnrikba.t.1","X8.ifnrikba.t.1"
"Zswim4",1.32941112416819,0.914249651731441,1.45410077176459,1.25172133984185,0.783253946985656,1.59810409466697,0.133507050995754,0.154849347164757,0.165046146158731,1,0.514504722849189,0.409651188985332,0.211974704263589,0.133507050995754,0.150691624682151,0.200887458556224,0.798899857476544,0.355854471546006,0.192376605207444,0.115662796041757,0.192182519423912,0.245052136819878,0.281602106627235,0.725488526363848,0.702810997362028,0.622652236019784,0.244768262619115,0.192182519423912,0.23542373621591,0.316751009062368,0.901225412416167,0.926249435647126,0.546931304601779,0.178538123329766
"Rasgef1a",1.05924068599201,0.542333384968719,1.95311724365466,1.02807469851328,0.39592407944537,2.59664605384309,0.575051172842211,0.567888519619162,0.347453284065818,1,0.373584208785523,0.409250770547577,0.147501018121035,0.575051172842211,0.308486078203974,0.376192702138324,0.972691966299844,0.463467584889108,0.23417289507941,0.299353746677993,0.168882826089669,0.0925798433874405,0.168176298840373,0.39592407944537,0.260082567867896,0.245364225536766,0.120093180891686,0.168882826089669,0.207494545412261,0.144117451256804,1,0.767041387735264,0.264385258400881,0.123744573944982
"Irf1",1.60127609930506,0.752941933402024,2.12669268142631,1.70236504358315,0.541552183008456,3.14349216381345,0.0657436561827185,0.0564040612626044,0.0956801621101038,1,0.353958791735011,0.40023764576848,0.17733199553115,0.0657436561827185,0.171295218609097,0.58741807685101,0.279228304964392,0.0888995144722701,0.0828261920775737,0.0668661828784478,0.109803782321652,0.0833727355338951,0.0743231394546038,0.511829674896018,0.541552183008456,0.160583880668817,0.120878403916092,0.109803782321652,0.104855651695351,0.339887427312899,1,0.400729217991171,0.0658961636639772,0.106938476734929
"Tnfaip3",1.5132924693861,0.894676555100195,1.69144084614649,0.822358218099553,0.970351403689232,0.847484957483428,0.0124120408540411,0.0350754183254967,0.286972041077431,0.822358218099553,0.54528005644433,0.310712670241826,0.0690690527553235,0.0124120408540411,0.163056194217099,1,0.104166901391883,0.0577913633305713,0.025582657461109,0.01271928910607,0.0231182462927228,0.0390038787543364,0.0826981922151561,0.676704917685407,0.970351403689232,0.452081708812265,0.0630170007191439,0.0231182462927228,0.0795772863899986,0.374009888189655,1,0.880510605320688,0.187712906903514,0.0336290217499122
"Rel",1.66804610444079,1.05185807584628,1.58580909605961,2.39879548563611,0.830545188883566,2.88821790522996,0.129962711733168,0.143464762835909,0.207700262929716,1,0.481269121530079,0.232942849456678,0.144131242878206,0.129962711733168,0.153933216478509,0.298131160367814,0.416875888748315,0.14731419481271,0.130415007785918,0.12588957599833,0.168420097165211,0.208683876574525,0.273343250266814,0.675326220239793,0.604351150557072,0.275387011722027,0.182826471994843,0.168420097165211,0.239671008465279,0.212696068921312,0.813111952580905,0.455888164240744,0.230164928985129,0.150637446977222
"Pim1",1.75719891300272,1.07015999359722,1.64199645241465,1.65384629875163,0.893194308840546,1.85160863922038,0.0612647666092232,0.118208277595882,0.405844168316585,1,0.594618328484036,0.282838006503552,0.126139099638289,0.0612647666092232,0.188969465594467,0.60465110981282,0.341569787938141,0.119107300847697,0.0817535049539491,0.0760019840252522,0.0841098114304852,0.155608959686655,0.356380089179967,0.766029695896864,0.685782092974309,0.312202213681048,0.0932604049398353,0.0841098114304852,0.182313852247707,0.452310485988527,0.857629396330621,0.480713024012196,0.147153171071939,0.0882996773865402
"Mir155hg",2.5352463666,1.11064137263414,2.28268676916571,2.50399793292348,0.954946404103889,2.62213452206588,0.0483644532550114,0.0506978717949109,0.253032977555833,1,0.624708335576155,0.401748738559174,0.103516699992055,0.0483644532550114,0.0727337071635888,0.399361352040924,0.214027172854482,0.101366214553295,0.0849845821733035,0.0581873217940718,0.1794754853521,0.136936871365166,0.545893254099735,0.954946404103889,0.629940049597374,0.390429145364414,0.158963633271937,0.1794754853521,0.178135095163801,0.412178431559909,1,0.514088072815893,0.20884774907185,0.205342172173206
"Zc3h12c",1.6552702934426,0.991506409443613,1.66944991749621,2.72064486610762,0.850817841887623,3.19768196218312,0.270897667103357,0.228299472355877,0.296961800824247,1,0.625308413427174,0.482996761438946,0.318962025331171,0.270897667103357,0.225163358542354,0.302133696403998,0.323976201454166,0.367559916568855,0.263368224828199,0.194272402617377,0.261443556224302,0.317410269350587,0.309080451927369,0.536428892779793,0.850817841887623,0.607419401453619,0.40100990833339,0.261443556224302,0.348902538791288,0.269044334281202,0.72112715052481,1,0.442507220684033,0.268714075493453
"Cxcl10",4.43826385604973,0.766457580766492,5.79061903414311,3.61733532986774,0.584826680175091,6.18531173848763,0.00271134796160801,0.00338872683578407,0.103734552972619,1,0.735446700372516,0.559608985491786,0.039771918060422,0.00271134796160801,0.0194868162135842,0.135306864294094,0.276446585347829,0.0967603909620836,0.0170028284595285,0.00310015004858982,0.0097871846732938,0.0160457452878443,0.111422581985358,0.584826680175091,0.578922611786686,0.571665230549975,0.0530889838489408,0.0097871846732938,0.0292344358270651,0.206734370157389,1,0.852535522226753,0.381285509738639,0.0329677895520393
"Zc3h12a",2.9215361487641,2.02761310631933,1.44087456312979,3.66143522906935,2.41923861867262,1.51346593130953,0.0564262603090024,0.0826120329001036,0.164473596493331,1,0.967539923231043,0.493608642439917,0.134287271088345,0.0564262603090024,0.1008801469781,0.235249563717407,0.273116943886012,0.180075663517091,0.0987257333968402,0.0477939946096525,0.0452121214146051,0.0695690662860643,0.11705127229979,0.601054347193842,0.812114239949046,0.351662098681981,0.0767160285731285,0.0452121214146051,0.0692479506155884,0.16499482280143,0.335690011593248,0.254883884227106,0.110665038884933,0.041877571257696
