"","0.ifnr.l.1","0.5.ifnr.l.1","1.ifnr.l.1","2.ifnr.l.1","3.ifnr.l.1","5.ifnr.l.1","8.ifnr.l.1","0.ifnr.t.1","0.5.ifnr.t.1","1.ifnr.t.1","2.ifnr.t.1","3.ifnr.t.1","5.ifnr.t.1","8.ifnr.t.1","0.ifnr.1","0.5.ifnr.1","1.ifnr.1","2.ifnr.1","3.ifnr.1","5.ifnr.1","8.ifnr.1","0.ifnrikba.l.1","0.5.ifnrikba.l.1","1.ifnrikba.l.1","2.ifnrikba.l.1","3.ifnrikba.l.1","5.ifnrikba.l.1","8.ifnrikba.l.1","0.ifnrikba.t.1","0.5.ifnrikba.t.1","1.ifnrikba.t.1","2.ifnrikba.t.1","3.ifnrikba.t.1","5.ifnrikba.t.1","8.ifnrikba.t.1","0.ifnrikba.1","0.5.ifnrikba.1","1.ifnrikba.1","2.ifnrikba.1","3.ifnrikba.1","5.ifnrikba.1","8.ifnrikba.1","0.ifnr.l.2","0.5.ifnr.l.2","1.ifnr.l.2","2.ifnr.l.2","3.ifnr.l.2","5.ifnr.l.2","8.ifnr.l.2","0.ifnr.t.2","0.5.ifnr.t.2","1.ifnr.t.2","2.ifnr.t.2","3.ifnr.t.2","5.ifnr.t.2","8.ifnr.t.2","0.ifnr.2","0.5.ifnr.2","1.ifnr.2","2.ifnr.2","3.ifnr.2","5.ifnr.2","8.ifnr.2","0.ifnrikba.l.2","0.5.ifnrikba.l.2","1.ifnrikba.l.2","2.ifnrikba.l.2","3.ifnrikba.l.2","5.ifnrikba.l.2","8.ifnrikba.l.2","0.ifnrikba.t.2","0.5.ifnrikba.t.2","1.ifnrikba.t.2","2.ifnrikba.t.2","3.ifnrikba.t.2","5.ifnrikba.t.2","8.ifnrikba.t.2","0.ifnrikba.2","0.5.ifnrikba.2","1.ifnrikba.2","2.ifnrikba.2","3.ifnrikba.2","5.ifnrikba.2","8.ifnrikba.2"
"Egr4",-0.49421630114725,-0.349552556216322,-0.0399603639840122,0.164608939538303,-0.439811559901294,-0.462119926663569,-0.508741080319244,-0.49421630114725,0.192637316537621,3,0.20668460520394,-0.476954526125109,-0.494544703176728,-0.508741080319244,-0.49421630114725,-0.132689753442968,2.07332376800114,0.11262647085711,-0.438980171515726,-0.462448866561568,-0.508741080319244,-0.565926408880654,-0.504812422396011,0.451300698817951,0.037670479909784,-0.382845429721351,-0.52341642470509,-0.579558904854939,-0.565926408880654,-0.130602366507086,3,0.636094804902198,-0.356581270708926,-0.485268794002748,-0.579558904854939,-0.565926408880654,-0.388258670783133,1.86717307934398,0.703055902589085,-0.384208513296569,-0.550213778182963,-0.567188265427854,-0.662451984845726,-0.342474335976817,0.111593647614582,0.60043526464003,-0.440388332921961,-0.65210938193645,-0.686784394877861,-0.662451984845726,0.526534176490839,2.04363204589965,3,-0.180449745404768,-0.652268270675155,-0.639969809877614,-0.662451984845726,-0.481255275315662,0.388872651996093,0.988666882903718,-0.403698024479037,-0.615183793933729,-0.652477501340316,-0.448811681160776,-0.32209176470971,1.40343494117353,-0.204803371401378,-0.568751555423825,-0.516154598458786,-0.594978277023875,-0.448811681160776,0.668923845820409,3,-0.122692278119169,-0.53579286761917,-0.473874402357386,-0.594978277023875,-0.448811681160776,0.00634684787637255,2.08966424419015,-0.363879493976915,-0.511825722022185,-0.571614475160436,-0.543017598743839
"Fosb",-0.535654046753394,-0.390630427712888,1.46735854675605,0.0745571617719688,-0.480578583113601,-0.511431129504698,-0.531710965893417,-0.535654046753394,-0.0940013353771613,2.87183357297014,0.0826955867780596,-0.456681219374157,-0.519025535612854,-0.514606360860472,-0.535654046753394,-0.29712127690559,2.49208480439079,-0.0989098573576045,-0.466415511466223,-0.504252344882048,-0.516202984346114,-0.688342956215902,-0.594172013044969,1.77829978282324,0.363698070273957,-0.311123475391689,-0.485685200013593,-0.66088788080822,-0.688342956215902,-0.491692992063535,1.86147304192796,0.554222513233586,-0.143984323196195,-0.530516979931604,-0.653612510005344,-0.688342956215902,-0.600182819120824,2.79371841739068,0.666825365143977,-0.277208385295911,-0.545204198732467,-0.658937544541341,-0.85886343370033,-0.568516627975069,1.04481454652234,1.39656707406105,-0.269032837948895,-0.702698756554038,-0.83018216811918,-0.85886343370033,-0.28674447601023,1.62076680754297,1.92029563621102,-0.14490618127167,-0.762528507192101,-0.797376994934379,-0.85886343370033,-0.393149477108069,1.3234713359616,1.58399340828354,-0.0690699193959113,-0.706682526826215,-0.782430034145775,-0.56222897924382,-0.370189650566936,2.80456421300143,0.220704208381751,-0.50296524368654,-0.579082461497702,-0.600908723790433,-0.56222897924382,-0.0076632816306241,2.01488840374875,0.217306480113351,-0.559733617246778,-0.580879245098433,-0.570502359736145,-0.56222897924382,-0.326852581684704,1.95779604193597,0.262779758571221,-0.513646476725106,-0.596216352520228,-0.582712173837386
"ENSMUSG00000090582",-0.459599935777361,-0.27687989599935,0.367651188608551,-0.164752181085485,-0.333544451769897,-0.442678657813567,-0.377249656675509,-0.459599935777361,0.196651677595996,2.87221874344532,-0.347278109545694,-0.425713357256555,-0.430916377298128,-0.395964263088056,-0.459599935777361,-0.186183850966762,3,-0.401864926201174,-0.420970112157247,-0.4429027895214,-0.411828460951996,-0.622610250049303,0.184437931818352,1.6776630297319,-0.14809969071458,-0.252949796279062,-0.495731915865096,-0.672398471008466,-0.622610250049303,0.0975875187062448,1.11887616693515,-0.0338629634264768,0.143171817124956,-0.624946384495957,-0.628566482008733,-0.622610250049303,-0.425688016269983,3,-0.188911641381428,-0.294319363595702,-0.481079193914328,-0.605180249913404,-0.444934320677834,0.126106770987173,0.735680076446445,-0.376142885091965,-0.481278956602475,-0.417076165266791,-0.590985802514179,-0.444934320677834,1.24469906881408,2.887203654205,-0.356429928441865,-0.470115089104005,-0.583358862639059,-0.549745848006145,-0.444934320677834,-0.3032063619011,2.44927480479755,-0.544579198097744,-0.43963191878062,-0.482003003569875,-0.513607393200926,-0.556058581716306,-0.291441134575076,1.19329823497665,-0.3525717391273,-0.37549842295425,-0.308165674303882,-0.518439040846949,-0.556058581716306,1.19367157809959,2.74306192681179,-0.6291478917244,-0.403610660511017,-0.472627161834964,-0.668968944543317,-0.556058581716306,0.243867196521914,2.37239151602433,-0.546037376146879,-0.460184014219002,-0.474729990402261,-0.576692656096053
"Fos",-0.691774761725952,0.262646822809077,2.09701077315349,-0.355416952441428,-0.591933623052129,-0.518944440872944,-0.447741624323001,-0.691774761725952,1.27418710819238,2.14781491713277,-0.345977294414337,-0.555057211903167,-0.535286469046924,-0.667036639552639,-0.691774761725952,0.514123590281286,2.02752218340677,-0.2388350193668,-0.658900959265508,-0.645267004919173,-0.687583870639875,-0.571169832282241,0.10948682173222,1.86553149326071,-0.417413252729668,-0.451988239530381,-0.541410199930394,-0.578945913665673,-0.571169832282241,0.56220187036453,2.22795400238326,-0.429235321007923,-0.447800788232054,-0.572063930498816,-0.594312130140742,-0.571169832282241,0.309744072511187,2.65912180858737,-0.403314063932043,-0.444524560936768,-0.549799167567011,-0.589723003821079,-0.699588664767679,0.344968848866308,2.24588276888351,-0.226207214667089,-0.538119037284832,-0.555638214707412,-0.603667756952311,-0.699588664767679,0.790539643398097,1.91574916271192,-0.154753010106015,-0.478682583925448,-0.615669501594454,-0.655473512810285,-0.699588664767679,0.144346278004344,2.43037181938454,-0.185670139118654,-0.532625678495805,-0.608143172123686,-0.618442705159695,-0.626032657559825,0.604462832760146,3,-0.49623295047207,-0.673094922744439,-0.506114991138199,-0.431784280533856,-0.626032657559825,1.54545616650413,1.09940925691024,-0.464779753819645,-0.38276408001998,-0.541543604239622,-0.672027204436281,-0.626032657559825,0.364067010920008,1.47357272471545,-0.263468661421398,-0.606008582479308,-0.597106119883091,-0.599759653429867
"Rgs1",-0.459883322854702,0.383972032200793,3,0.352619675495029,-0.341324877807664,-0.538661981352673,-0.607294194484493,-0.459883322854702,0.765053440248413,1.03357286649131,-0.464528032345205,-0.353151954135095,-0.503736824676156,-0.488254939155002,-0.459883322854702,-0.376074831447364,0.558872749596093,-0.493808892083341,-0.455152800448339,-0.435419979366678,-0.467436402591984,-0.478771694961386,0.397951295452607,3,0.566783987037868,0.00610408577186983,-0.605196963352334,-0.529594381085951,-0.478771694961386,0.422108344975371,1.15018730770686,-0.53419176826612,-0.503174523758753,-0.554881135441927,-0.486091973115138,-0.478771694961386,-0.329620319339735,1.07585847601997,-0.507052966883124,-0.507238001698924,-0.619946422147062,-0.618776051658846,-0.541366658946086,1.29447480297545,2.82925061000755,1.04017193348999,0.320430204770139,-0.952604620383863,-1.02096736388571,-0.541366658946086,0.268797344185455,1.13493913667511,-0.598785432280758,-0.457804736348383,-0.724056470095654,-0.411061432281285,-0.541366658946086,-0.543455552155976,1.51057452817228,-0.379983538175467,-0.467209608628266,-0.578277538962904,-0.640332290239449,-0.530839785288552,0.619569856646106,2.84251270320004,1.88095373422963,0.393914604920376,-0.729837562617816,-0.92580641160091,-0.530839785288552,0.0645202230389564,0.477576390142494,-0.821584846128612,-0.475009503686841,-0.259420523875768,-0.462873042497735,-0.530839785288552,-0.63317636109215,1.63876377260749,-0.65137237809716,-0.44982282615405,-0.284199473127481,-0.632189000040919
"Atf3",-0.594306457554748,-0.215056922372852,1.37886307006905,0.217821712571504,-0.48605923162838,-0.571262515473735,-0.675987288662264,-0.594306457554748,0.425155458434157,2.97326490758487,0.234103734698643,-0.608206199134216,-0.653529365278105,-0.64249445083072,-0.594306457554748,-0.0545269146720075,2.08323391231463,0.286617045560808,-0.650657998415939,-0.637252697565499,-0.621106884535693,-0.643105342385932,-0.393453307442899,1.35535815946619,0.179870918148052,-0.45217165538787,-0.540230955958139,-0.659343570796548,-0.643105342385932,-0.09075004172871,2.80903418406511,0.5213110931737,-0.374593407681043,-0.58500127291738,-0.654081593765592,-0.643105342385932,-0.331557291281426,2.33141715663858,0.474442180438586,-0.414959543938709,-0.5779545758789,-0.668020447995208,-0.85483731540294,-0.185084561774673,1.04202248219896,1.47241824717653,-0.267697901230348,-0.719347951811332,-0.927473287962837,-0.85483731540294,0.46621524842679,2.01361986060687,1.83507047716141,-0.161393196483721,-0.804467182328402,-0.843519714509488,-0.85483731540294,-0.435034548377466,0.905741196957882,1.20785211738422,-0.316890398573784,-0.825469544178558,-0.892049396473236,-0.515943197038252,0.0927980884915907,2.54806064279625,-0.0303226138467633,-0.571588491836101,-0.371180438137626,-0.637056322029696,-0.515943197038252,0.639197129863469,2.15169648950402,-0.323153802784227,-0.519846607167853,-0.626349240442014,-0.709123653486655,-0.515943197038252,0.00840919435569308,2.05918043202824,-0.273505497129,-0.528909742251574,-0.665533373516092,-0.694942603296898
"Egr1",-0.640485782036624,0.626095009777906,1.59600426108038,-0.321695089886356,-0.483690794781077,-0.552380629706398,-0.657468278425541,-0.640485782036624,1.32861836155002,2.18091772171124,-0.475354162810432,-0.61925859091079,-0.585093815361274,-0.651950102496736,-0.640485782036624,0.77592202525916,2.18367309095334,-0.489262524120667,-0.641672234359432,-0.627767227514213,-0.664179673849254,-0.868100748444384,0.247878135403342,1.75659301471866,-0.207635931466774,-0.0756022793282303,-0.455909920629261,-0.889525503419873,-0.868100748444384,0.724188999982106,2.15218807565141,-0.246359510113614,-0.168459151182766,-0.576848008198217,-0.898406308879333,-0.868100748444384,0.621404899729489,2.37899999645112,-0.166765874097828,-0.18269940423217,-0.531695145655098,-0.877043839399801,-0.87099315887541,0.440966729372365,1.29641416136276,0.542013151947014,-0.579933770424608,-0.714702352963084,-0.904068760824085,-0.87099315887541,0.603966808443721,1.70133677467442,0.620548536668196,-0.617640524186807,-0.741505427935998,-0.848894974561447,-0.87099315887541,1.94803300558353,1.66152700901616,0.505438398588878,-0.686367727324242,-0.737871943051794,-0.876279617758746,-0.327527242231275,0.687529518746684,2.1202311375598,-0.533663900004605,-0.677074338292118,-0.403529596251111,-0.856256522594221,-0.327527242231275,1.70399938001066,1.53946735968182,-0.584844733174797,-0.650246695393708,-0.543404129791387,-0.871823127619306,-0.327527242231275,0.897410112890359,1.830278337602,-0.563043496470445,-0.717874313190417,-0.605040426654397,-0.789532840360997
"Nr4a1",-0.654425218793781,-0.185395601501241,1.45608314239974,0.470837363295158,-0.365061253513314,-0.591207684392627,-0.661637451124809,-0.654425218793781,0.233668661528591,2.79792136412306,0.00167868752397873,-0.537160280153642,-0.541803854820178,-0.635454034177811,-0.654425218793781,0.0331368491413091,2.3417488573201,-0.081315474892635,-0.508926117135359,-0.618199465980906,-0.645638051258081,-0.781921421310796,-0.43305140145251,1.47066084493554,0.798565769139253,-0.133514168351696,-0.552315854898951,-0.743440440288926,-0.781921421310796,-0.211406542539011,2.35020766354439,0.47767167792525,-0.382305851097116,-0.617132998001384,-0.746493465779887,-0.781921421310796,-0.385544220641173,2.42175560186291,0.669113018429738,-0.347347550939667,-0.581536452361825,-0.708121365552546,-0.83411137704528,-0.218240102550148,0.791115507589299,1.5013447019949,-0.548384624282293,-0.747595645296093,-0.80391550161625,-0.83411137704528,0.0720822715897836,1.31275849885362,1.94899464583168,-0.449699062670484,-0.749939049123427,-0.802039113006393,-0.83411137704528,-0.0201363188637483,1.12634815123773,1.99140696849958,-0.371476858817221,-0.746854899253267,-0.783435438981434,-0.542656347786879,0.00349350707770795,2.33494964533369,-0.178071648200508,-0.562984586007796,-0.587736136855655,-0.690577542310141,-0.542656347786879,0.56723711467494,2.21856570505178,-0.165678352654569,-0.555381132306669,-0.596026101523145,-0.695140039580818,-0.542656347786879,0.278486281537929,2.19535802034391,-0.0666218106154232,-0.564851686805885,-0.636469550795108,-0.670582643003604
"Zfp36",-0.673226841258501,-0.131963009549206,0.975548439684801,0.491812290331711,-0.371915456540164,-0.458795955841815,-0.63624380768363,-0.673226841258501,1.34616456503274,2.57632826783913,-0.322223849972988,-0.639413811484104,-0.628834265800008,-0.674092841006172,-0.673226841258501,0.401123243600447,2.31207043822659,-0.248796694535393,-0.660247246339008,-0.654203650176013,-0.656636132011422,-0.849117307224028,-0.359555885916791,0.978611693523139,0.578123867608992,0.112363764767433,-0.440999669509574,-0.884302021319905,-0.849117307224028,0.300543642715011,2.63288212128241,0.392195389081859,-0.0400564116614327,-0.745322326711824,-0.842738879219487,-0.849117307224028,-0.0470934281637172,2.37545510138859,0.302358009905172,-0.227601880508457,-0.688176924826803,-0.849334240762532,-0.741511405743364,0.0592656748328597,1.38142343309732,0.459999580400833,-0.414098476162886,-0.650279500340227,-0.762116667660732,-0.741511405743364,1.26322035453779,2.65246191509792,-0.0266948184734747,-0.574160729402375,-0.708550988846957,-0.737858148056418,-0.741511405743364,0.896456888412193,1.64710940054661,-0.140483883503106,-0.636607474208737,-0.732584977718222,-0.751967365322293,-0.724663326191625,0.156652971834712,2.65456878657013,0.335460597987513,-0.383836462870747,-0.470810784932449,-0.670892852972433,-0.724663326191625,2.00221390308755,1.12301018814334,0.0562123108057791,-0.603435056493099,-0.744473285811119,-0.769663895317772,-0.724663326191625,0.388445173242689,1.41269720418353,-0.241049875987305,-0.644876652399865,-0.720764922751559,-0.705467367744026
"Egr2",-0.697685478930289,0.198417155823891,1.85121925684677,0.185319326180094,-0.421868476023081,-0.502160541383415,-0.718263250363838,-0.697685478930289,0.878322748530552,2.35563985050941,-0.18253920699083,-0.534715743789586,-0.568503144728889,-0.726064202271466,-0.697685478930289,0.325525024906768,2.24570471989304,-0.260277142186274,-0.612176447136774,-0.676804095473684,-0.743719395551824,-0.943327737103394,-0.210406252621402,2.0767112680076,0.0987519718452327,-0.0844113972304298,-0.27444189469094,-0.876569865335644,-0.943327737103394,0.288536576536009,1.8292346186281,0.202333015399011,-0.030037026378626,-0.320959831136251,-0.869344195918976,-0.943327737103394,0.0050844750859262,2.54302407530486,0.217686554358294,-0.238500674248462,-0.611411353627094,-0.915296852667026,-1.10069706004433,0.747861264873944,1.43861736069327,1.0439843407885,-0.297246600607141,-0.575588768489769,-1.02900043913597,-1.10069706004433,0.811530311755475,1.48878089525709,0.851916739563898,-0.311326063008797,-0.743072612313045,-0.990657867465746,-1.10069706004433,1.06346640332125,1.5748302160944,0.531768614447961,-0.366122417969492,-0.843000243808638,-1.0946499538642,-0.451789730827453,0.170078975993943,2.34148306024552,-0.0871975143684954,-0.569797207196594,-0.463480187034124,-0.787730714892465,-0.451789730827453,1.25856636456356,2.14938718009349,-0.430362178086178,-0.607710819467546,-0.529386024542743,-0.818438899770926,-0.451789730827453,0.415694304339911,1.798298503184,-0.461828925915219,-0.625299712079273,-0.616378607013157,-0.780528405571332
