"","b1.TL.ctrl","b1.TL.ko","cluster"
"Egr4",3.46330281311693,2.84259467309633,1
"Fosb",1.54911671007612,1.11020077889747,1
"ENSMUSG00000090582",2.43681564994093,0.962945243000738,1
"Fos",1.16973567136306,1.19299435123448,1
"Rgs1",0.578459099076431,0.521748773279155,1
"Atf3",1.4629578294728,1.56109195907096,1
"Egr1",1.20764789883482,1.0908354729388,1
"Nr4a1",1.2707391293807,1.08208928264418,1
"Zfp36",1.39569704437488,1.27179427254259,1
"Egr2",1.11312262299823,1.04907647188322,1
"Ppp1r15a",1.2960155458697,1.14939062123679,1
"Frat2",0.972365869669034,1.11753092653199,1
"Egr3",1.13834549998552,0.938857951841543,1
"Dusp1",1.22076131090697,1.10571522130927,1
"Ier2",1.36449378877822,1.34040591083329,1
"Tnfsf9",0.497527306114025,0.585077175078732,1
"Btg2",1.28631664870003,1.05818135143246,1
"Arc",0.952628544214315,1.00926241273565,1
"Gdf15",0.812318276130507,0.706595525855273,1
"Jun",1.32131863117061,1.21401982275049,1
"Ier3",1.16372012369034,0.902559141736401,1
"Junb",0.987448800114052,1.04997370363969,1
"Dusp8",1.03554932543111,1.01732278964589,1
"Cxcl1",0.979938336953741,0.523179674777724,1
"Nfkbiz",0.658276980287509,0.641590580807498,1
"Cxcl2",0.440165135542183,0.387790877733689,1
"Pcdh10",1.77020258292132,1.58515129233176,2
"Ifrd1",1.1044074063647,1.22421791210822,2
"Zbtb10",0.966578244880647,1.14582829303589,2
"ENSMUSG00000089726",0.966824187671436,1.05026120494155,2
"Slc25a25",0.983302079908513,1.07594394421161,2
"Zswim4",0.752212751811969,1.09379314294095,2
"Stk17b",0.893370846075425,1.23777301393543,2
"Creb5",1.02410009541631,1.10603468121432,2
"Hivep1",0.968658638395522,1.25882214938528,2
"4930523C07Rik",1.11917599705375,1.20175621735429,2
"Itpkc",0.881344887865134,1.10236559410126,2
"Arg2",0.848604260979135,0.706317444088348,2
"Fgf7",0.889294084959438,0.928415496096529,2
"Nfil3",1.02224215616545,0.997049984372561,2
"Fas",0.795784872849367,1.065832830325,2
"Tnfrsf11b",1.10619699381011,0.996746487748483,2
"Arid5a",0.829361981066384,1.04636033886879,2
"Trib1",0.912386947001367,0.907830861522434,2
"Rasgef1a",0.944072497615093,1.84388427435216,3
"Klf10",0.772154514973916,1.06436106200757,3
"Irf1",0.62450192095791,1.32812366483786,3
"Tnfaip3",0.660810795156913,1.11772237050295,3
"Nr4a3",0.97510965130776,1.05455079627122,3
"Rel",0.599503813076707,0.95069859989946,3
"Klf5",0.759775439460334,0.801529407389657,3
"Gadd45b",0.776047047818913,1.0373406377514,3
"Pim1",0.569087536192012,0.93443971554068,3
"ENSMUSG00000097418",0.394438983593178,0.900380649091318,3
"Zc3h12c",0.60413094100796,1.00856634962264,3
"Nfatc1",1.02602269163724,1.26513856903226,3
"Cxcl10",0.225313328011564,1.30470364582989,3
"Zc3h12a",0.34228568433871,0.493190735887121,3
"Rnd1",0.491753046642216,0.685344628298347,3
"Stx11",0.755311132968257,1.36588388402926,3
"Bcl3",0.509788587445361,0.741075900010546,3
"Cgn",0.532979572523032,1.13716052318974,4
"Pdgfb",0.396887746109662,1.02778103436277,4
"ENSMUSG00000073234",0.816610045773821,1.41381111109567,4
"Csf1",0.601945657537749,0.988066878568031,4
"Plekhh1",0.729844851040697,1.11707576794542,4
"Rrad",0.690524468883321,1.1365218530621,4
"Dot1l",0.986384448597106,1.04140732995341,4
"Ccdc88c",0.895893823269806,1.04625895545664,4
"Errfi1",0.92886521841757,1.06075803101449,4
"Sik1",0.712685960358657,1.12192565383031,4
"Kcnk10",0.663549475413237,0.887809729951177,4
"Ccl1",0.300306119147666,1.25646241758157,4
"Zbtb46",0.878288611498139,1.40790718124063,4
"Ccl2",0.360065946215912,0.859455140916735,4
"Micall2",0.665598178897881,0.910471539180808,4
"Slco5a1",1.1481111793782,1.31075026231252,4
"Wnt11",0.713682362858001,1.24101730532961,4
"Tjp2",0.783126432630928,1.14089504036351,4
"Ccl7",0.435943764969372,0.808614173919301,4
"Birc3",0.57746548489851,1.11220383832166,4
"Angptl4",0.665548688675689,0.870869227779932,4
"Bahcc1",0.902351818520718,0.988181504597973,4
"Bdkrb2",0.455868776354069,0.982206385951605,4
"Icam1",0.392344198857866,0.932341159791188,4
"Nfkb1",0.703678657790366,0.894983336036114,4
"Nfkb2",0.594385558067602,1.01424541116774,4
"Nfkbie",0.493409209974053,1.12067279679244,4
"Rab11fip1",0.398309321638752,0.817458797959648,4
"Relb",0.657924060824679,1.02362971436062,4
"Rhof",0.634365709947681,0.988271155489306,4
"Ripk2",0.440359577917065,0.842632656310241,4
"Trim47",0.685770953670388,0.995761271483055,4
"Vcam1",0.718540888022155,1.12399403324732,4
"Glrx",0.643290272909628,0.876554951233106,5
"Slco2a1",0.672408076459983,1.00628524292433,5
"Ngef",1.16288137383907,0.941863216948789,5
"Rffl",0.694971060911279,0.757958473290111,5
"Gbp2",0.43920268882504,1.1516126240451,5
"Il34",0.591247123642426,0.898166814530404,5
