,ctrl.sp,mt.sp,gene,cate,cate2
1,-2.53485158413179,-1.9332186725176,Egr4,I,I
2,-0.752713811928545,-0.0468587146061314,Fosb,I,I
3,-1.94733972123047,0.352850213972232,Gm17024,I,I
4,-0.0253415690167751,-0.194371011483238,Fos,I,I
5,1.39545715798104,1.19617121184907,Rgs1,II,II
6,-0.79873573738373,-0.769210666230276,Atf3,I,I
7,-0.323622489262511,-0.191486289566362,Egr1,I,I
8,-0.696420408577921,-0.46185580608783,Nr4a1,I,I
9,-0.942462574325269,-0.868712800095529,Zfp36,I,I
10,-0.250414998248115,0.11670634359551,Egr2,I,I
11,-0.598319374263846,-0.475878296197821,Ppp1r15a,I,I
12,0.337917443105742,-0.217444529835972,Frat2,I,I
13,-0.360669886371657,-0.134657228573052,Egr3,I,I
14,-0.536802498548602,-0.199122458480199,Dusp1,I,I
15,-0.86062110547395,-0.923829203252006,Ier2,I,I
16,1.10974698233751,1.41770545168723,Tnfsf9,II,II
17,-0.964193196897207,-0.272857878784055,Btg2,I,I
18,0.304195667075064,0.277414273813439,Arc,I,I
19,0.824838060980206,0.469493892499113,Gdf15,III,II
20,-1.07630700561743,-0.591030986131026,Jun,I,I
21,-0.656623301822197,-0.270114568892804,Ier3,I,I
22,-0.593943956310774,-0.45174432952431,Junb,I,I
23,-0.532297089707856,-0.51858000961097,Dusp8,I,I
24,-0.606432125575404,0.945015942907761,Cxcl1,I,I
25,-0.0235881681454927,0.748249937056181,Nfkbiz,I,I
26,0.35017270434612,1.17253519289798,Cxcl2,I,I
27,-0.970310373809846,-1.13521647568401,Pcdh10,I,I
28,-0.130575011218593,-0.567898133699299,Ifrd1,I,I
29,0.505128496994351,-0.26267448654469,Zbtb10,III,III
30,-0.169170547945346,-0.115068113505557,Mir17hg,I,I
31,-0.563340407255854,-0.0218410299263139,Slc25a25,I,I
32,0.323913422993949,-0.35244796022109,Zswim4,I,I
33,0.318616221002974,-0.481276285503748,Stk17b,I,I
34,-0.283600703208789,-0.205624385801802,Creb5,I,I
35,-0.651007222650431,-0.623007859540812,Hivep1,I,I
36,-0.503409044495309,-0.555456861168208,4930523C07Rik,I,I
37,0.51914046313977,-0.536243562437259,Itpkc,III,III
38,-0.000981208342795748,0.26325727205319,Arg2,I,I
39,0.0844802813838647,0.0349373881296649,Fgf7,I,I
40,-0.397340504153479,-0.333804125218602,Nfil3,I,I
41,-0.124234973609875,-0.177613577906416,Fas,I,I
42,-0.00547866085010811,-0.152971573906966,Tnfrsf11b,I,I
43,0.231596654760946,-0.44731214793308,Arid5a,I,I
44,0.0101053681033017,0.363503405070714,Trib1,I,I
45,0.0399450926051998,-1.33670428253322,Rasgef1a,I,I
46,0.832524762772494,-0.244212459471852,Klf10,III,III
47,0.767540431910966,-0.884827734818716,Irf1,III,III
48,-0.282161128108302,-0.0434207944414044,Tnfaip3,I,I
49,0.273212256802266,-0.474351797766261,Nr4a3,I,I
50,1.26231016286859,-0.267869429403337,Rel,III,III
51,0.444026627759764,0.251041419827755,Klf5,I,I
52,0.751596596296359,-0.151995958720401,Gadd45b,III,III
53,0.725825162965998,-0.162954036106822,Pim1,III,III
54,1.32423337131116,-0.0665083300147186,Mir155hg,III,III
55,1.44394864958898,-0.23307780755387,Zc3h12c,III,III
56,-0.358188316339416,-0.495880706033778,Nfatc1,I,I
57,1.8549273431729,-0.773918965405701,Cxcl10,III,III
58,1.87240927473494,1.27455307481497,Zc3h12a,III,III
59,0.624411513807356,0.89153145427853,Rnd1,II,II
60,-0.055107754599338,-0.372926180545129,Stx11,I,I
61,0.852416590718837,0.598821377912859,Bcl3,III,II
62,1.91035066449546,-0.497405812658376,Cgn,III,III
63,1.97490644812771,-0.22547337530479,Pdgfb,III,III
64,-0.0463356292245985,-0.737496348456171,Gm8773,I,I
65,0.334940068283614,0.00232883332546632,Csf1,I,I
66,0.299428516409965,-0.208899450866721,Plekhh1,I,I
67,0.391219641910701,-0.361257610202516,Rrad,I,I
68,-0.051430000907771,-0.271371913377322,Dot1l,I,I
69,0.397856842415723,-0.401486383851234,Ccdc88c,I,I
70,0.144763428955523,-0.407665438691061,Errfi1,I,I
71,0.677047843537184,-0.228551667173404,Sik1,III,III
72,0.829398806858171,0.243191058225012,Kcnk10,III,III
73,1.93704213762506,0.272366523954525,Ccl1,III,III
74,0.384783760613949,-0.775511905575402,Zbtb46,I,I
75,1.20569220301392,0.306947828333302,Ccl2,III,III
76,0.432758963831325,0.0465589696603454,Micall2,I,I
77,-0.273280386624111,-0.0158692718224821,Slco5a1,I,I
78,0.790153905263544,-0.230028395942029,Wnt11,III,III
79,0.48138171312335,-0.322578804013983,Tjp2,I,I
80,1.23209460981795,0.437440498837507,Ccl7,III,III
81,0.46146038862825,-0.0490310263981301,Birc3,I,I
82,1.03383169067647,0.200350553087954,Angptl4,III,III
83,0.480045219779265,0.0631942784795547,Bahcc1,I,I
84,1.67397956482161,0.21076887310834,Bdkrb2,III,III
85,1.37096601500533,0.110023537200674,Icam1,III,III
86,0.510680649343827,0.118408984229398,Nfkb1,III,II
87,0.724088182765642,0.0656983597979801,Nfkb2,III,III
88,0.708002367401302,-0.206477394735725,Nfkbie,III,III
89,1.78303559054242,0.577090822976581,Rab11fip1,III,III
90,0.0564798305950482,-0.20670695687768,Relb,I,I
91,1.15521138272052,0.138531679934331,Rhof,III,III
92,0.73814896232658,0.390970272582199,Ripk2,III,II
93,0.582748598252388,-0.062792733762222,Trim47,III,III
94,0.214414744872824,-0.206352088608764,Vcam1,I,I
95,1.35570500194914,0.534360920820834,Glrx,III,III
96,0.912302169318111,0.237218217208784,Slco2a1,III,III
97,-0.240233916352344,1.05102306606655,Ngef,I,I
98,0.944600661444705,0.76677220064302,Rffl,II,II
99,1.5518132567795,0.114239674617909,Gbp2,III,III
100,1.35907188651196,-0.0440239293413832,Il34,III,III
101,0.282142224577167,-0.292402590878831,Gjb2,I,I
102,1.18311069556961,0.457118277693633,Slc7a2,III,III
103,1.76226841103732,0.779426059048099,Sod2,III,III
104,1.23100855371295,0.584569908973184,Tnip1,III,III
105,1.05352978287481,0.93570021906965,Mt2,II,II
106,1.3593830546859,0.97323746068809,Ch25h,II,II
107,0.6418315022602,0.658294126725256,Mnda,II,II
108,1.4792859815635,1.16828849312154,Ikbke,II,II
109,0.192725781814656,0.128340358037374,Adarb1,I,I
110,0.844496485705232,0.608499340540192,Ifi203,II,II
111,1.34664804269214,0.694649727306325,Cx3cl1,III,III
112,1.52707532112964,0.898137000698548,Gch1,III,III
113,0.892461381525829,0.576645382172954,Serpina3g,III,II
114,0.490222262788106,0.268418188577385,Atp2b4,I,I
115,0.900649929627763,0.0400917681513714,B4galt5,III,III
116,0.947495989897656,0.621684880438058,Cebpb,III,II
117,0.550112526701502,-0.303849923145074,Gda,III,III
118,0.51836651097349,-0.115089752301209,Il1r1,III,III
119,0.69319592242032,0.181110419567184,Jak2,III,III
120,0.114792413932437,0.0317037910796647,Nxph3,I,I
121,0.390227898187911,0.504685394840473,Osmr,I,I
122,1.20450713697092,-0.0300332572202973,Rab20,III,III
123,0.715440898919404,0.167072255032011,Sdc4,III,III
124,0.842810552182021,0.180710719219341,St3gal1,III,III
125,4.89469866043297,2.98190857943424,Ifnb1,III,III
126,3.40605586222827,3.48276630590806,Csf3,II,II
127,2.92354932057476,2.66337304611751,Cxcl3,II,II
128,2.6133228591872,2.59271882966254,Ccl3,II,II
129,4.90050185203801,4.58872175095187,Il1a,II,II
130,-0.068666327541164,0.49021633397433,Nfkbia,I,I
131,1.53198617035707,0.11023990080741,Slfn2,III,III
132,4.99961297860809,3.6884244231446,Nos2,II,III
133,7.15234322086465,3.4057107211748,Irg1,III,III
134,0.781070192843226,0.0971110652084291,Hivep3,III,III
135,3.08934313069186,0.923809073195725,Ifih1,III,III
136,3.44638927349721,1.58686263184564,Oasl1,III,III
137,1.92441631058036,1.03005816046665,Ptger2,III,III
138,4.36208474671604,2.16522546542284,Rsad2,III,III
139,2.08860365176108,0.573598512467719,Tnfaip2,III,III
140,1.37310367386583,0.336806360850618,Tnfsf11,III,III
141,0.859920898503104,0.274346196356113,Slc39a4,III,III
142,0.840782087338918,0.286606261672549,Il1rap,III,III
143,0.876608879207216,0.0821360836570109,Cd274,III,III
144,0.885200163246203,0.274649248611716,Tmem158,III,III
145,1.245422668618,0.207434718022132,Slco3a1,III,III
146,0.539462066858125,0.230129603494242,Egln3,III,II
147,0.723709732805395,-0.6413073099015,Adtrp,III,III
148,-0.0928550214275027,-0.229359984197082,Grem2,I,I
149,1.06644293173502,0.553354598668545,Gsap,III,III
150,1.23862344229993,0.560131232321548,Timp1,III,III
151,0.376690280183895,-0.138290012304493,F2rl1,I,I
152,0.547993585385,0.325258477279126,Rab15,III,II
153,0.709623940040206,-0.11462315606682,Il1rl1,III,III
154,1.02541902575875,0.71230666099625,Slc6a12,III,II
155,0.945674415877277,0.394646325975953,Exoc3l4,III,III
156,0.700448366343816,0.127948512188212,Flt1,III,III
157,0.0682529643290334,-0.553535302228761,Nptx1,I,I
158,1.83350095633651,0.585733605856696,Mmp9,III,III
159,2.12295770886241,0.57302787073329,Acpp,III,III
160,-0.483317504329093,0.528855671273984,Kcnq5,I,I
161,2.913383968311,1.22501866219498,Pilra,III,III
162,1.30684645488856,1.05428291555864,Prokr2,II,II
163,1.58885695945266,0.391069943323459,Mmp1b,III,III
164,3.43657805829121,0.977046125513486,Mmp3,III,III
165,0.777072855451681,0.837383672812968,Rasl12,II,II
166,0.919314982435384,0.190694627830396,Rbfox1,III,III
