"","X","ctrl.sp","mt.sp","gene","cate","cate2"
"Egr4",1,-2.53485158413179,-1.9332186725176,"Egr4","I","I"
"Fosb",2,-0.752713811928545,-0.0468587146061314,"Fosb","I","I"
"Gm17024",3,-1.94733972123047,0.352850213972232,"Gm17024","I","I"
"Fos",4,-0.0253415690167751,-0.194371011483238,"Fos","I","I"
"Rgs1",5,1.39545715798104,1.19617121184907,"Rgs1","II","II"
"Atf3",6,-0.79873573738373,-0.769210666230276,"Atf3","I","I"
"Egr1",7,-0.323622489262511,-0.191486289566362,"Egr1","I","I"
"Nr4a1",8,-0.696420408577921,-0.46185580608783,"Nr4a1","I","I"
"Zfp36",9,-0.942462574325269,-0.868712800095529,"Zfp36","I","I"
"Egr2",10,-0.250414998248115,0.11670634359551,"Egr2","I","I"
"Ppp1r15a",11,-0.598319374263846,-0.475878296197821,"Ppp1r15a","I","I"
"Frat2",12,0.337917443105742,-0.217444529835972,"Frat2","I","I"
"Egr3",13,-0.360669886371657,-0.134657228573052,"Egr3","I","I"
"Dusp1",14,-0.536802498548602,-0.199122458480199,"Dusp1","I","I"
"Ier2",15,-0.86062110547395,-0.923829203252006,"Ier2","I","I"
"Tnfsf9",16,1.10974698233751,1.41770545168723,"Tnfsf9","II","II"
"Btg2",17,-0.964193196897207,-0.272857878784055,"Btg2","I","I"
"Arc",18,0.304195667075064,0.277414273813439,"Arc","I","I"
"Gdf15",19,0.824838060980206,0.469493892499113,"Gdf15","II","II"
"Jun",20,-1.07630700561743,-0.591030986131026,"Jun","I","I"
"Ier3",21,-0.656623301822197,-0.270114568892804,"Ier3","I","I"
"Junb",22,-0.593943956310774,-0.45174432952431,"Junb","I","I"
"Dusp8",23,-0.532297089707856,-0.51858000961097,"Dusp8","I","I"
"Cxcl1",24,-0.606432125575404,0.945015942907761,"Cxcl1","I","I"
"Nfkbiz",25,-0.0235881681454927,0.748249937056181,"Nfkbiz","I","I"
"Cxcl2",26,0.35017270434612,1.17253519289798,"Cxcl2","I","I"
"Pcdh10",27,-0.970310373809846,-1.13521647568401,"Pcdh10","I","I"
"Ifrd1",28,-0.130575011218593,-0.567898133699299,"Ifrd1","I","I"
"Zbtb10",29,0.505128496994351,-0.26267448654469,"Zbtb10","III","III"
"Mir17hg",30,-0.169170547945346,-0.115068113505557,"Mir17hg","I","I"
"Slc25a25",31,-0.563340407255854,-0.0218410299263139,"Slc25a25","I","I"
"Zswim4",32,0.323913422993949,-0.35244796022109,"Zswim4","I","I"
"Stk17b",33,0.318616221002974,-0.481276285503748,"Stk17b","I","I"
"Creb5",34,-0.283600703208789,-0.205624385801802,"Creb5","I","I"
"Hivep1",35,-0.651007222650431,-0.623007859540812,"Hivep1","I","I"
"4930523C07Rik",36,-0.503409044495309,-0.555456861168208,"4930523C07Rik","I","I"
"Itpkc",37,0.51914046313977,-0.536243562437259,"Itpkc","III","III"
"Arg2",38,-0.000981208342795748,0.26325727205319,"Arg2","I","I"
"Fgf7",39,0.0844802813838647,0.0349373881296649,"Fgf7","I","I"
"Nfil3",40,-0.397340504153479,-0.333804125218602,"Nfil3","I","I"
"Fas",41,-0.124234973609875,-0.177613577906416,"Fas","I","I"
"Tnfrsf11b",42,-0.00547866085010811,-0.152971573906966,"Tnfrsf11b","I","I"
"Arid5a",43,0.231596654760946,-0.44731214793308,"Arid5a","I","I"
"Trib1",44,0.0101053681033017,0.363503405070714,"Trib1","I","I"
"Rasgef1a",45,0.0399450926051998,-1.33670428253322,"Rasgef1a","I","I"
"Klf10",46,0.832524762772494,-0.244212459471852,"Klf10","III","III"
"Irf1",47,0.767540431910966,-0.884827734818716,"Irf1","III","III"
"Tnfaip3",48,-0.282161128108302,-0.0434207944414044,"Tnfaip3","I","I"
"Nr4a3",49,0.273212256802266,-0.474351797766261,"Nr4a3","I","I"
"Rel",50,1.26231016286859,-0.267869429403337,"Rel","III","III"
"Klf5",51,0.444026627759764,0.251041419827755,"Klf5","I","I"
"Gadd45b",52,0.751596596296359,-0.151995958720401,"Gadd45b","III","III"
"Pim1",53,0.725825162965998,-0.162954036106822,"Pim1","III","III"
"Mir155hg",54,1.32423337131116,-0.0665083300147186,"Mir155hg","III","III"
"Zc3h12c",55,1.44394864958898,-0.23307780755387,"Zc3h12c","III","III"
"Nfatc1",56,-0.358188316339416,-0.495880706033778,"Nfatc1","I","I"
"Cxcl10",57,1.8549273431729,-0.773918965405701,"Cxcl10","III","III"
"Zc3h12a",58,1.87240927473494,1.27455307481497,"Zc3h12a","II","III"
"Rnd1",59,0.624411513807356,0.89153145427853,"Rnd1","II","II"
"Stx11",60,-0.055107754599338,-0.372926180545129,"Stx11","I","I"
"Bcl3",61,0.852416590718837,0.598821377912859,"Bcl3","III","II"
"Cgn",62,1.91035066449546,-0.497405812658376,"Cgn","III","III"
