"gene","ensembID","adjR2.rep1","kdeg.rep1","intersect.rep1","kdeg.se.rep1","startID.rep1","endID.rep1","adjR2.rep2","kdeg.rep2","intersect.rep2","kdeg.se.rep2","startID.rep2","endID.rep2"
"Dusp1","ENSMUSG00000024190","0.990112246760371","6.2057141516242","6.83951109008345","0.437423177288461","1","3","0.965261060378643","3.80159888697749","8.35833793253001","0.505433991928764",1,3
"Trib1","ENSMUSG00000032501","0.915751113715815","5.38796022686896","6.68505553899645","1.12989196968637","1","3","0.963358889529353","3.87526935458182","8.07262385933506","0.529402954906667",1,3
"Fos","ENSMUSG00000021250","0.96228407175923","5.85197835674294","7.53398073402041","0.811305037010717","1","3","0.971774741075245","4.71371355858022","7.40501443747722","0.563966757678036",1,3
"Nfkbia","ENSMUSG00000021025","0.988532750584368","5.72498415912148","8.21825806441613","0.434747951784726","1","3","0.999942847470986","3.35142124169767","8.18572251174732","0.0179158720366287",1,3
"Zfp36","ENSMUSG00000044786","0.896314682418905","4.85490550344931","8.03860927782658","1.13523091235142","1","3","0.981289688768279","2.02435402213158","8.31314789385954","0.16087626432982",1,4
"Egr1","ENSMUSG00000038418","0.991420635548808","3.59640599417338","11.0688476574776","0.236055851150035","1","3","0.971576317454406","2.14505405086477","10.1510238081518","0.210800685665217",1,4
"Ier3","ENSMUSG00000003541","0.998056595916774","4.48427067363605","6.68422805907569","0.139852257651603","1","3","0.999010473517643","1.4962842902","8.00465556644248","0.0332904980239267",1,3
"Btg2","ENSMUSG00000020423","0.98420360247324","3.48634338737545","9.36758313050746","0.311068525840024","1","3","0.99993230073185","2.4068523088826","10.8702451099871","0.0140034092464862",1,3
"Arc","ENSMUSG00000022602","0.987936116111512","3.61376289826917","7.78291967492957","0.281515309029915","1","3","0.989945015188725","2.80458075270189","7.10140655155422","0.199360043829254",1,3
"Tnfaip3","ENSMUSG00000019850","0.994646903305519","3.94218129869796","6.43289879445333","0.204223692349165","1","3","0.97515146562856","2.71482604089056","8.50765262957381","0.249148966486256",1,4
"Jun","ENSMUSG00000052684","0.950910631030833","1.81242020970462","9.0076197095492","0.235731321936689","1","4","0.996075031086623","2.12040861746072","10.5759333915641","0.0767973060870957",1,4
"Ier2","ENSMUSG00000053560","0.971538769097085","3.14553551368955","8.24845115106175","0.377936443017414","1","3","0.94604441536308","2.09275126060112","8.32288927804625","0.285844604769711",1,4
"Rgs1","ENSMUSG00000026358",NA,NA,NA,NA,NA,NA,"0.986486700929285","3.98761552157318","6.92027979670007","0.328890357646715",1,3
"Itpkc","ENSMUSG00000003752","0.990466750477555","1.86284292635343","7.76435585181128","0.105346612058654","1","4","0.952948624777522","1.23533720207898","8.24679374184381","0.136408981015496",1,5
"Sik1","ENSMUSG00000024042","0.953579085040634","2.89053066677142","7.80211147271709","0.445573066160831","1","3","0.99400480885248","1.82293912045611","8.3505551832825","0.0999563943122404",1,3
"Junb","ENSMUSG00000052837","0.94823251187013","3.48990605903627","7.77241596551504","0.56888160359926","1","3","0.967922473503958","2.17183493293032","8.40937453469078","0.227018208890719",1,4
"Klf10","ENSMUSG00000037465","0.958535857940788","2.8155503514695","8.1105572257786","0.409669730935724","1","3","0.985929466369302","2.18271045408718","9.32532922291264","0.150188720510196",1,4
"Pdgfb","ENSMUSG00000000489","0.990773209297065","3.28299915555359","6.85893590054102","0.223503954649483","1","3","0.989699734177361","0.56119411958354","6.95270369746832","0.040377884101786",1,3
"Nfil3","ENSMUSG00000056749","0.999564212487762","3.00794396445551","7.487027044","0.044405775028735","1","3","0.996647323730093","2.1594477775357","8.92225390871135","0.0722709530018833",1,4
"Egr2","ENSMUSG00000037868","0.923971218930472","2.93055175448379","7.70834695558963","0.582557937355473","1","3","0.978004052383609","2.75816632790494","7.16973200191646","0.290856117142088",1,3
"Errfi1","ENSMUSG00000028967","0.969058396512246","1.57863926735977","8.60463944757723","0.162001778290417","1","4","0.99123290854883","1.77058652862366","9.9277713021532","0.11748539826171",1,3
"Pim1","ENSMUSG00000024014","0.938760485187599","1.64790026847995","6.12238797167546","0.240401706643485","1","4","0.995485188035389","0.840468667127396","7.70983138284299","0.0399776357700382",1,3
"Ppp1r15a","ENSMUSG00000040435","0.974260377944411","1.53298557668719","8.25369687385203","0.143231010847833","1","4","0.992070096454557","0.895580862600311","9.32988814985237","0.0565049440232264",1,3
"Bcl3","ENSMUSG00000053175","0.979673568195165","2.41480279520756","6.30440363785369","0.244689566326439","1","3","0.968502224814343","1.4682540530904","5.88805825065926","0.152050847652232",1,4
"Atf3","ENSMUSG00000026628","0.978906936486747","1.46782820113648","7.79161075028762","0.123953740511436","1","4","0.98416872939867","1.17617355387463","8.5209253892692","0.0744377122182899",1,5
