"gene","ensembID","b1_0.0_U","b2_0.0_U"
"Dusp1","ENSMUSG00000024190",9.66850849620529,15.7828329036848
"Trib1","ENSMUSG00000032501",11.1359396642887,15.4827947453667
"Fos","ENSMUSG00000021250",10.2529429096171,12.7288175775518
"Nfkbia","ENSMUSG00000021025",10.4803783438254,17.9028524536077
"Zfp36","ENSMUSG00000044786",12.3586339543316,29.6390845395816
"Egr1","ENSMUSG00000038418",16.683322210342,27.9713231355691
"Ier3","ENSMUSG00000003541",13.3801022210261,40.0993316530645
"Btg2","ENSMUSG00000020423",17.2100086919919,24.9288249962689
"Arc","ENSMUSG00000022602",16.603192209632,21.3935719063168
"Tnfaip3","ENSMUSG00000019850",15.2200001607783,22.1008635898888
"Jun","ENSMUSG00000052684",33.1049056276958,28.2964328223928
"Ier2","ENSMUSG00000053560",19.0746535014075,28.6703924778742
"Rgs1","ENSMUSG00000026358",NA,15.0465860300215
"Itpkc","ENSMUSG00000003752",32.2088347606697,48.5697345623725
"Sik1","ENSMUSG00000024042",20.757434158973,32.9138802973232
"Junb","ENSMUSG00000052837",17.1924398493892,27.626408936634
"Klf10","ENSMUSG00000037465",21.3102209195743,27.4887582490149
"Pdgfb","ENSMUSG00000000489",18.2759718041666,106.914876521739
"Nfil3","ENSMUSG00000056749",19.9471801034236,27.7848812201749
"Egr2","ENSMUSG00000037868",20.473960205002,21.7535829485581
"Errfi1","ENSMUSG00000028967",38.0074164127111,33.8870758531299
"Pim1","ENSMUSG00000024014",36.4099704015128,71.3887410045535
"Ppp1r15a","ENSMUSG00000040435",39.1393114928459,66.9956254154321
"Bcl3","ENSMUSG00000053175",24.846749440193,40.8648625036731
"Atf3","ENSMUSG00000026628",40.8767183744967,51.0128796913891
"Ch25h","ENSMUSG00000050370",21.3680598050408,113.758140857747
"Slc25a25","ENSMUSG00000026819",24.572647927665,46.8096788336038
"Nr4a1","ENSMUSG00000023034",38.5360855543322,47.1204355927601
"Klf5","ENSMUSG00000005148",78.4915537170269,NA
"Zswim4","ENSMUSG00000035671",49.7258376667326,106.274099871101
"Cebpb","ENSMUSG00000056501",39.3805635977628,44.2919940438446
"Ccl7","ENSMUSG00000035373",49.2517481158364,68.1577442576175
"Irf1","ENSMUSG00000018899",42.7424756845472,38.8150026845371
"Dusp8","ENSMUSG00000037887",22.4013680526407,38.2515889702481
"Frat2","ENSMUSG00000047604",NA,NA
"Stk17b","ENSMUSG00000026094",40.3763661848247,47.534191866075
"Tnfsf9","ENSMUSG00000035678",47.7193990961289,100.962461295673
"Ccl3","ENSMUSG00000000982",123.95532131119,36.5146074780919
"Cxcl1","ENSMUSG00000029380",NA,NA
"Rab20","ENSMUSG00000031504",44.5829981795235,45.8769177760683
"Slfn2","ENSMUSG00000072620",52.3289432759338,78.3202643719941
"Zbtb10","ENSMUSG00000069114",81.5879617768753,50.7831339130221
"Trim47","ENSMUSG00000020773",57.374921581133,64.1701081481287
"Egr3","ENSMUSG00000033730",58.67916007748,25.6554621850675
"Nfatc1","ENSMUSG00000033016",66.302798715069,55.5330562301556
"Nfkbiz","ENSMUSG00000035356",22.8879760408089,27.7089384526728
"Rab11fip1","ENSMUSG00000031488",41.9742252622334,72.7184128904877
"4930523C07Rik","ENSMUSG00000090394",48.7773354686384,65.2483026657733
"Rrad","ENSMUSG00000031880",50.4031670175813,94.6980299696805
"Mir17hg","ENSMUSG00000089726",NA,20.3823496131182
"Micall2","ENSMUSG00000036718",52.842616967981,67.8084543583282
"Gadd45b","ENSMUSG00000015312",34.9553248503317,35.9866783666364
"Birc3","ENSMUSG00000032000",58.583676322582,73.0152325442473
"Zc3h12a","ENSMUSG00000042677",27.9486601049375,87.9322927191844
"Arid5a","ENSMUSG00000037447",51.141143657352,40.932687266034
"Rasl12","ENSMUSG00000041696",NA,NA
"Ptger2","ENSMUSG00000037759",NA,NA
"Rel","ENSMUSG00000020275",35.0416878266396,44.243110220006
"Zbtb46","ENSMUSG00000027583",115.825963105062,131.167916446445
"Cd274","ENSMUSG00000016496",NA,NA
"Ripk2","ENSMUSG00000041135",80.1757005819875,138.409668932131
"Rffl","ENSMUSG00000020696",108.153725447409,84.3195090700166
"Creb5","ENSMUSG00000053007",NA,46.5683112710119
"Ccl2","ENSMUSG00000035385",38.4520785010893,95.2031941110589
"Fgf7","ENSMUSG00000027208",52.7948344502058,66.830449781874
"Hivep3","ENSMUSG00000028634",87.9765605618492,110.321660056404
"Bahcc1","ENSMUSG00000039741",69.5969203396258,89.0475464079147
"Zc3h12c","ENSMUSG00000035164",89.7599473522471,164.625568534442
"Tnip1","ENSMUSG00000020400",87.8225416454525,129.064111585696
"Ifrd1","ENSMUSG00000001627",85.7725630923327,85.5974505878528
"Tjp2","ENSMUSG00000024812",81.8358938593901,113.890635826554
"Bdkrb2","ENSMUSG00000021070",NA,NA
"Tnfsf11","ENSMUSG00000022015",NA,102.97310404105
"Angptl4","ENSMUSG00000002289",94.9372029949778,86.2908942496904
"Egln3","ENSMUSG00000035105",122.333724294325,163.218430751335
"Cxcl2","ENSMUSG00000058427",NA,NA
"Stx11","ENSMUSG00000039232",92.2940635576081,175.232696426768
"Relb","ENSMUSG00000002983",119.684899281899,97.2320581505257
"Dot1l","ENSMUSG00000061589",110.408947127379,88.2586633868504
"Nxph3","ENSMUSG00000046719",NA,NA
"B4galt5","ENSMUSG00000017929",124.690678850607,131.008724790152
"Gdf15","ENSMUSG00000038508",NA,NA
"Nfkb1","ENSMUSG00000028163",100.801440656999,119.925088515359
"St3gal1","ENSMUSG00000013846",109.484658503419,139.746580607827
"Gch1","ENSMUSG00000037580",110.9048290265,NA
"Ccdc88c","ENSMUSG00000021182",NA,136.914440127592
