gene,ensembID,b1_0.0_U_0.0,b1_0.0_U_0.5,b1_0.0_U_1.0,b1_0.0_U_3.0,b1_0.0_U_6.0,b2_0.0_U_0.0,b2_0.0_U_0.5,b2_0.0_U_1.0,b2_0.0_U_2.0,b2_0.0_U_4.0,b2_0.0_U_6.0
Dusp1,ENSMUSG00000024190,0,-3.48167665954801,-6.2057141516242,-6.36216282173016,-6.53166028777095,0,-1.46308076654226,-3.80159888697749,-5.54038538956609,-7.34607200960414,-6.96906044385485
Trib1,ENSMUSG00000032501,0,-3.67249526271491,-5.38796022686895,-6.40760579249132,-7.01122725542325,0,-1.47915826950318,-3.87526935458182,-5.24775207275739,-5.81807163005816,-6.31039004232145
Fos,ENSMUSG00000021250,0,-3.62859995064102,-5.85197835674294,-5.72653598408664,-6.50253091307277,0,-1.86844724025099,-4.71371355858022,-4.57016494048242,-4.67215102368961,-7.24221125779751
Nfkbia,ENSMUSG00000021025,0,-2.48598930907191,-5.72498415912148,-5.34541546406705,-7.32537319111436,0,-1.66019502053416,-3.35142124169767,-5.3188176335555,-5.61049041086786,-7.42886789234045
Zfp36,ENSMUSG00000044786,0,-3.41059156098237,-4.8549055034493,-5.86151498993901,-5.98418553979003,0,-0.910108067179769,-2.34616957617101,-3.97892777918567,-3.76293864088708,-3.71074480453033
Egr1,ENSMUSG00000038418,0,-2.00263336089458,-3.59640599417338,-6.83665210617179,-7.16009700918384,0,-1.00260624903132,-2.60164508457217,-4.21606883918392,-5.07665756776274,-4.90818900030268
Ier3,ENSMUSG00000003541,0,-2.12101972891513,-4.48427067363604,-5.02181401053276,-6.64385618977472,0,-0.719311728106636,-1.49628429019999,-3.62333372650184,-5.6402307556665,-5.4624069784754
Btg2,ENSMUSG00000020423,0,-2.01256493938296,-3.48634338737545,-5.651247334092,-6.89293860299013,0,-1.21555346258834,-2.4068523088826,-4.72752582909539,-4.81154923633206,-5.34672076666973
Arc,ENSMUSG00000022602,0,-2.05068085830872,-3.61376289826917,-5.49787544024768,-6.4018976642922,0,-1.22963951389522,-2.80458075270188,-4.37180994675389,-5.63998100875681,-5.43444791631794
Tnfaip3,ENSMUSG00000019850,0,-2.14795355497801,-3.94218129869795,-5.13651069817182,-6.05772909943854,0,-0.662620907859682,-2.56888293619699,-5.21427061144076,-4.9139792379654,-6.09997598940342
Jun,ENSMUSG00000052684,0,-1.78775939821417,-2.71827900814995,-5.79150098013084,-6.89540576651892,0,-0.933034168966968,-2.21378729323458,-4.18805177991434,-5.02234705982275,-5.30930046638889
Ier2,ENSMUSG00000053560,0,-1.90007031751378,-3.14553551368955,-5.61021032776528,-6.3010337358955,0,-0.771350633170486,-2.60432750592491,-4.03698571712291,-4.43877986207341,-4.22304243391355
