,n,kb,kt,Kd,k_deg,tau
Bcl3,3,0.012697052,0.874258545,1.407738933,0.02315122,58.47985797
Ccl2,5,0.002696396,0.059743544,0.502530809,0.012009308,32.73161817
Ccl7,5,0.057775304,0.679655397,0.5959411,0.011848774,24.31885277
Glrx,6,0.03727324,0.225248085,0.593676684,0.002678471,120
Il34,2,0.017666097,0.890119481,2.319522812,0.006158661,84.25109967
Sod2,6,0.033954108,0.42023119,0.694620911,0.002733375,51.38644833
Tnip1,5,0.042575268,0.274643961,0.571639267,0.007842315,64.59704747
Gch1,2,0.007843131,0.635385134,0.96354658,0.009994883,73.04135436
Serpina3g,3,0.032547489,0.423052365,0.809018597,0.007424683,70.96202513
Cebpb,3,0.005408376,0.417992827,2.352040508,0.016082162,56.48096907
Ptger2,5,0.001087622,18.6559489,3.28897102,0.00623914,63.79689124
Il1rap,5,0.040005068,0.110201512,0.057931063,0.002811121,69.10019
Slco3a1,1,0.004867125,81.68172364,0.133692408,0.005038702,110.230761
Timp1,1,0.001017983,13.03865397,560.5385916,0.002103831,57.57573048
Rab15,5,0.056391906,0.152403171,0.0408007,0.002524854,120
Il1rl1,5,0.001953166,12.74392655,0.034112714,0.003058387,59.32067492
Mmp9,1,0.001,981.1719463,1.372389861,0.002185401,78.75378637
Acpp,1,0.00807133,257.5263445,554.6562358,0.002607405,120
Mmp1b,6,0.023057577,0.503728284,0.430185028,0.002297513,82.29188744
Mmp3,5,4.441453156,949.6278823,0.528376207,0.000995299,120
Rbfox1,1,0.031379627,3.408144172,0.250257181,0.006426865,120
U90926,1,0.010435853,369.228366,999.904967,0.002873146,120
Gm16685,6,0.019689257,1.2408942,0.567016641,0.011901563,93.39612022
Tmem132e,6,0.005022918,0.175116684,0.721872527,0.006956182,93.7378376
Itgal,3,0.008599894,1.721739082,0.880426364,0.00048398,68.35312476
Kcnn3,1,0.001,47.97669431,0.166915138,0.011213565,120
Ccl5,6,0.002986082,349.315495,0.715896713,0.002852372,95.68462224
Exoc3l4,6,0.013933358,0.106769549,0.65731806,0.003954178,28.04062729
Gsap,3,0.037511241,0.212537129,0.281944563,0.004764179,73.05305262
Slc6a12,3,0.006651939,1.263217992,2.457390202,0.002452196,60.03136143
Cd274,2,0.070468323,0.302113416,0.293781018,0.005833247,46.53172783
