"","basalKd","v1.r2","v2.r2","v3.r2","v4.r2","sp.LT.avg.ctrl","sp.LT.avg.ko","sp.avg.ratio","sp.LT.peak.ctrl","sp.LT.peak.ctrl.1","sp.peak.ratio"
"Sod2",FALSE,0.91,NA,0.48,0.39,2.35130475104133,1.23820332400463,1.89896498051442,3.39231093369013,1.71644789020008,1.97635532838384
"Fpr2",FALSE,0.9,NA,0.08,-0.53,8.08043540026738,4.4396325487398,1.82006851052595,11.9145560609529,7.8884209758558,1.5103854240817
"Lcn2",FALSE,0.89,NA,0.83,0.96,12.2109192084406,3.26003778099712,3.74563732960966,24.0824890915361,4.23576712351783,5.68550828911845
"Ccl7",TRUE,0.86,0.77,0.49,0.4,2.29387384418781,1.2366837389865,1.85485890359302,2.34907798645409,1.35419969444179,1.73466143589878
"Ccl5",FALSE,0.85,NA,0.79,0.8,15.9994830473842,1.17493227850837,13.6173661580702,22.3999555956101,1.35247069133725,16.5622484384207
"Gsap",TRUE,0.82,NA,0.74,0.82,1.66717200705223,1.13275602005208,1.47178384183346,2.09426343949129,1.4674939938237,1.4271018813743
"Fpr1",FALSE,0.82,NA,0.51,0.36,14.1761562163359,3.5856012490048,3.9536343368551,26.8103446209024,4.70984307108568,5.69240720258697
"Ch25h",FALSE,0.81,NA,0.54,0.15,2.35533353650295,1.47730019190881,1.59434998343813,2.56575435693664,1.96324124121216,1.30689713677392
"Mmp3",FALSE,0.79,NA,0.55,0.64,4.90099203479152,1.62254183208066,3.02056436258827,10.8271231854342,1.96843097728327,5.50038244184575
"Slfn2",TRUE,0.78,0.75,0.15,-0.33,2.54306499650917,1.15992515140063,2.19243887714512,2.89183686787402,1.07940771258607,2.67909598398707
"Tnfaip2",TRUE,0.76,0.76,0.85,-0.06,3.72452612246592,1.34418833550862,2.7708365145548,4.2533620148343,1.48823103779032,2.85799846047396
"U90926",FALSE,0.76,NA,0.34,0.81,2.1697535863827,1.40055733052852,1.54920726134354,4.14229833564203,1.39575876994483,2.96777525231368
"Tnfsf11",TRUE,0.76,NA,0.68,0.56,1.99649950309785,1.19696619291645,1.66796649304966,2.59027213120837,1.2629577357382,2.05095709690898
"Ccl2",TRUE,0.75,0.83,0.65,0.5,2.77726902671422,1.16352785897976,2.38693814271835,2.30647907351213,1.23708774151508,1.86444259053716
"Tnip1",TRUE,0.75,0.72,0.83,0.86,1.87447722949172,1.09923189482776,1.70526095386401,2.34731027368184,1.49959186973868,1.56529941316025
"Zc3h12a",FALSE,0.75,NA,0.55,0.09,2.9215361487641,2.02761310631933,1.44087456312979,3.66143522906935,2.41923861867262,1.51346593130953
"Gch1",TRUE,0.74,NA,0.8,0.74,2.67077146627209,1.35450997719785,1.9717621215292,2.88200995953585,1.8636578262252,1.54642655909282
"Irg1",FALSE,0.74,NA,0.65,0.46,154.524019806677,15.3091270111503,10.0935879422864,142.255756253172,10.597930902479,13.4229744996636
"Il1rl1",FALSE,0.73,NA,0.61,0.72,1.42549290969083,0.935978459205795,1.52299756011522,1.63537777596606,0.923623537365905,1.77061076272484
"Pilra",FALSE,0.7,NA,0.46,0.57,3.11531881518664,1.53519307201084,2.02926841710281,7.53383255308644,2.33758473509984,3.2229131376342
"Il34",FALSE,0.69,NA,0.82,0.84,1.69134015204914,1.11337892229167,1.51910559665335,2.56520102100489,0.969945822148088,2.64468484984437
"Adtrp",FALSE,0.69,NA,0.66,0.85,1.4756525423356,0.679802730383107,2.17070699540143,1.65142303361809,0.641131718731565,2.57579368695924
"Kcnn3",FALSE,0.68,NA,0.78,0.87,2.02291941873306,1.38303015552218,1.46267195307053,3.1722435940772,1.44638363655293,2.19322419993453
"Gbp2",TRUE,0.68,NA,0.59,-0.64,2.27685309184972,0.868347549445444,2.62205276367025,2.93185398906186,1.08240444920898,2.70864924031349
"Rbfox1",FALSE,0.66,NA,0.58,0.68,1.58941455422486,1.02743854349597,1.5469680053239,1.89121709632095,1.14131310225758,1.65705369769261
"Cx3cl1",TRUE,0.66,NA,0.72,-0.27,2.09518164918637,1.32483966304515,1.5814605401914,2.54320550192458,1.61849143099575,1.57134319849931
"Ripk2",TRUE,0.66,0.62,0.66,0.4,2.27087146538308,1.18675675872669,1.91351045501488,1.66803430799927,1.31127499449206,1.27207055347334
"Mir155hg",FALSE,0.65,NA,0.74,0.7,2.5352463666,1.11064137263414,2.28268676916571,2.50399793292348,0.954946404103889,2.62213452206588
"Rab20",TRUE,0.65,0.58,0.23,-1.87,1.82370538847262,0.938374601204711,1.94347266659956,2.30458525143213,0.97939772010503,2.35306372898743
"Birc3",TRUE,0.65,0.62,0.75,0.61,1.73170522940562,0.899115760568692,1.92600920298662,1.37693493494287,0.966585309592726,1.42453534238281
"Slco3a1",TRUE,0.65,0.73,0.7,0.67,1.59837754263541,1.11296898345004,1.43613844267311,2.37088004057015,1.15463328332869,2.05336194166786
"Exoc3l4",TRUE,0.65,NA,0.58,-0.58,1.96919897307506,1.09467351189131,1.79889158884717,1.92608906360629,1.31462044392586,1.46512940104172
"Icam1",TRUE,0.64,NA,0.78,0.43,2.54878242856922,1.07256875822576,2.37633476550763,2.58643693538866,1.07924584398076,2.39652248819294
"Serpina3g",TRUE,0.64,0.62,0.83,0.42,1.78825243390512,1.19631198821182,1.4948044084872,1.85634052556939,1.49137739756959,1.2447154748319
"Cxcl10",FALSE,0.62,NA,0.62,0.25,4.43826385604973,0.766457580766492,5.79061903414311,3.61733532986774,0.584826680175091,6.18531173848763
"Trim47",TRUE,0.62,0.51,0.5,0.3,1.45821282550361,1.00425677181704,1.45203185721637,1.49769992487191,0.957408995444073,1.56432614692244
"Nfkb2",TRUE,0.62,0.56,0.56,-0.34,1.6824096521643,0.985954670328418,1.70637626941196,1.65185629424758,1.04659143665484,1.5783200935862
"Pim1",TRUE,0.61,0.59,0.56,0.51,1.75719891300272,1.07015999359722,1.64199645241465,1.65384629875163,0.893194308840546,1.85160863922038
"Slc7a2",TRUE,0.6,NA,0.59,-0.57,1.74997822877471,1.14034131013304,1.5346091676452,2.2706584214188,1.3727969738225,1.65403804402062
"Slco2a1",TRUE,0.6,NA,0.55,0.5,1.48719213080349,0.993754014611142,1.49653949462074,1.88204636424029,1.1787176832085,1.5966896832474
"Relb",TRUE,0.6,0.59,0.75,0.66,1.51993225289032,0.976915759645197,1.55584781787361,1.03992524975594,0.866512846360291,1.20012675417803
"Rab11fip1",TRUE,0.6,0.56,0.68,0.77,2.51061159172908,1.22330324475799,2.05232153391842,3.44149542131521,1.49183794043878,2.30688289124957
"Bcl3",TRUE,0.58,0.41,0.7,0.77,1.96159746339394,1.34938944848398,1.45369260564307,1.80552274002554,1.51447879453468,1.19217432858166
"Rhof",TRUE,0.56,NA,0.27,-1.26,1.576377764937,1.011868042941,1.55788867524194,2.22716953595543,1.10078420932194,2.02325716257078
"Nfkbie",TRUE,0.55,0.65,0.72,0.43,2.02671531010251,0.892321115371206,2.27128471487465,1.63354066278871,0.866650737159272,1.88488925555313
"Ptges",TRUE,0.55,NA,0.67,0.28,2.82454305291814,1.65951380465197,1.70203046518827,6.49877026998586,3.03978351808516,2.13790562101593
"Nos2",FALSE,0.55,NA,0.74,0.91,14.6112251296185,8.56480682174418,1.70596085045652,31.9914167421641,12.8921808200501,2.48145889269646
"Vcam1",TRUE,0.5,NA,0.52,-0.07,1.39170924949391,0.889684438191283,1.56427289244627,1.16023314950987,0.866726013888224,1.33863889039737
"Ccl1",FALSE,0.5,NA,0.61,0.83,3.3299354766337,0.795885325344462,4.18393877936183,3.82919767272995,1.20778739699443,3.17042360456724
"Tmem132e",FALSE,0.49,NA,0.72,0.69,2.62661345530892,1.17229500839788,2.24057377749871,3.36619732735524,1.62620270737898,2.06997400267565
"Rel",TRUE,0.48,0.55,0.76,0.22,1.66804610444079,1.05185807584628,1.58580909605961,2.39879548563611,0.830545188883566,2.88821790522996
"Sik1",TRUE,0.47,0.48,0.58,0.28,1.40314255593972,0.89132465826586,1.5742216294898,1.59886468235632,0.853491288399082,1.87332279085749
"Zc3h12c",TRUE,0.46,0.25,0.34,0.25,1.6552702934426,0.991506409443613,1.66944991749621,2.72064486610762,0.850817841887623,3.19768196218312
"Tnfaip3",TRUE,0.45,0.35,0.69,0.76,1.5132924693861,0.894676555100195,1.69144084614649,0.822358218099553,0.970351403689232,0.847484957483428
"Csf1",TRUE,0.43,0.4,0.62,0.65,1.66127953159507,1.01207724061074,1.64145528121211,1.26132501040969,1.00161552781483,1.25929059143227
"Irf1",TRUE,0.42,0.45,0.52,-0.76,1.60127609930506,0.752941933402024,2.12669268142631,1.70236504358315,0.541552183008456,3.14349216381345
"Wnt11",FALSE,0.39,NA,0.43,0.6,1.4011835685492,0.805790536284584,1.73889305651306,1.7292589283886,0.852618109889595,2.02817522678766
"Bdkrb2",FALSE,0.39,NA,0.34,0.08,2.19361371488911,1.01811596249311,2.1545813990751,3.19093576063111,1.15730479617702,2.75721294093991
"Tjp2",TRUE,0.39,0.35,0.58,0.73,1.27693301915564,0.876504818253379,1.45684654843108,1.39608009484422,0.799639251604402,1.74588740115385
"Stx11",TRUE,0.36,0.32,0.67,0.64,1.32395771272449,0.732126655634938,1.80837250294662,0.96252254980335,0.772214644564494,1.24644430998351
"Gm8773",FALSE,0.36,NA,0.25,0.44,1.22457469777071,0.707308064105556,1.73131731407484,0.968392875664026,0.599779306094328,1.61458200678855
"Pdgfb",TRUE,0.36,0.44,0.31,0.26,2.51960411930605,0.972969890050561,2.58960132792508,3.93102747758811,0.85531433495801,4.59600326677688
"Zswim4",TRUE,0.25,0.4,0.64,0.76,1.32941112416819,0.914249651731441,1.45410077176459,1.25172133984185,0.783253946985656,1.59810409466697
"Acpp",FALSE,0.25,NA,0.61,0.47,2.55342659300023,1.26051652554634,2.02569862532625,4.35586037185693,1.48764250120862,2.92802899104997
"B4galt5",TRUE,0.23,0.46,0.27,0.2,1.50026235000078,1.02826775942918,1.45901914773019,1.86690682937885,1.02817922585919,1.81574066313077
"Cgn",FALSE,0.23,NA,0.75,0.28,1.87624451583796,0.879383323292827,2.13359119526217,3.75900455739106,0.708379411669863,5.30648476715318
"Zbtb46",TRUE,0.23,NA,0.54,0.54,1.13857789672833,0.710274095710496,1.60301199720567,1.30566407202132,0.584181304840707,2.23503227714099
"Mmp9",FALSE,0.1,NA,0.81,0.09,2.22053238629186,1.19858578568322,1.85262699826372,3.56400894148153,1.50080194832324,2.37473635043144
"Rasgef1a",FALSE,-0.02,NA,0.49,0.51,1.05924068599201,0.542333384968719,1.95311724365466,1.02807469851328,0.39592407944537,2.59664605384309
