"","r2","rmsd"
"4930523C07Rik",-0.396994108150844,0.329123413737649
"Acpp",0.9114618863155,0.136250673946871
"Adarb1",0.361346876630611,0.207671751385514
"Adtrp",0.811629324160512,0.129039647383383
"Angptl4",0.152858274346078,0.241831904137892
"Arc",0.15583868671212,0.303024779078913
"Arg2",0.414062242964527,0.216269907215704
"Arid5a",0.605492413854573,0.17270721335248
"Atf3",-1.09812641542336,0.423506500591929
"Atp2b4",0.414230625675577,0.176025345863033
"B4galt5",0.0918835715910865,0.226662861936702
"Bahcc1",-0.243563568070127,0.245755275171516
"Bcl3",0.429368296309953,0.231876626624766
"Bdkrb2",0.327651105715787,0.255802736725116
"Birc3",0.782370656948301,0.145229722858987
"Btg2",-0.496552999248673,0.331899310989625
"Ccdc88c",-0.429391427975947,0.32771358771779
"Ccl1",0.284526925104327,0.284759192962863
"Ccl2",0.91432528237273,0.11977456574255
"Ccl3",0.51847550711619,0.258790307745411
"Ccl5",0.912483991864353,0.174550133621965
"Ccl7",0.924188812819053,0.0923312054975316
"Cd274",0.699853363352679,0.140504390448802
"Cebpb",0.535982554755912,0.171545461221967
"Cgn",-0.0172334402533283,0.231629502336835
"Ch25h",0.745309786409078,0.149823010851766
"Creb5",-0.467993094125362,0.276822516111256
"Csf1",0.440894628035051,0.23768354871361
"Csf3",-0.349100801671315,0.333525256898245
"Cx3cl1",0.583377438657901,0.189239948070165
"Cxcl1",0.204847795548241,0.30581371736287
"Cxcl10",0.0158241438359893,0.327464066025615
"Cxcl2",-0.0309803252400109,0.34904005579509
"Cxcl3",0.565950470691058,0.229842134713123
"Dot1l",0.0668686091428446,0.27861754363437
"Dusp1",-0.202924856131669,0.336405003446055
"Dusp8",-0.203292485394269,0.273956236884188
"Egln3",0.689568925272689,0.114602794006293
"Egr1",-0.49643521026771,0.428732604597403
"Egr2",-0.353018762040538,0.37860367585055
"Egr3",-0.361524663974243,0.375777695020525
"Egr4",-1.37702687715284,0.442787817133971
"ENSMUSG00000041481",0.657764644390083,0.194080379076013
"ENSMUSG00000073234",0.330393531355144,0.246010358977531
"ENSMUSG00000089726",-0.791435335873371,0.380017796610126
"ENSMUSG00000090582",-1.41159290010779,0.459806160327721
"ENSMUSG00000097418",0.156992649201512,0.27763988734677
"ENSMUSG00000097804",0.25889148004724,0.297779047480462
"Errfi1",0.42317190585682,0.271358534113598
"Exoc3l4",0.722229313093618,0.138175996738542
"F2rl1",0.497433190715996,0.210116679593661
"Fas",0.462861585789922,0.239684081884553
"Fgf7",0.481984498457249,0.177475909114092
"Flt1",0.572854404463028,0.186439523882078
"Fos",-0.14822622984015,0.3850305146188
"Fosb",-1.38194277870321,0.479624536778748
"Fpr1",0.780146727769835,0.234813453739272
"Fpr2",0.832153985276192,0.218916035627403
"Frat2",-1.13283142957791,0.39019499392166
"Gadd45b",0.208842543871534,0.240720323246905
"Gbp2",0.848978864190281,0.142219672161726
"Gch1",0.731559786969985,0.17517820634457
"Gda",-0.295541402983214,0.234240407448009
"Gdf15",-0.686040154713393,0.406094124927459
"Gjb2",0.255433101889928,0.286754352318772
"Glrx",0.910908668575407,0.0672986062569498
"Grem2",0.207263453447742,0.16121342622994
"Gsap",0.928656232216104,0.069539255312684
"Hivep1",-0.491648176342459,0.306452320983241
"Hivep3",0.0200956024541976,0.279422064479042
"Icam1",0.573954521763853,0.209565646311726
"Ier2",-0.651355029611819,0.398991830188542
"Ier3",0.00209104886754219,0.295950336109482
"Ifi203,Gm16340,LOC102641031",0.521990425995899,0.230377052736808
"Ifih1",0.438040100057544,0.243627599201249
"Ifnb1",-0.750048086623684,0.392914734953345
"Ifrd1",-0.103271597028403,0.292430249667063
"Ikbke",0.774740844517114,0.111500604636684
"Il1a",0.272288669323772,0.330343139007608
"Il1r1",0.420973540456599,0.175102121206944
"Il1rap",0.78382466643584,0.0798004172041939
"Il1rl1",0.724842464634379,0.163033268656564
"Il34",0.643515395814761,0.160618010849013
"Irf1",0.270399073470514,0.258765332095343
"Irg1",0.705810271929323,0.254791700827101
"Itgal",0.917786447342226,0.131735665405788
"Itpkc",0.221527286230157,0.210331696529134
"Jak2",0.169430442794965,0.215638035631496
"Jun",-0.605146737251779,0.316907844269025
"Junb",0.121758481187375,0.269931203588539
"Kcnk10",0.0186054986804297,0.301143966418171
"Kcnn3",0.34120492984029,0.222194237918947
"Kcnq5",-0.0419260016087504,0.377563895048098
"Klf10",-0.26374481760709,0.290976909102509
"Klf5",-0.27404568851765,0.336045452254526
"Lcn2",0.852594038244565,0.200603704317867
"Micall2",0.536254935297071,0.185796782195768
"Mmp1b",0.826842258465911,0.129990713768827
"Mmp3",0.807292502561126,0.206818907325877
"Mmp9",0.932503593561096,0.0779571220290685
"Mnda",0.558017989950693,0.151834201940101
"Mt2",0.734803646758295,0.134952632115067
"Nfatc1",-0.592833525116546,0.34284147660562
"Nfil3",0.257891345989947,0.206819139048719
"Nfkb1",0.379242756703524,0.211430820204089
"Nfkb2",0.499038326345135,0.203864427268325
"Nfkbia",0.749412406693101,0.175411313798647
"Nfkbie",0.560260196201097,0.215700336341873
"Nfkbiz",0.526153073555957,0.236322107323579
"Ngef",-0.622586062426381,0.361418971760523
"Nos2",0.225706980519538,0.32026099175926
"Nptx1",0.0777731394120242,0.294945428518681
"Nr4a1",-0.847086352685755,0.412869553545977
"Nr4a3",-0.456933361681192,0.380691934229734
"Nxph3",-0.205220886338392,0.389555125596429
"Oasl1",0.0669353132728442,0.307072325349014
"Osmr",0.301174561172347,0.156013736312413
"Pcdh10",-1.12991689433864,0.343712030703758
"Pdgfb",0.428560947804063,0.25900853424542
"Pilra",0.0607495589553402,0.302001438365203
"Pim1",0.252235198830645,0.248765263071501
"Plekhh1",0.433796745448699,0.226670399319358
"Ppp1r15a",-0.0860317943564652,0.645258386055365
"Prokr2",0.451166216253586,0.20404153435827
"Ptger2",0.373136042834818,0.249783060692807
"Ptges",0.461806512671255,0.219547380864479
"Rab11fip1",0.486667575757683,0.218944788945641
"Rab15",0.43587495787973,0.129147268272482
"Rab20",0.604478670149039,0.168681918821536
"Rasgef1a",-0.870438838197235,0.349234973779391
"Rasl12",0.212282488391858,0.527384066265772
"Rbfox1",0.782050126364503,0.128715354245758
"Rel",-0.134470585587622,0.271998292833948
"Relb",0.53639503799885,0.228510756306237
"Rffl",0.490506933048176,0.161086585292676
"Rgs1",-0.740350342956367,0.396384166939506
"Rhof",0.34993679987149,0.202873287014907
"Ripk2",0.533504083626118,0.228809934341976
"Rnd1",0.461224005016227,0.279576056676572
"Rrad",0.794372013637375,0.116830790549344
"Rsad2",0.430839821748163,0.289001167055218
"Sdc4",-0.0787319601575911,0.276804977604496
"Sik1",0.646117851068156,0.148379364415519
"Slc25a25",-0.0929886729721299,0.244955951075512
"Slc39a4",0.750251198584485,0.103820986902593
"Slc6a12",0.877143217708965,0.0991262681424557
"Slc7a2",0.741565857382015,0.130983247986961
"Slco2a1",0.679085977098394,0.153986371168946
"Slco3a1",0.36735864803792,0.565611117074412
"Slco5a1",-0.110811181814422,0.319710974043746
"Slfn2",0.400568934458479,0.234791575336627
"Sod2",0.947443088803743,0.0658416912192758
"St3gal1",0.292582805222301,0.212149229424257
"Steap4",0.811253477130535,0.172388448312438
"Stk17b",0.138213325520788,0.210581821821273
"Stx11",0.0933317499149586,0.348459744042967
"Timp1",0.855521635426155,0.107104346354439
"Tjp2",0.192204634752087,0.243546680130007
"Tmem132e",0.622607195363449,0.190582262411233
"Tmem158",0.645438517531502,0.227374709650652
"Tnfaip2",0.371995040476214,0.265126550457413
"Tnfaip3",0.588833701206486,0.257783372569217
"Tnfrsf11b",-0.0297058399210557,0.290234909697956
"Tnfsf11",0.571741347055425,0.179044990295671
"Tnfsf9",-1.05301501560142,0.410491089792119
"Tnip1",0.766874694753467,0.12173012888988
"Trib1",0.24297765729828,0.232602859954353
"Trim47",0.485261206893096,0.203160373792728
"U90926",0.760378709928137,0.149275885794238
"Vcam1",0.510535153471647,0.222489524488545
"Wnt11",0.041775451621479,0.240325168583762
"Zbtb10",-0.771246507168752,0.302707452905958
"Zbtb46",-0.132548984230255,0.269981854711693
"Zc3h12a",0.652170132206552,0.210799731025882
"Zc3h12c",-0.35874064476447,0.256748396770559
"Zfp36",-0.357218934142686,0.370575661620553
"Zswim4",-0.0935019289460275,0.295654867988483
