"","rmsd","n","delta","gene"
"1",0.0946066448821915,6,-0.0219327632390412,"Sod2"
"2",0.0989868737388121,5,-0.0149561818279299,"Ccl7"
"3",0.103593904078886,6,-0.0458099080072971,"Exoc3l4"
"4",0.104314674109292,6,-0.0592776942333334,"Acpp"
"5",0.112014459767149,6,-0.0111359613010614,"Gsap"
"6",0.11704313100656,6,-0.0247161889286753,"Mmp9"
"7",0.117389724296843,1,0,"Ccl2"
"8",0.11969318635195,6,-0.106525259646263,"Mmp3"
"9",0.127538252244491,6,-0.037963355066533,"Pilra"
"10",0.130639131183935,6,-0.0363961460325851,"U90926"
"11",0.130689752021691,4,-0.0686089852265922,"Fpr2"
"12",0.136674957037083,2,-0.00516164255851223,"Kcnn3"
"13",0.138861844131447,6,-0.0669096888894653,"Fpr1"
"14",0.142693302092572,5,-0.0628670759352294,"Lcn2"
"15",0.147458439797616,6,-0.0253382800146759,"Il1rl1"
"16",0.151628143202857,6,-0.0133402292980524,"Slco3a1"
"17",0.154471868290878,3,-0.0447385567652722,"Ccl5"
"18",0.155398459515476,3,-0.0307970948977647,"Ch25h"
"19",0.155525375734321,6,-0.0240021486857745,"Rbfox1"
"20",0.156610357956226,6,-0.0020137070399518,"Il34"
"21",0.158636468349346,3,-0.0525942112028948,"Pim1"
"22",0.160212573564339,6,-0.00317657504574514,"Tnip1"
"23",0.161407053824778,6,-0.0305367447606028,"Adtrp"
"24",0.163409941861473,6,-0.0190373127649971,"Slco2a1"
"25",0.163575059639996,6,-0.0196526831325443,"Gbp2"
"26",0.168364207649295,2,-0.0881480881503028,"Zc3h12a"
"27",0.168884483535574,2,-0.0476152527650517,"Mir155hg"
"28",0.169331073632203,1,0,"Sik1"
"29",0.172909283011201,1,0,"Serpina3g"
"30",0.176336277765051,6,-0.0632657306178297,"Tnfaip2"
"31",0.181271462572077,6,-0.00425967750968156,"Slc7a2"
"32",0.183051159601508,5,-0.0702274340163082,"Rel"
"33",0.184380558557273,2,-0.0282302792767877,"Slfn2"
"34",0.184473032290948,1,0,"Nfkb2"
"35",0.186177511727974,2,-0.000641146151866473,"Birc3"
"36",0.186551595489602,2,-0.00701852838363859,"Rab20"
"37",0.187573061217637,6,-0.0338352653643823,"Tmem132e"
"38",0.192190427787756,4,-0.0150159492332163,"Icam1"
"39",0.192552412154253,5,-0.0349717484849005,"Rab11fip1"
"40",0.193106047655545,6,-0.0872440839941599,"Irg1"
"41",0.196438261458056,6,-0.0190174612927808,"Cx3cl1"
"42",0.204473994416636,5,-0.0382990529401037,"Ptges"
"43",0.204933832936809,6,-0.00211079784504095,"Gch1"
"44",0.205676992458085,6,-0.0354299325682882,"Tjp2"
"45",0.205760088216653,2,-0.00414010221125383,"Csf1"
"46",0.209573088282334,1,0,"Trim47"
"47",0.212189102945607,1,0,"Rhof"
"48",0.212555458387152,3,-0.0378570662737502,"Bcl3"
"49",0.216133564399407,6,-0.00120316201180926,"B4galt5"
"50",0.216445302273064,1,0,"Zc3h12c"
"51",0.216874484032032,2,-0.0185557069883728,"Ripk2"
"52",0.220693919525679,1,0,"Vcam1"
"53",0.220820968479199,1,0,"Tnfsf11"
"54",0.220973002171823,4,-0.0561970453022681,"Cxcl10"
"55",0.221306187016986,1,0,"Relb"
"56",0.226104416949919,6,-0.0113116908624482,"Gm8773"
"57",0.227105495782597,4,-0.0679445064619507,"Irf1"
"58",0.231510791456792,6,-0.00711402256606231,"Wnt11"
"59",0.236455767335898,1,0,"Nfkbie"
"60",0.237781690973501,3,-0.017158044720007,"Ccl1"
"61",0.24228092957994,6,-0.00692535939001693,"Cgn"
"62",0.242761684892587,3,-0.022860274020898,"Bdkrb2"
"63",0.254995456704546,6,-0.00816548775393772,"Zbtb46"
"64",0.256021544951879,1,0,"Zswim4"
"65",0.258327763571752,2,-0.0182122920901324,"Tnfaip3"
"66",0.266667415252033,6,-0.074428446580489,"Nos2"
"67",0.269030273996075,3,-0.0400003099255929,"Pdgfb"
"68",0.313710271438358,1,0,"Stx11"
"69",0.361030391242127,6,-0.0162364415907598,"Rasgef1a"
