"","r2","n","delta","gene","kb","kt","Kd","k_deg","tau"
"Zswim4",0.26201652875143,1,0,"Zswim4",0.00167268230003369,5.48123962142563,199.022809766293,0.00827418486101725,0.0978208379747196
"Rasgef1a",-0.751736871233171,6,0.079748688434454,"Rasgef1a",0.0450662463369675,0.238959260090186,0.172304388954845,0.00165509002909401,0.116060808500734
"Irf1",0.266158496250571,3,0.12933673755233,"Irf1",0.00330194697039615,2.56107049201796,3.05155762842727,0.0202405774153511,0.0680371391557519
"Tnfaip3",0.500276415889154,1,0,"Tnfaip3",0.001,8.48513530379751,39.4316075228644,0.0301392575971679,0.129131585159114
"Rel",0.497210849390054,5,0.361415120722366,"Rel",0.00318464898401358,1.26696476837158,1.95158096507162,0.013476075981878,0.0317086943476357
"Pim1",0.707971400447386,3,0.145868463734912,"Pim1",0.00346928027259224,2.62925310187719,3.5964387181355,0.0179154606420458,0.127798497546097
"Mir155hg",0.684595728340078,2,0.139728549738246,"Mir155hg",0.00754621483107353,5.55497467119257,5.93906059309488,0.0197557327204,0.225326532396403
"Zc3h12c",0.171324700099794,1,0,"Zc3h12c",0.0110920179051299,1.14660887880873,8.32019431082132,0.00743540994132747,0.0877575878681981
"Cxcl10",0.561210781818549,2,0.06229515726496,"Cxcl10",0.00415342768031513,10.3583652025585,3.10485096123862,0.0138295805706272,0.781704717152393
"Zc3h12a",0.760594375960154,2,0.258187559364401,"Zc3h12a",0.0127038708036482,3.75546880348598,2.41421860080668,0.017826355883199,0.169487357828114
"Stx11",0.198015737741743,1,0,"Stx11",0.00100001318632159,44.3188707928022,76.0193181977366,0.00732944029744544,0.00778112904598144
"Bcl3",0.521217418991389,2,0.0451479673488848,"Bcl3",0.00385689111751552,0.579133161361123,2.11589073686106,0.0172198057356125,0.083715350902451
"Cgn",-0.0204250450277756,6,0.0318737305553753,"Cgn",0.0324778687901868,0.303678374003608,0.181643039925405,0.00351245215041153,0.106565656800708
