"time","mRNA","sti","geno","gene"
0,0.285735642849069,"lps","wt","Gdf15"
0.0833333333333333,0.286620745820497,"lps","wt","Gdf15"
0.166666666666667,0.290836787281692,"lps","wt","Gdf15"
0.25,0.299751111654267,"lps","wt","Gdf15"
0.333333333333333,0.313585173906905,"lps","wt","Gdf15"
0.416666666666667,0.331839234060563,"lps","wt","Gdf15"
0.5,0.353701427681019,"lps","wt","Gdf15"
0.583333333333333,0.378376684860357,"lps","wt","Gdf15"
0.666666666666667,0.405317418502707,"lps","wt","Gdf15"
0.75,0.433933320284266,"lps","wt","Gdf15"
0.833333333333333,0.463598466607264,"lps","wt","Gdf15"
0.916666666666667,0.493713304977572,"lps","wt","Gdf15"
1,0.523726355246619,"lps","wt","Gdf15"
1.08333333333333,0.55320325642659,"lps","wt","Gdf15"
1.16666666666667,0.582022967681002,"lps","wt","Gdf15"
1.25,0.610119082749249,"lps","wt","Gdf15"
1.33333333333333,0.637405602179385,"lps","wt","Gdf15"
1.41666666666667,0.663780614242098,"lps","wt","Gdf15"
1.5,0.689126627367961,"lps","wt","Gdf15"
1.58333333333333,0.713324973493321,"lps","wt","Gdf15"
1.66666666666667,0.736321216506061,"lps","wt","Gdf15"
1.75,0.758099837657715,"lps","wt","Gdf15"
1.83333333333333,0.77866964246668,"lps","wt","Gdf15"
1.91666666666667,0.798063766812549,"lps","wt","Gdf15"
2,0.81634049549199,"lps","wt","Gdf15"
2.08333333333333,0.833573595864772,"lps","wt","Gdf15"
2.16666666666667,0.849811319489854,"lps","wt","Gdf15"
2.25,0.86509177908365,"lps","wt","Gdf15"
2.33333333333333,0.879451306350477,"lps","wt","Gdf15"
2.41666666666667,0.892924538917338,"lps","wt","Gdf15"
2.5,0.90554450440087,"lps","wt","Gdf15"
2.58333333333333,0.91734270179069,"lps","wt","Gdf15"
2.66666666666667,0.928349180325424,"lps","wt","Gdf15"
2.75,0.938592616029173,"lps","wt","Gdf15"
2.83333333333333,0.948100386067294,"lps","wt","Gdf15"
2.91666666666667,0.956898641070927,"lps","wt","Gdf15"
3,0.965012375569662,"lps","wt","Gdf15"
3.08333333333333,0.972465496661115,"lps","wt","Gdf15"
3.16666666666667,0.979280891034768,"lps","wt","Gdf15"
3.25,0.985480490455308,"lps","wt","Gdf15"
3.33333333333333,0.991085335797739,"lps","wt","Gdf15"
3.41666666666667,0.996115639712819,"lps","wt","Gdf15"
3.5,1.00059084798672,"lps","wt","Gdf15"
3.58333333333333,1.0045296996435,"lps","wt","Gdf15"
3.66666666666667,1.0079502858227,"lps","wt","Gdf15"
3.75,1.01087010744771,"lps","wt","Gdf15"
3.83333333333333,1.01330613168291,"lps","wt","Gdf15"
3.91666666666667,1.01527484716006,"lps","wt","Gdf15"
4,1.01679231793596,"lps","wt","Gdf15"
4.08333333333333,1.01787020882711,"lps","wt","Gdf15"
4.16666666666667,1.0185044278229,"lps","wt","Gdf15"
4.25,1.01868843600397,"lps","wt","Gdf15"
4.33333333333333,1.01841750897904,"lps","wt","Gdf15"
4.41666666666667,1.01768883092089,"lps","wt","Gdf15"
4.5,1.01650161496071,"lps","wt","Gdf15"
4.58333333333333,1.01485724637168,"lps","wt","Gdf15"
4.66666666666667,1.01275944439491,"lps","wt","Gdf15"
4.75,1.01021443791577,"lps","wt","Gdf15"
4.83333333333333,1.00723114953377,"lps","wt","Gdf15"
4.91666666666667,1.00382138194142,"lps","wt","Gdf15"
5,1,"lps","wt","Gdf15"
5.08333333333333,0.995785101542146,"lps","wt","Gdf15"
5.16666666666667,0.991198169808368,"lps","wt","Gdf15"
5.25,0.986264200594337,"lps","wt","Gdf15"
5.33333333333333,0.981011797686315,"lps","wt","Gdf15"
5.41666666666667,0.975473231003477,"lps","wt","Gdf15"
5.5,0.969684453022375,"lps","wt","Gdf15"
5.58333333333333,0.963685070462086,"lps","wt","Gdf15"
5.66666666666667,0.957518269747573,"lps","wt","Gdf15"
5.75,0.951230696293501,"lps","wt","Gdf15"
5.83333333333333,0.944872288983192,"lps","wt","Gdf15"
5.91666666666667,0.938496072169264,"lps","wt","Gdf15"
6,0.932157907917904,"lps","wt","Gdf15"
6.08333333333333,0.925905832104543,"lps","wt","Gdf15"
6.16666666666667,0.919748112472696,"lps","wt","Gdf15"
6.25,0.913683340941673,"lps","wt","Gdf15"
6.33333333333333,0.907710655009969,"lps","wt","Gdf15"
6.41666666666667,0.901829717991367,"lps","wt","Gdf15"
6.5,0.896040699549806,"lps","wt","Gdf15"
