"time","mRNA","sti","geno","gene"
0,5.38976921207647e-05,"lps","wt","Nfkbie"
0.0833333333333333,6.90887895516394e-05,"lps","wt","Nfkbie"
0.166666666666667,0.000325011407739171,"lps","wt","Nfkbie"
0.25,0.00162730800491935,"lps","wt","Nfkbie"
0.333333333333333,0.00548915392961344,"lps","wt","Nfkbie"
0.416666666666667,0.013829110118144,"lps","wt","Nfkbie"
0.5,0.0283344897225895,"lps","wt","Nfkbie"
0.583333333333333,0.0500332868665988,"lps","wt","Nfkbie"
0.666666666666667,0.0794954262270138,"lps","wt","Nfkbie"
0.75,0.116226440613715,"lps","wt","Nfkbie"
0.833333333333333,0.158800392181417,"lps","wt","Nfkbie"
0.916666666666667,0.205404856288855,"lps","wt","Nfkbie"
1,0.254249331704337,"lps","wt","Nfkbie"
1.08333333333333,0.303913649624867,"lps","wt","Nfkbie"
1.16666666666667,0.35384639240297,"lps","wt","Nfkbie"
1.25,0.403648906682483,"lps","wt","Nfkbie"
1.33333333333333,0.452888475997935,"lps","wt","Nfkbie"
1.41666666666667,0.501114215230536,"lps","wt","Nfkbie"
1.5,0.547859127485429,"lps","wt","Nfkbie"
1.58333333333333,0.592669666091072,"lps","wt","Nfkbie"
1.66666666666667,0.635253986568971,"lps","wt","Nfkbie"
1.75,0.675421753115467,"lps","wt","Nfkbie"
1.83333333333333,0.713052410076778,"lps","wt","Nfkbie"
1.91666666666667,0.748099411272122,"lps","wt","Nfkbie"
2,0.780597061907151,"lps","wt","Nfkbie"
2.08333333333333,0.810640467090797,"lps","wt","Nfkbie"
2.16666666666667,0.838282869984046,"lps","wt","Nfkbie"
2.25,0.863572026911043,"lps","wt","Nfkbie"
2.33333333333333,0.886570529311185,"lps","wt","Nfkbie"
2.41666666666667,0.907355379782103,"lps","wt","Nfkbie"
2.5,0.92601735474193,"lps","wt","Nfkbie"
2.58333333333333,0.942660191790345,"lps","wt","Nfkbie"
2.66666666666667,0.957399642811857,"lps","wt","Nfkbie"
2.75,0.970362435750643,"lps","wt","Nfkbie"
