"","X","rmsd","n","kb","kt","Kd","k_deg","tau","gene"
"2","Zbtb10",0.254104174012919,1,0.00145693038131557,5.71836993851998,1000,0.0121746436505966,4.47597452936917,"Zbtb10"
"3","Itpkc",0.141890900896001,3,0.00553708160240481,6.47620153945002,6.66935128221895,0.0193273996822799,25.4122120440527,"Itpkc"
"4","Klf10",0.171299507102363,3,0.00100017670655628,414.818375076751,34.3111906047506,0.0313043937562026,37.2533331755717,"Klf10"
"5","Irf1",0.202261797688265,4,0.00393569307456581,4.64091624452733,2.78252796045289,0.0188867125831999,20.5885018798001,"Irf1"
"6","Rel",0.169934319721383,4,0.00100005835005709,22.6807121744214,7.33409293530318,0.0193273996822799,32.3230162406538,"Rel"
"7","Gadd45b",0.15455738520793,3,0.001,26.7826550209198,15.1119391898553,0.0219042401477075,22.8537988887848,"Gadd45b"
"8","Pim1",0.157721966646711,3,0.00116623623921062,16.9332551198407,9.26557938892869,0.0146295822239872,4.43036941550465,"Pim1"
"9","ENSMUSG00000097418",0.319961601240853,6,0.0347978265541251,0.529417914931355,0.170485149815194,0.00630865141970549,3.71912867376258e-05,"Mir155hg"
"10","Zc3h12c",0.205204657733094,1,0.00144871245148685,5.95860914906211,602.223383671924,0.00921004990821368,32.3992885818947,"Zc3h12c"
"11","Cxcl10",0.21647878245272,5,0.00291504626691853,49.1115540643108,2.85036934720747,0.00676885221965734,10.2935766047353,"Cxcl10"
"13","Bcl3",0.105101802216638,3,0.0126970517112271,0.874258544518081,1.407738933005,0.0231512203501337,58.4798579739699,"Bcl3"
"14","Cgn",0.240620297166933,6,0.0406810186175748,0.25852655668924,0.225104986193442,0.00475504610904357,31.1053404818182,"Cgn"
"15","Pdgfb",0.157112599534759,5,0.00622063623076019,0.331160954822162,0.80199620151079,0.0127017362802778,62.5526695057724,"Pdgfb"
"16","Sik1",0.157767411003843,5,0.0480661765433547,0.175078842784475,0.508875507274234,0.0263871976874626,43.7757959171015,"Sik1"
"17","Ccl2",0.0907179830263227,5,0.0026963956537167,0.059743543919298,0.502530808656756,0.0120093077463579,32.731618173798,"Ccl2"
"18","Ccl7",0.0830795747051853,5,0.0577753040641043,0.679655397426485,0.595941100070962,0.0118487744193062,24.3188527741667,"Ccl7"
"19","Angptl4",0.128943509015833,3,0.0166387130988902,0.921056240470744,1.62416332618491,0.00873640492322975,65.4076329642373,"Angptl4"
"20","Bdkrb2",0.142139368563547,2,0.00122925075387484,5.2417014432394,18.3861185193176,0.0167948530337847,90.7873390914143,"Bdkrb2"
"21","Icam1",0.14361752755688,6,0.0352897744624562,1.232187808539,0.785878528095818,0.0057859352173862,50.7679947236574,"Icam1"
"22","Nfkb1",0.127874328901476,4,0.0193543919284123,0.506407908843766,1.10967284380211,0.00771763889271633,58.6357019153826,"Nfkb1"
"23","Nfkb2",0.160291442427287,1,0.00102412472055607,12.2727089861242,1000,0.00588226033581438,34.5362631529832,"Nfkb2"
"24","Nfkbie",0.187646278770193,2,0.00102414528038018,847.368099854703,3.30405442364543,0.00831703215621916,36.887977686669,"Nfkbie"
"25","Rab11fip1",0.161634124746069,3,0.00376645865561555,120.737671010712,14.7097441127394,0.0139201514210687,50.8294554705712,"Rab11fip1"
"26","Ripk2",0.204471980454923,1,0.001,999.999999170318,902.694607056418,0.00777941262900779,35.2003419472307,"Ripk2"
"27","Trim47",0.125195100212864,2,0.00421490882078077,3.27155974856626,9.97761933251782,0.0130815641608158,48.8945497225262,"Trim47"
"28","Glrx",0.054164180159386,6,0.0372732400183819,0.225248084917105,0.593676683700511,0.00267847112870466,120,"Glrx"
"29","Slco2a1",0.130763642436005,5,0.0534748321717261,0.904000890855953,0.0437143109850175,0.0033383129284281,83.2784256886413,"Slco2a1"
"31","Gbp2",0.133513820436346,2,0.00267105580035598,3.93129916703709,8.71795968193461,0.00412293955085223,74.354047950674,"Gbp2"
"32","Il34",0.0991046969727974,2,0.0176660972432412,0.890119481118197,2.31952281235952,0.00615866062415507,84.2510996737935,"Il34"
"33","Slc7a2",0.140626367648049,4,0.0280844850533147,0.459233719136135,0.65328840091438,0.00408234675631913,64.6224898748897,"Slc7a2"
"34","Tnip1",0.0894087651284817,5,0.042575268218112,0.274643960644318,0.57163926729083,0.0078423152800566,64.5970474701707,"Tnip1"
"38","Cx3cl1",0.154089852184432,6,0.00656303451186368,600.286653584427,2.80780769433935,0.00194803333664005,61.4245439638162,"Cx3cl1"
"39","Gch1",0.124931983077533,2,0.00784313074079398,0.635385134110064,0.963546580215148,0.00999488312810033,73.0413543555473,"Gch1"
"40","ENSMUSG00000041481",0.106805667539848,3,0.0325474889769842,0.423052364550271,0.809018596702339,0.00742468265485935,70.9620251337247,"Serpina3g"
"41","B4galt5",0.198789944394328,1,0.00100015301941893,20.1686514040926,0.0859786710806992,0.00676885221965734,68.7613330444415,"B4galt5"
"42","Cebpb",0.0763642488746511,3,0.00540837594425028,0.417992827076313,2.35204050847761,0.0160821621903165,56.4809690731813,"Cebpb"
"43","Gda",0.219748204526772,6,0.0733826717766969,0.141460977823104,0.0672150768512087,0.00415058564051217,82.2451693292133,"Gda"
"44","Il1r1",0.157817495889362,5,0.066290603069287,0.191614612797719,0.050447350355367,0.0078423152800566,59.0028072265516,"Il1r1"
"45","Jak2",0.140423651032653,5,0.0582365434979342,0.451953358360057,0.732382582340832,0.00681459201591358,54.2843833786376,"Jak2"
"46","Rab20",0.154355602047941,3,0.0173321285629502,1.14188940158126,2.29758957298034,0.0173178578999385,59.7759037990164,"Rab20"
"47","Sdc4",0.204843873545637,4,0.0103507853204185,12.7092434155854,2.46452062363581,0.00244226558697214,12.2088948089533,"Sdc4"
"48","St3gal1",0.181562036562679,6,0.0555472643685368,0.260462477887382,0.0615438731342988,0.00690823950621921,61.7433228193612,"St3gal1"
"50","Hivep3",0.230855429068053,1,0.00552632829552359,305.898980373749,1000,0.00846482810966739,52.140435338974,"Hivep3"
"54","Tnfaip2",0.154535610272297,6,0.0431877669567304,4.24861154972262,0.923903789922745,0.00623260456880312,46.7040723902054,"Tnfaip2"
"55","Tnfsf11",0.134155501315781,6,0.0085668523031519,1.2232734315024,1.29903331762781,0.0081749017881995,66.2931370823602,"Tnfsf11"
"56","Il1rap",0.0731453985939585,5,0.0400050676968662,0.110201512159105,0.0579310633941174,0.00281112071502402,69.1001899952313,"Il1rap"
"57","Tmem158",0.156761048406242,3,0.0242503810874796,0.0770824259879347,0.233673782519105,0.00605150063953542,82.3688556801428,"Tmem158"
"58","Slco3a1",0.103950557673522,1,0.00486712520205367,81.6817236354453,0.13369240787743,0.00503870180548424,110.230760975193,"Slco3a1"
"59","Timp1",0.0931741904152849,1,0.00101798272378159,13.0386539656055,560.538591646549,0.00210383132104319,57.575730482955,"Timp1"
"60","Rab15",0.0814659817178401,5,0.0563919061340616,0.152403171388734,0.0408006999549613,0.00252485373125996,120,"Rab15"
"61","Il1rl1",0.119650640173299,5,0.00195316600288186,12.7439265534204,0.0341127135425171,0.00305838713494849,59.3206749208083,"Il1rl1"
