"","X.1","X","index","gene","cluster","comment","gene_id","chip.seq.10k.peak","gene.2"
"Bcl3",61,"ENSMUSG00000053175",61,"Bcl3",3,"","ENSMUSG00000053175",TRUE,"Bcl3"
"Ccl2",75,"ENSMUSG00000035385",75,"Ccl2",4,"","ENSMUSG00000035385",TRUE,"Ccl2"
"Ccl7",80,"ENSMUSG00000035373",80,"Ccl7",4,"","ENSMUSG00000035373",FALSE,"Ccl7"
"Glrx",95,"ENSMUSG00000021591",95,"Glrx",5,"","ENSMUSG00000021591",FALSE,"Glrx"
"Il34",100,"ENSMUSG00000031750",100,"Il34",5,"","ENSMUSG00000031750",FALSE,"Il34"
"Sod2",103,"ENSMUSG00000006818",103,"Sod2",5,"","ENSMUSG00000006818",TRUE,"Sod2"
"Tnip1",104,"ENSMUSG00000020400",104,"Tnip1",5,"","ENSMUSG00000020400",FALSE,"Tnip1"
"Gch1",112,"ENSMUSG00000037580",112,"Gch1",5,"","ENSMUSG00000037580",FALSE,"Gch1"
"Serpina3g",113,"ENSMUSG00000041481",113,"ENSMUSG00000041481",5,"","ENSMUSG00000041481",TRUE,"Serpina3g"
"Cebpb",116,"ENSMUSG00000056501",116,"Cebpb",5,"","ENSMUSG00000056501",FALSE,"Cebpb"
"Ptger2",137,"ENSMUSG00000037759",137,"Ptger2",6,"","ENSMUSG00000037759",FALSE,"Ptger2"
"Il1rap",142,"ENSMUSG00000022514",142,"Il1rap",7,"","ENSMUSG00000022514",FALSE,"Il1rap"
"Slco3a1",145,"ENSMUSG00000025790",145,"Slco3a1",7,"","ENSMUSG00000025790",FALSE,"Slco3a1"
"Timp1",150,"ENSMUSG00000001131",150,"Timp1",7,"","ENSMUSG00000001131",TRUE,"Timp1"
"Rab15",152,"ENSMUSG00000021062",152,"Rab15",7,"","ENSMUSG00000021062",FALSE,"Rab15"
"Il1rl1",153,"ENSMUSG00000026069",153,"Il1rl1",7,"","ENSMUSG00000026069",TRUE,"Il1rl1"
"Mmp9",158,"ENSMUSG00000017737",158,"Mmp9",8,"","ENSMUSG00000017737",TRUE,"Mmp9"
"Acpp",159,"ENSMUSG00000032561",159,"Acpp",8,"","ENSMUSG00000032561",FALSE,"Acpp"
"Mmp1b",163,"ENSMUSG00000041620",163,"Mmp1b",8,"","ENSMUSG00000041620",FALSE,"Mmp1b"
"Mmp3",164,"ENSMUSG00000043613",164,"Mmp3",8,"","ENSMUSG00000043613",FALSE,"Mmp3"
"Rbfox1",166,"ENSMUSG00000008658",166,"Rbfox1",8,"","ENSMUSG00000008658",FALSE,"Rbfox1"
"U90926",167,"ENSMUSG00000029409",167,"U90926",8,"","ENSMUSG00000029409",FALSE,"U90926"
"Gm16685",168,"ENSMUSG00000097804",168,"ENSMUSG00000097804",8,"","ENSMUSG00000097804",TRUE,"Gm16685"
"Tmem132e",169,"ENSMUSG00000020701",169,"Tmem132e",8,"","ENSMUSG00000020701",TRUE,"Tmem132e"
"Itgal",171,"ENSMUSG00000030830",171,"Itgal",8,"","ENSMUSG00000030830",FALSE,"Itgal"
"Kcnn3",172,"ENSMUSG00000000794",172,"Kcnn3",8,"","ENSMUSG00000000794",TRUE,"Kcnn3"
"Ccl5",175,"ENSMUSG00000035042",175,"Ccl5",8,"","ENSMUSG00000035042",TRUE,"Ccl5"
"Exoc3l4",155,"ENSMUSG00000021280",155,"Exoc3l4",7,"","ENSMUSG00000021280",FALSE,"Exoc3l4"
"Gsap",149,"ENSMUSG00000039934",149,"Gsap",7,"","ENSMUSG00000039934",TRUE,"Gsap"
"Slc6a12",154,"ENSMUSG00000030109",154,"Slc6a12",7,"","ENSMUSG00000030109",FALSE,"Slc6a12"
"Cd274",143,"ENSMUSG00000016496",143,"Cd274",7,"","ENSMUSG00000016496",FALSE,"Cd274"
