"","gene","nrmsd","ensembleID","rmsd","n","kb","kt","Kd","k_deg","tau"
"Acpp","Acpp",0.0740387027040171,"ENSMUSG00000032561",0.254104174012919,1,0.00145693038131557,5.71836993851998,1000,0.0121746436505966,4.47597452936917
"Adtrp","Adtrp",0.156353633950277,"ENSMUSG00000058022",0.141890900896001,3,0.00553708160240481,6.47620153945002,6.66935128221895,0.0193273996822799,25.4122120440527
"Angptl4","Angptl4",0.138162163325593,"ENSMUSG00000002289",0.171299507102363,3,0.00100017670655628,414.818375076751,34.3111906047506,0.0313043937562026,37.2533331755717
"B4galt5","B4galt5",0.239274247068619,"ENSMUSG00000017929",0.202261797688265,4,0.00393569307456581,4.64091624452733,2.78252796045289,0.0188867125831999,20.5885018798001
"Bcl3","Bcl3",0.109537877150414,"ENSMUSG00000053175",0.169934319721383,4,0.00100005835005709,22.6807121744214,7.33409293530318,0.0193273996822799,32.3230162406538
"Bdkrb2","Bdkrb2",0.151576995096012,"ENSMUSG00000021070",0.15455738520793,3,0.001,26.7826550209198,15.1119391898553,0.0219042401477075,22.8537988887848
"Ccl1","Ccl1",0.197313779738166,"ENSMUSG00000020702",0.157721966646711,3,0.00116623623921062,16.9332551198407,9.26557938892869,0.0146295822239872,4.43036941550465
"Ccl2","Ccl2",0.0915231146823337,"ENSMUSG00000035385",0.319961601240853,6,0.0347978265541251,0.529417914931355,0.170485149815194,0.00630865141970549,3.71912867376258e-05
"Ccl5","Ccl5",0.129119162831286,"ENSMUSG00000035042",0.205204657733094,1,0.00144871245148685,5.95860914906211,602.223383671924,0.00921004990821368,32.3992885818947
"Ccl7","Ccl7",0.0859916257894908,"ENSMUSG00000035373",0.21647878245272,5,0.00291504626691853,49.1115540643108,2.85036934720747,0.00676885221965734,10.2935766047353
"Cd274","Cd274",0.129705465099842,"ENSMUSG00000016496",0.105101802216638,3,0.0126970517112271,0.874258544518081,1.407738933005,0.0231512203501337,58.4798579739699
"Cebpb","Cebpb",0.0894838690039758,"ENSMUSG00000056501",0.240620297166933,6,0.0406810186175748,0.25852655668924,0.225104986193442,0.00475504610904357,31.1053404818182
