"","time","normCnt.frac","sti","geno","gene","type","clust","v1"
"1",0,0.271381079320234,"lps","wt","Zbtb10","Sim.","1",FALSE
"2",0.5,0.334021603974865,"lps","wt","Zbtb10","Sim.","1",FALSE
"3",1,0.511960512988025,"lps","wt","Zbtb10","Sim.","1",FALSE
"4",2,0.864452549014467,"lps","wt","Zbtb10","Sim.","1",FALSE
"5",3,1,"lps","wt","Zbtb10","Sim.","1",FALSE
"6",5,0.945731566773618,"lps","wt","Zbtb10","Sim.","1",FALSE
"7",8,0.723548152318232,"lps","wt","Zbtb10","Sim.","1",FALSE
"8",0,0.271381079320234,"tnf","wt","Zbtb10","Sim.","1",FALSE
"9",0.5,0.423688915364231,"tnf","wt","Zbtb10","Sim.","1",FALSE
"10",1,0.628998795950562,"tnf","wt","Zbtb10","Sim.","1",FALSE
"11",2,0.530701473682968,"tnf","wt","Zbtb10","Sim.","1",FALSE
"12",3,0.396310684579708,"tnf","wt","Zbtb10","Sim.","1",FALSE
"13",5,0.300366506211032,"tnf","wt","Zbtb10","Sim.","1",FALSE
"14",8,0.274624325676325,"tnf","wt","Zbtb10","Sim.","1",FALSE
"15",0,0.33247725988723,"lps","mt","Zbtb10","Sim.","1",FALSE
"16",0.5,0.363553042011958,"lps","mt","Zbtb10","Sim.","1",FALSE
"17",1,0.566817797795071,"lps","mt","Zbtb10","Sim.","1",FALSE
"18",2,0.937587403017799,"lps","mt","Zbtb10","Sim.","1",FALSE
"19",3,1,"lps","mt","Zbtb10","Sim.","1",FALSE
"20",5,0.975976987710175,"lps","mt","Zbtb10","Sim.","1",FALSE
"21",8,0.701070216694069,"lps","mt","Zbtb10","Sim.","1",FALSE
"22",0,0.33247725988723,"tnf","mt","Zbtb10","Sim.","1",FALSE
"23",0.5,0.492930255179518,"tnf","mt","Zbtb10","Sim.","1",FALSE
"24",1,0.731110576100855,"tnf","mt","Zbtb10","Sim.","1",FALSE
"25",2,0.82850408622573,"tnf","mt","Zbtb10","Sim.","1",FALSE
"26",3,0.769839549873774,"tnf","mt","Zbtb10","Sim.","1",FALSE
"27",5,0.469108925344227,"tnf","mt","Zbtb10","Sim.","1",FALSE
"28",8,0.354470624264686,"tnf","mt","Zbtb10","Sim.","1",FALSE
"29",0,0.256662115604838,"lps","wt","Itpkc","Sim.","1",FALSE
"30",0.5,0.256698672074486,"lps","wt","Itpkc","Sim.","1",FALSE
"31",1,0.291950230668404,"lps","wt","Itpkc","Sim.","1",FALSE
"32",2,0.813234561542401,"lps","wt","Itpkc","Sim.","1",FALSE
"33",3,1,"lps","wt","Itpkc","Sim.","1",FALSE
"34",5,0.690690809995462,"lps","wt","Itpkc","Sim.","1",FALSE
"35",8,0.367634882676423,"lps","wt","Itpkc","Sim.","1",FALSE
