,I_L_0,I_L_0.5,I_L_1,I_L_2,I_L_4,I_L_8,I_T_0,I_T_0.5,I_T_1,I_T_2,I_T_4,I_T_8,D_L_0,D_L_0.5,D_L_1,D_L_2,D_L_4,D_L_8,D_T_0,D_T_0.5,D_T_1,D_T_2,D_T_4,D_T_8
Gda,1,0.95021465307139,0.388119591833942,0.897525159992514,0.620206643604503,0.53188170534636,1,0.792667027879783,0.352164902286085,0.898469850711261,0.377262869439348,0.393492256185196,0.247868965089778,0.563468598125261,0.316155659078962,0.863911526730134,0.625045614215577,0.48044807922302,0.247868965089778,0.409020398810083,0.478327951342661,0.947376180098136,1,0.731567777879856
Rab20,0.171958997585487,0.893373545436221,0.783125536147172,0.498925257795949,0.464605350426905,0.364938441952755,0.171958997585487,1,0.680956924550827,0.245184742758775,0.31677480765325,0.100221961851806,0.351937090617081,0.842149119124773,0.604825663182394,0.712156822283571,0.848337267951015,0.722171526623612,0.351937090617081,1,0.75252587131737,0.799127539719919,0.319966506782718,0
Cxcl10,0.00867906613922463,0.0711888584327317,1,0.856129132749983,0.268127488324708,0.0442894918955889,0.00867906613922463,0.797775314002136,0.671915245851496,0.181720578564541,0.0220636731589714,0.0049861121623879,0.00748159345697399,0.13889496398191,0.733972727514905,0.91087893025921,0.943308327432557,0.392788447717358,0.00748159345697399,0.719369343328926,1,0.702738895102278,0.22276393974366,0.0110406978508514
Gadd45b,0.0911784114959654,0.214445450093661,1,0.546006095117917,0.223246953281851,0.099517632453796,0.0911784114959654,0.727509156099615,0.555219023256057,0.169415314041039,0.141753992714642,0.0816706705117055,0.202137913961808,0.204494156551047,0.50354155390893,1,0.497392806140266,0.131286083950622,0.202137913961808,0.616391783055598,0.593339819819951,0.578928624930677,0.232846255739098,0.062470764828551
Irf1,0.0368887769969044,0.192966226806669,0.457399569539269,0.26211826189264,0.106023563306976,0.0549404008815293,0.0368887769969044,1,0.558673669969503,0.0816601837595887,0.0444709572890106,0.0300520566132722,0.057177781633233,0.164377547149596,0.613850327630242,0.589329792461576,0.356516471453808,0.190129158363394,0.057177781633233,1,0.808643851445483,0.454986752281405,0.0778063329890682,0.0571062168019551
Itpkc,0.184076048389862,0.177787079030411,0.531232698347431,0.380997469589634,0.212848756599518,0.200773343456766,0.184076048389862,1,0.616951518405616,0.251688316837257,0.222834692280217,0.188101317564226,0.26788813832237,0.219979219625326,0.479713994181404,0.507037384827226,0.375233648333667,0.188705878955315,0.26788813832237,1,0.531873585798235,0.361504529165041,0.25680034592167,0.317584451146508
Pim1,0.106260973984673,0.378709648536258,1,0.712456517479623,0.276872998682306,0.119411880632152,0.106260973984673,0.716722451795347,0.681166414870433,0.192049345342333,0.150561477392969,0.0568184416356153,0.137389121535601,0.484385313657766,0.714308179210572,1,0.526439161471598,0.219805952281412,0.137389121535601,0.53839481260281,0.753522304123537,0.595447611341883,0.170014282265308,0.101373576871817
Zbtb10,0.329074526330993,0.434285880307468,0.740500920480533,0.736565084447951,0.419746096402391,0.411186604686559,0.329074526330993,0.809138299842083,1,0.474503992798979,0.274324480339208,0.436800890953527,0.239626581711881,0.313039083820823,0.86180716875988,0.422302173779392,0.281161001216162,0.276878242908353,0.239626581711881,0.636070223527566,1,0.383813556859919,0.242258631861723,0.215001253164087
Rhof,0.356550206903249,0.469372949439697,1,0.591233490751934,0.527543820859369,0.395540138357677,0.356550206903249,0.417143019749606,0.645999295540994,0.439727756867431,0.956767922121519,0.455194729382623,0.262013783466926,0.397082222337732,0.44135263282289,0.675612464524469,1,0.206370616800719,0.262013783466926,0.321223755008717,0.591373187486264,0.536539548963721,0.476423981785152,0.515543474823121
Sdc4,0.152650913659626,0.598244836479153,0.708070497942126,0.619386375943118,0.27367061886722,0.123159120299994,0.152650913659626,1,0.353119184110653,0.222546984693491,0.167993409982542,0.0664376898030305,0.237294159008506,0.598660863542108,0.501359886917419,0.662852354627183,0.428473871171419,0.183052678690623,0.237294159008506,1,0.383349427912235,0.491116864104202,0.354064031867172,0.123592408793264
Sik1,0.251322444117393,0.291924790027539,0.766182509516966,0.634329635011755,0.561952584915528,0.454736040246326,0.251322444117393,0.976567475987888,1,0.263316064112221,0.291834817854543,0.234206450075989,0.263726169358333,0.304592815598578,0.939181130889033,0.811318814080738,0.865063903481439,0.634465346847114,0.263726169358333,0.84537072602894,1,0.709701334977154,0.465357764790775,0.393369379879527
Ccl7,0.162555241576633,0.236343048870831,1,0.912875144944454,0.701680564799888,0.73621448714376,0.162555241576633,0.986032152369332,0.732827037655443,0.379969619730575,0.232212391099174,0.389829698780496,0.138050273009456,0.197177178804205,0.696983055597273,0.803394407943195,1,0.767926145984933,0.138050273009456,0.682600479393523,0.717532800816667,0.624127139068258,0.471158842201505,0.239293476665212
Serpina3g,0.101719452805145,0.434349475935085,0.488576361570546,0.140679661390312,0.103562118018814,0.0773328332551707,0.101719452805145,1,0.525613904052047,0.0765613730113562,0.0452077407683282,0.0871797747976377,0.0746803079816671,0.376513289156483,0.550131034758162,0.105517177169234,0.0830481129152568,0.0864838279260794,0.0746803079816671,1,0.258340903725561,0.105920071927369,0.0484012639998886,0.0349170161905446
Klf10,0.270210232937555,0.303073450875777,0.686618262614055,0.727742703612712,0.281830063308222,0.217761857133877,0.270210232937555,1,0.745833410187955,0.383103870383118,0.166852937479427,0.167069516702714,0.233990252795419,0.183671103177341,0.530350650217888,1,0.531247630644158,0.372140936219137,0.233990252795419,0.786836452190543,0.87749703375736,0.908717759636795,0.290191222674315,0.240826615934238
Rel,0.175196334051502,0.489613004262035,0.620999010313686,0.784369210322496,0.332782021431284,0.15092342487175,0.175196334051502,0.754360902899919,1,0.167893513114407,0.101599515027588,0.12276683919559,0.183789148717046,0.621540537065062,0.816037200145191,0.677145129922532,0.315466210826997,0.22558174430075,0.183789148717046,1,0.93361653914898,0.400874893109948,0.154716129112662,0.184831651691042
Icam1,0.0739088197047789,0.244113573368543,0.569915361397798,0.90806541850299,0.381409909094918,0.173177233129415,0.0739088197047789,0.7679340409316,1,0.22855408695206,0.154379105499706,0.0608468516602881,0.0413967936682666,0.136130053587318,0.358024590945316,1,0.897859248317999,0.297661395043387,0.0413967936682666,0.486112755273748,0.772183744033614,0.635501562507428,0.285603208503855,0.056120827591313
Jak2,0.287294915381037,0.29900687566012,0.430949877261718,1,0.4514591983775,0.493941853099357,0.287294915381037,0.324475857150254,0.772940762647127,0.552346524882216,0.261173450382147,0.330944277509735,0.193664682422103,0.207753962552622,0.438651145552336,1,0.742065610604815,0.839788135487057,0.193664682422103,0.242344531385867,0.737731898155955,0.757789340651446,0.348483992745335,0.208570092482272
Nfkb1,0.152221906631623,0.164682148604714,0.288119709548158,0.848096344692556,0.342796896428825,0.259757260379883,0.152221906631623,0.213562714781396,1,0.362741404397822,0.1397678850392,0.161766430502448,0.108817225140087,0.142028520849258,0.310098963495781,0.672777825416492,0.339439475309527,0.329220202364415,0.108817225140087,0.180422591226351,1,0.527857974417011,0.142573025270323,0.152916896415562
Nfkbie,0.0374260921585815,0.232887007521073,0.580253702747622,0.748933722450804,0.313951155441646,0.125157994414554,0.0374260921585815,0.64779104581582,1,0.216646046114594,0.0815844353495376,0.0280450970449121,0.0572616453346839,0.206866638220389,0.443453320830842,0.945874787733509,0.739621091166411,0.301574190842182,0.0572616453346839,0.538695280646515,1,0.858376014087527,0.237569106689296,0.028564007283854
Ripk2,0.0599124461228642,0.0990203160505855,0.242002625222634,1,0.352192168313829,0.100557035658054,0.0599124461228642,0.588354453169974,0.879676220713896,0.247196027508556,0.0683937872654621,0.052313069788085,0.0339549913888721,0.0641520113928579,0.277444309739006,1,0.578105463297228,0.207801351256704,0.0339549913888721,0.42728325493371,0.78390927578664,0.763455215413623,0.131713963928998,0.029396623976402
