"","I_L_0","I_L_0.5","I_L_1","I_L_2","I_L_4","I_L_8","I_T_0","I_T_0.5","I_T_1","I_T_2","I_T_4","I_T_8","D_L_0","D_L_0.5","D_L_1","D_L_2","D_L_4","D_L_8","D_T_0","D_T_0.5","D_T_1","D_T_2","D_T_4","D_T_8"
"4930523C07Rik",0.163039224428124,0.160446998409618,0.438428169922575,0.819543196923971,0.489337311549132,0.299039990589761,0.163039224428124,0.417461635090997,1,0.52989151631073,0.164790729794847,0.0330951767825404,0.181840741867017,0.218512233703545,0.483993547683882,1.04341769981638,0.791712408537046,0.560707659806747,0.181840741867017,0.39296256533504,1.01790759126123,1.10249808179598,0.410379097859511,0.167611669452807
"Acpp",0.0121862874780738,0.0862575383144389,0.139558362775304,0.37202471543485,1,0.396359949261847,0.0121862874780738,0.197718045527497,0.245994319552207,0.236150637524635,0.177601874120281,0.0404026309725705,0.209850567043707,0.16500403183741,0.301238441758267,0.935477748004873,0.904620407145623,1.18233990139429,0.209850567043707,0.226506627047887,0.231178422702649,1.15556809086872,0.504807094347243,0.571125821533995
"Adarb1",0.41341016555286,0.552777213278223,0.464640573918377,0.935726758389527,1,0.638549886733609,0.41341016555286,0.721314787780546,0.560388185478901,0.73085468688347,0.566423754473318,0.0771317287304017,0.465609492250119,0.579789338543558,0.524641235959392,1.47181361566467,2.16569596266505,0.888902638566087,0.465609492250119,0.547461564841568,0.651590957515771,0.960383838313585,0.781690123551161,0.726080449482363
"Adtrp",0.00773914753021225,0.00902104977271611,0.41301609512177,0.624973649941458,0.569825481144721,0.0200601776544768,0.00773914753021225,0.451815311878021,1,0.204016200813746,0.0138459615394465,0,0.0148022483124079,0.0196880565501914,0.336475363005104,0.793160477638164,0.530028660388962,0.0598394174641424,0.0148022483124079,0.509799546865928,1.31644169633418,0.999989546402999,0.153458428165092,0.0742912972383969
"Angptl4",0.141738091116344,0.144381600591791,0.597088286555225,0.815914947506559,0.458344250522574,1,0.141738091116344,0.455920284388844,0.527337893176223,0.444565967225754,0.612603035117094,0.0887205000127357,0.345161072227826,0.127700919225531,0.696162482719431,1.58044568868172,2.63960161492988,2.51651874457691,0.345161072227826,0.451730458284076,0.682818877465449,0.921747842694529,1.77062300954144,1.3465155086374
"Arc",0.394779886018554,0.366975374492785,1,0.440597618825817,0.087802404658538,0.416787090758005,0.394779886018554,0.558140769161407,0.66405718243421,0.627289890496537,0.210099278790194,0.0159318206721447,1.01042228671735,0.621164354761328,0.435046992721772,0.561010006531094,0.309238822918204,0.207212328384405,1.01042228671735,1.02323232847272,0.461508423300122,0.787008071135269,0.576214279853334,0.608765540097048
"Arg2",0.00696926088546967,0.460945886282692,0.626463228120544,0.105707106496498,0.116349373557455,0.0167907965221078,0.00696926088546967,1,0.286099732191263,0.0331007141680169,0.0231787302053023,0.0025673344022837,0.00672043958035783,0.476875380321583,0.294802732311881,0.0800354791695022,0.150198684407135,0.033391245745611,0.00672043958035783,0.295730675665131,0.295485483704092,0.0689402688975295,0,0.00718323341598978
"Arid5a",0.132321880457296,0.356962833364585,1,0.400410340190927,0.15852813735112,0.188447695270736,0.132321880457296,0.636339190138447,0.891183407185484,0.202962440380207,0.142326638024554,0.0265087835723348,0.277579205688861,0.401928799759392,1.01200167581745,0.674798434274179,0.610053322543714,0.577128969065222,0.277579205688861,0.789551586769223,0.947763048351397,0.450871049963596,0.305947047039996,0.356314168166575
"Atf3",0.141555087819785,1,0.769587174765541,0.0638310762258176,0.052142617199556,0.0151484751392832,0.141555087819785,0.579057067660113,0.29019665039201,0.085003947607997,0.0763197832614579,0.00147395904012113,0.124119970196726,0.503298455660993,0.471888078321378,0.0626139057468071,0.0736839432275852,0.02190925163864,0.124119970196726,0.801908482548736,0.176422448073404,0.0361545652831401,0.0669001403026807,0.0178591495673668
"Atp2b4",0.109561206635532,0.112104478572201,0.331787465658611,1,0.672666114953045,0.241260436949362,0.109561206635532,0.388653128146716,0.881966314342465,0.533222121603917,0.212737346643014,0.0339535646859538,0.0856969357898931,0.0854026864988733,0.359198358054795,1.37546829240441,1.25782779152044,0.190896225779408,0.0856969357898931,0.274631785625291,0.941940978581848,0.930062953159059,0.437844585513607,0.163063804251946
"B4galt5",0.579978481381358,0.674110633781145,0.576723826636235,1,0.467652081749695,0.202556527096711,0.579978481381358,0.781283296042596,0.377007071973315,0.794398249700582,0.38763016153702,0.0162308720109553,0.718817361044694,0.682322859307951,0.571523122093032,1.89627844672491,1.10891757887467,0.396354489557358,0.718817361044694,0.791535614328331,0.745455187418845,1.68170111030544,0.654744452294766,0.227403806823976
"Bahcc1",0.436306493994826,0.372161820335026,0.464568847905222,1,0.698263073903876,0.507682268863857,0.436306493994826,0.475402111541183,0.707262775760865,0.635624561248861,0.604149260314151,0.0814304328393813,0.464813193542609,0.426480105139737,0.437961358681703,1.10987436631818,0.943648865946322,0.501092823825501,0.464813193542609,0.56387256945403,0.750512653290128,1.12208217728401,0.515604915174787,0.575600110453959
