"","ctrl.tlsp","ko.tlsp"
"Egr4",0.0142090394586577,0.336343877429316
"Fosb",-0.297766013545319,-0.238637901617376
"ENSMUSG00000090582",0.251994658868252,-0.374290701040222
"Fos",-0.267370022527183,-0.375183126494868
"Rgs1",-0.84173598236742,-0.901065750952422
"Atf3",-0.43649579714189,-0.0228237967010257
"Egr1",-0.225574337890873,-0.261218996184178
"Nr4a1",-0.192718443260931,-0.16700207754086
"Zfp36",-0.219164433254291,-0.333285057239788
"Egr2",-0.32668029866184,-0.127115668227152
"Ppp1r15a",-0.520236046136841,-0.531197564692155
"Frat2",-0.547384597874137,-0.00631496269395633
"Egr3",0.169785317607186,0.232436214245229
"Dusp1",-0.526536855059926,-0.536919686212092
"Ier2",-0.378057063774413,-0.402226195290545
"Tnfsf9",-0.598303662622658,-0.711489460450306
"Btg2",-0.225839491986003,-0.119136260821554
"Arc",-0.14824116790117,0.805322353884977
"Gdf15",-0.317452832742134,-0.279591999531657
"Jun",-0.391812128653884,0.0126008447589198
"Ier3",-0.279936168741172,-0.846298289879741
"Junb",-0.466326299658683,-0.458305991558112
"Dusp8",-0.10033587845293,0.241244956345818
"Cxcl1",-0.160022156390377,-0.475663476800116
"Nfkbiz",-0.52741442657979,-0.298799575785633
"Cxcl2",-0.480494810906192,-0.881562719554643
"Pcdh10",0.655003756435429,0.295918267615692
"Ifrd1",0.105697348801452,0.17520152935215
"Zbtb10",0.0418888707576946,0.146494893217576
"ENSMUSG00000089726",-0.721637355827326,-0.112331581002211
"Slc25a25",0.0635937435815014,0.0410745726449403
"Zswim4",-0.0183597755483681,0.127142406227464
"Stk17b",0.124892489815906,0.329575416060618
"Creb5",0.0869126801520476,0.333981485931101
"Hivep1",0.184957896243562,0.230128315352992
"4930523C07Rik",-0.0352606359205261,-0.00326102423084858
"Itpkc",0.398361087835324,0.401322256439027
"Arg2",0.00979427788703608,-0.385319256987888
"Fgf7",0.00603045063693062,0.00585794023315712
"Nfil3",-0.297702784246914,0.0696812665488354
"Fas",0.260756774552001,0.129629461807692
"Tnfrsf11b",-0.294935604298559,-0.242215910750534
"Arid5a",-0.106781275002416,-0.276083658033669
"Trib1",-0.770498140047064,-0.422805491697643
"Rasgef1a",-0.0248171492985132,0.273116250162104
"Klf10",-0.0232797611976746,0.0788932186025129
"Irf1",0.235627581484217,0.144823333657996
"Tnfaip3",-0.053976434016858,-0.187787849462244
"Nr4a3",0.0866389886244873,-0.152533691095636
"Rel",-0.215456105972706,-0.0150903993985517
"Klf5",-0.341357346722043,-0.266626311807368
"Gadd45b",-0.28786266805843,-0.245791725346487
"Pim1",-0.445041296756192,-0.496791778432416
"ENSMUSG00000097418",-0.706992174813299,-0.481154982170243
"Zc3h12c",-0.622058691262656,-0.74640681411066
"Nfatc1",0.494984420872342,0.423182787340046
"Cxcl10",-0.229413390027313,-0.414606882142446
"Zc3h12a",-0.405613537315121,-0.603927784958702
"Rnd1",0.168629639104207,-0.126064697806404
"Stx11",0.247027195779795,0.267421568496498
"Bcl3",-0.174855390236138,-0.296700846610005
