Status	filtered.alpha-0.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.alpha-L0-5.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.alpha-L1.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.alpha-L2.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.alpha-L4.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.alpha-L8.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.alpha-T0-5.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.alpha-T1.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.alpha-T2.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.alpha-T4.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.alpha-T8.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.ifnar-0.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.ifnar-L0-5.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.ifnar-L1.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.ifnar-L2.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.ifnar-L4.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.ifnar-L8.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.ifnar-T0-5.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.ifnar-T1.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.ifnar-T2.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.ifnar-T4.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam	filtered.ifnar-T8.fastq.trim.fastq.gzAligned.sortedByCoord.out.bam
Assigned	12640765	12783403	16442397	14890444	13386011	15070934	12594636	8905454	9713781	7660131	2062698	18699605	13846996	11584290	11809768	13550241	14089256	16966461	15493624	22396676	10385615	17869403
Unassigned_Ambiguity	327794	321919	409767	372314	357071	400113	325489	225741	240108	205792	61870	478352	351688	291582	291443	357243	372284	442339	381363	569675	290441	476174
Unassigned_MultiMapping	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NoFeatures	846227	837635	1120065	1068541	1269785	1036050	832710	639977	662768	694173	306245	1299013	940802	840915	887586	1131508	973041	1197594	1115951	1570048	895839	1278941
Unassigned_Unmapped	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MappingQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_FragmentLength	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Secondary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Nonjunction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Duplicate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
