"time","caRNA","sti","geno","gene"
0,0.240825857395629,"lps","wt","Zswim4"
0.0833333333333333,0.241161289141004,"lps","wt","Zswim4"
0.166666666666667,0.24391517461698,"lps","wt","Zswim4"
0.25,0.252704816653121,"lps","wt","Zswim4"
0.333333333333333,0.271661489147539,"lps","wt","Zswim4"
0.416666666666667,0.304532861226678,"lps","wt","Zswim4"
0.5,0.353884394680491,"lps","wt","Zswim4"
0.583333333333333,0.413309729837942,"lps","wt","Zswim4"
0.666666666666667,0.477121806939298,"lps","wt","Zswim4"
0.75,0.546159259133801,"lps","wt","Zswim4"
0.833333333333333,0.619926329373911,"lps","wt","Zswim4"
0.916666666666667,0.697198295423545,"lps","wt","Zswim4"
1,0.776421732780656,"lps","wt","Zswim4"
1.08333333333333,0.84165589162054,"lps","wt","Zswim4"
1.16666666666667,0.887642214754502,"lps","wt","Zswim4"
1.25,0.923438968545516,"lps","wt","Zswim4"
1.33333333333333,0.953763729168528,"lps","wt","Zswim4"
1.41666666666667,0.981067270276264,"lps","wt","Zswim4"
1.5,1.00661700295463,"lps","wt","Zswim4"
1.58333333333333,1.0223872233497,"lps","wt","Zswim4"
1.66666666666667,1.02597046908857,"lps","wt","Zswim4"
1.75,1.02315137682831,"lps","wt","Zswim4"
1.83333333333333,1.01695433560014,"lps","wt","Zswim4"
1.91666666666667,1.00896124570543,"lps","wt","Zswim4"
2,1,"lps","wt","Zswim4"
2.08333333333333,0.989902565557429,"lps","wt","Zswim4"
2.16666666666667,0.978689494842542,"lps","wt","Zswim4"
2.25,0.966854686511351,"lps","wt","Zswim4"
2.33333333333333,0.954658464902781,"lps","wt","Zswim4"
2.41666666666667,0.942239190688974,"lps","wt","Zswim4"
2.5,0.929671579405654,"lps","wt","Zswim4"
2.58333333333333,0.91699718686323,"lps","wt","Zswim4"
2.66666666666667,0.904240344932401,"lps","wt","Zswim4"
2.75,0.891416490017944,"lps","wt","Zswim4"
2.83333333333333,0.878536516562,"lps","wt","Zswim4"
2.91666666666667,0.865609050498377,"lps","wt","Zswim4"
3,0.852641635386217,"lps","wt","Zswim4"
3.08333333333333,0.839641349966674,"lps","wt","Zswim4"
3.16666666666667,0.826615127924311,"lps","wt","Zswim4"
3.25,0.813569921526782,"lps","wt","Zswim4"
3.33333333333333,0.800512783193762,"lps","wt","Zswim4"
3.41666666666667,0.787450903699196,"lps","wt","Zswim4"
3.5,0.774391627236284,"lps","wt","Zswim4"
3.58333333333333,0.761342453919721,"lps","wt","Zswim4"
3.66666666666667,0.748311035255645,"lps","wt","Zswim4"
3.75,0.735305165475908,"lps","wt","Zswim4"
3.83333333333333,0.722332770259608,"lps","wt","Zswim4"
3.91666666666667,0.709401893649974,"lps","wt","Zswim4"
4,0.696520683470519,"lps","wt","Zswim4"
4.08333333333333,0.683560276175926,"lps","wt","Zswim4"
4.16666666666667,0.670486149908319,"lps","wt","Zswim4"
4.25,0.657396145235609,"lps","wt","Zswim4"
4.33333333333333,0.644345948506671,"lps","wt","Zswim4"
4.41666666666667,0.631369207370296,"lps","wt","Zswim4"
4.5,0.618488033985065,"lps","wt","Zswim4"
4.58333333333333,0.605718483619788,"lps","wt","Zswim4"
4.66666666666667,0.593073405532179,"lps","wt","Zswim4"
4.75,0.580563921638223,"lps","wt","Zswim4"
4.83333333333333,0.568200186612851,"lps","wt","Zswim4"
4.91666666666667,0.55599177241365,"lps","wt","Zswim4"
5,0.543947856789733,"lps","wt","Zswim4"
5.08333333333333,0.532077309302646,"lps","wt","Zswim4"
5.16666666666667,0.520388723929781,"lps","wt","Zswim4"
5.25,0.508890423969349,"lps","wt","Zswim4"
