"","r2","n","delta","gene"
"Zswim4",0.639324427089812,3,0.0472767148886124,"Zswim4"
"Rasgef1a",0.338550484096209,3,0.249753426399542,"Rasgef1a"
"Irf1",0.534150615538393,3,0.0427846073848102,"Irf1"
"Tnfaip3",0.680171787699735,1,0,"Tnfaip3"
"Rel",0.757111037117663,3,0.0784634328336953,"Rel"
"Pim1",0.336121167683537,6,0.341062501889856,"Pim1"
"Mir155hg",0.722904607512434,3,0.136180976445617,"Mir155hg"
"Zc3h12c",0.269565208023599,2,0.174334030217498,"Zc3h12c"
"Cxcl10",0.665563304863871,1,0,"Cxcl10"
"Zc3h12a",0.439829755167361,6,0.141421953179904,"Zc3h12a"
"Stx11",0.665241921502905,2,0.0422547321490154,"Stx11"
"Bcl3",0.618210392942116,2,0.0434121637298717,"Bcl3"
"Cgn",0.789009727226478,6,0.0685842810985545,"Cgn"
"Pdgfb",0.0125038638382368,5,0.515960790454424,"Pdgfb"
"Gm8773",0.169072916444136,2,0.0481184906121467,"Gm8773"
"Csf1",0.678795505692581,2,0.00838175140720776,"Csf1"
"Sik1",0.654276019663526,1,0,"Sik1"
"Ccl1",0.699413199714686,5,0.0877669277127371,"Ccl1"
"Zbtb46",0.53095278610987,3,0.07926081099533,"Zbtb46"
"Ccl2",0.641025913021579,6,0.0501805612347347,"Ccl2"
"Wnt11",0.378427574557044,4,0.183485271185736,"Wnt11"
"Tjp2",0.581640472627628,4,0.0682477139336435,"Tjp2"
"Ccl7",0.460909224848576,3,0.0396147705781316,"Ccl7"
"Birc3",0.802410439154811,1,0,"Birc3"
"Bdkrb2",0.205105394648256,1,0,"Bdkrb2"
"Icam1",0.759503138686989,3,0.0174899793795628,"Icam1"
"Nfkb2",0.623909851983526,1,0,"Nfkb2"
"Nfkbie",0.753812365309661,2,0.0026680518161748,"Nfkbie"
"Rab11fip1",0.584717130041668,3,0.163144326388427,"Rab11fip1"
"Relb",0.781266398513756,2,0.0620688670810133,"Relb"
"Rhof",0.285967772847918,6,0.0962054814573877,"Rhof"
"Ripk2",0.684249550059561,2,0.0360454548088043,"Ripk2"
"Trim47",0.480219866519255,6,0.0723792415894728,"Trim47"
"Vcam1",0.592804836022831,2,0.0678015000960611,"Vcam1"
"Slco2a1",0.549506925271908,3,0.12014780519115,"Slco2a1"
"Gbp2",0.685708145702483,3,0.058461711153404,"Gbp2"
"Il34",0.818596439152122,2,0.0426766071989447,"Il34"
"Slc7a2",0.731848242839904,3,0.139884700502854,"Slc7a2"
"Sod2",0.404907516303325,2,0.0303893624561762,"Sod2"
"Tnip1",0.832168567524018,6,0.0458304330069841,"Tnip1"
"Ch25h",0.500730397808584,6,0.100657314305517,"Ch25h"
"Cx3cl1",0.724402475379982,3,0.121836980773577,"Cx3cl1"
"Gch1",0.819077588350387,2,0.00590649812165822,"Gch1"
"Serpina3g",0.823778710554577,6,0.0274621609236486,"Serpina3g"
"B4galt5",0.101803114974138,5,0.154495321008757,"B4galt5"
"Rab20",-0.17629114124565,1,0,"Rab20"
"Slfn2",-0.36955144295312,1,0,"Slfn2"
"Nos2",0.859476884840925,6,0.257163668736718,"Nos2"
"Irg1",0.754090323832376,6,0.194218147059775,"Irg1"
"Tnfaip2",0.809149841464677,1,0,"Tnfaip2"
"Tnfsf11",0.716596089654482,5,0.205538548690536,"Tnfsf11"
"Slco3a1",0.736129581609503,4,0.149331302345494,"Slco3a1"
"Adtrp",0.639766790358187,2,0.042440273003422,"Adtrp"
"Gsap",0.724414923253417,2,0.0377530550271267,"Gsap"
"Il1rl1",0.676075124001518,2,0.133075160415239,"Il1rl1"
"Exoc3l4",0.506650325552067,6,0.17961540521904,"Exoc3l4"
"Mmp9",0.781361742821827,6,0.048709929995927,"Mmp9"
"Acpp",0.678141460184971,2,0.0135293137573804,"Acpp"
"Pilra",0.47133287445237,2,0.0286461580679829,"Pilra"
"Mmp3",0.466870084204173,1,0,"Mmp3"
"Rbfox1",0.575707036995471,6,0.247664373498705,"Rbfox1"
"U90926",0.0528547534888856,6,0.565920959014881,"U90926"
"Tmem132e",0.75334647925822,2,0.0240499622964326,"Tmem132e"
"Fpr2",0.0406686649806688,6,0.152583121125883,"Fpr2"
"Kcnn3",0.859646376085474,4,0.11895892997975,"Kcnn3"
"Ptges",0.46008752322452,1,0,"Ptges"
"Fpr1",0.622910543206125,4,0.0810576416070101,"Fpr1"
"Ccl5",0.834049489373269,3,0.0837229998098322,"Ccl5"
"Lcn2",0.790117906016226,5,0.156483606933247,"Lcn2"
