"","r2","gene"
"Zswim4",0.740656415105087,"Zswim4"
"Rasgef1a",0.457158914449377,"Rasgef1a"
"Irf1",0.400973539306129,"Irf1"
"Tnfaip3",0.697398270153121,"Tnfaip3"
"Rel",0.57162911317732,"Rel"
"Pim1",0.793099967363524,"Pim1"
"Mir155hg",0.70276480318158,"Mir155hg"
"Zc3h12c",0.386501948423573,"Zc3h12c"
"Cxcl10",0.638478114103691,"Cxcl10"
"Zc3h12a",0.576644865604538,"Zc3h12a"
"Stx11",0.709963036393951,"Stx11"
"Bcl3",0.856804457162165,"Bcl3"
"Cgn",0.0572812565008944,"Cgn"
"Pdgfb",0.338118572140394,"Pdgfb"
"Gm8773",0.511789797434171,"Gm8773"
"Csf1",0.521290789381458,"Csf1"
"Sik1",0.369928618489056,"Sik1"
"Ccl1",0.816398400299554,"Ccl1"
"Zbtb46",0.609648674373764,"Zbtb46"
"Ccl2",0.532351339819595,"Ccl2"
"Wnt11",0.594038319623193,"Wnt11"
"Tjp2",0.672421116938421,"Tjp2"
"Ccl7",0.536842565888722,"Ccl7"
"Birc3",0.732516552403978,"Birc3"
"Bdkrb2",0.176988559034494,"Bdkrb2"
"Icam1",0.568436239959678,"Icam1"
"Nfkb2",0.452868975274386,"Nfkb2"
"Nfkbie",0.71644814344295,"Nfkbie"
"Rab11fip1",0.758079725858552,"Rab11fip1"
"Relb",0.827127007826888,"Relb"
"Rhof",-1.08738365445297,"Rhof"
"Ripk2",0.694038367359671,"Ripk2"
"Trim47",0.458848008272307,"Trim47"
"Vcam1",0.487527977817356,"Vcam1"
"Slco2a1",0.614330829854315,"Slco2a1"
"Gbp2",0.747035264286704,"Gbp2"
"Il34",0.86718595692771,"Il34"
"Slc7a2",0.674519135629615,"Slc7a2"
"Sod2",0.402280082529951,"Sod2"
"Tnip1",0.861655066371421,"Tnip1"
"Ch25h",0.14272320953271,"Ch25h"
"Cx3cl1",0.5098735983943,"Cx3cl1"
"Gch1",0.860426889337271,"Gch1"
"Serpina3g",0.47498724970399,"Serpina3g"
"B4galt5",0.219773459709006,"B4galt5"
"Rab20",0.662271463294086,"Rab20"
"Slfn2",0.755045362455252,"Slfn2"
"Nos2",0.899041398843467,"Nos2"
"Irg1",0.93807391907125,"Irg1"
"Tnfaip2",0.46923630439416,"Tnfaip2"
"Tnfsf11",0.874714453141189,"Tnfsf11"
"Slco3a1",0.800000054383476,"Slco3a1"
"Adtrp",0.775096819231934,"Adtrp"
"Gsap",0.819882837139827,"Gsap"
"Il1rl1",0.700230635324175,"Il1rl1"
"Exoc3l4",-0.325423182827515,"Exoc3l4"
"Mmp9",0.72911073936712,"Mmp9"
"Acpp",0.919055844652054,"Acpp"
"Pilra",0.560708712253424,"Pilra"
"Mmp3",0.596259295137675,"Mmp3"
"Rbfox1",0.907957807734754,"Rbfox1"
"U90926",0.86621775712141,"U90926"
"Tmem132e",0.564910990714485,"Tmem132e"
"Fpr2",-0.0849933941314569,"Fpr2"
"Kcnn3",0.903229795309842,"Kcnn3"
"Ptges",0.24889480047478,"Ptges"
"Fpr1",0.917353480998886,"Fpr1"
"Ccl5",0.871969228627769,"Ccl5"
"Lcn2",0.980810845184074,"Lcn2"
