"time","mRNA","sti","geno","gene"
0,0.872686175163177,"lps","wt","Gdf15"
0.0833333333333333,0.874128568942791,"lps","wt","Gdf15"
0.166666666666667,0.877955454332353,"lps","wt","Gdf15"
0.25,0.883476748476235,"lps","wt","Gdf15"
0.333333333333333,0.89006958777812,"lps","wt","Gdf15"
0.416666666666667,0.897175448007803,"lps","wt","Gdf15"
0.5,0.904296293035355,"lps","wt","Gdf15"
0.583333333333333,0.910896363898402,"lps","wt","Gdf15"
0.666666666666667,0.916192294404164,"lps","wt","Gdf15"
0.75,0.919562661630867,"lps","wt","Gdf15"
0.833333333333333,0.920646071993109,"lps","wt","Gdf15"
0.916666666666667,0.919325596305716,"lps","wt","Gdf15"
1,0.915714136481807,"lps","wt","Gdf15"
1.08333333333333,0.909943904947211,"lps","wt","Gdf15"
1.16666666666667,0.901569808188982,"lps","wt","Gdf15"
1.25,0.89015861182062,"lps","wt","Gdf15"
1.33333333333333,0.875474830722321,"lps","wt","Gdf15"
1.41666666666667,0.857468892026181,"lps","wt","Gdf15"
1.5,0.836266006665383,"lps","wt","Gdf15"
1.58333333333333,0.81215570705709,"lps","wt","Gdf15"
1.66666666666667,0.785582011045208,"lps","wt","Gdf15"
1.75,0.757134174615956,"lps","wt","Gdf15"
1.83333333333333,0.727537998143114,"lps","wt","Gdf15"
1.91666666666667,0.697647653029441,"lps","wt","Gdf15"
2,0.668437997593816,"lps","wt","Gdf15"
2.08333333333333,0.640856907515124,"lps","wt","Gdf15"
2.16666666666667,0.615344075158966,"lps","wt","Gdf15"
2.25,0.592157405366144,"lps","wt","Gdf15"
2.33333333333333,0.571502994217756,"lps","wt","Gdf15"
2.41666666666667,0.553538230224761,"lps","wt","Gdf15"
2.5,0.538374709895905,"lps","wt","Gdf15"
2.58333333333333,0.526080978783768,"lps","wt","Gdf15"
2.66666666666667,0.516685108455587,"lps","wt","Gdf15"
2.75,0.510177119210159,"lps","wt","Gdf15"
2.83333333333333,0.506511257774249,"lps","wt","Gdf15"
2.91666666666667,0.505608138659241,"lps","wt","Gdf15"
3,0.507356757339134,"lps","wt","Gdf15"
3.08333333333333,0.511616382922478,"lps","wt","Gdf15"
3.16666666666667,0.518218337531585,"lps","wt","Gdf15"
3.25,0.526967669170552,"lps","wt","Gdf15"
3.33333333333333,0.537644724457717,"lps","wt","Gdf15"
3.41666666666667,0.550006627216515,"lps","wt","Gdf15"
3.5,0.563788668559935,"lps","wt","Gdf15"
3.58333333333333,0.578705613766431,"lps","wt","Gdf15"
3.66666666666667,0.59445293092805,"lps","wt","Gdf15"
3.75,0.610707946053374,"lps","wt","Gdf15"
3.83333333333333,0.627130929027602,"lps","wt","Gdf15"
3.91666666666667,0.643366114568554,"lps","wt","Gdf15"
4,0.659042662069787,"lps","wt","Gdf15"
4.08333333333333,0.673850927134609,"lps","wt","Gdf15"
4.16666666666667,0.687772226336243,"lps","wt","Gdf15"
4.25,0.700858210860463,"lps","wt","Gdf15"
4.33333333333333,0.713156482485128,"lps","wt","Gdf15"
4.41666666666667,0.72471083597847,"lps","wt","Gdf15"
4.5,0.735561486981431,"lps","wt","Gdf15"
4.58333333333333,0.745745286249282,"lps","wt","Gdf15"
4.66666666666667,0.75529592106904,"lps","wt","Gdf15"
4.75,0.764244104620308,"lps","wt","Gdf15"
4.83333333333333,0.772617754001241,"lps","wt","Gdf15"
4.91666666666667,0.780442157598121,"lps","wt","Gdf15"
5,0.787740132436425,"lps","wt","Gdf15"
5.08333333333333,0.794532172113069,"lps","wt","Gdf15"
5.16666666666667,0.800836585873636,"lps","wt","Gdf15"
5.25,0.806669629364633,"lps","wt","Gdf15"
