"","I_L_0","I_L_0.5","I_L_1","I_L_2","I_L_4","I_L_8","I_T_0","I_T_0.5","I_T_1","I_T_2","I_T_4","I_T_8","D_L_0","D_L_0.5","D_L_1","D_L_2","D_L_4","D_L_8","D_T_0","D_T_0.5","D_T_1","D_T_2","D_T_4","D_T_8"
"Egr4",0.0165881639771391,0.104952377803966,1,0.0143107673679125,0,0,0.0165881639771391,0.462490002212701,0.476461038994757,0.206718482246702,0,0,0,0.158639150926469,0.749361184676784,0.0651796128065919,0.138625990659561,0,0,1,0.459866267792461,0.178605359081812,0.133821746800091,0
"Fosb",0.0114681504272571,0.0199042341247495,1,0.0430836835229418,0.0144537974050384,0.0125298058855715,0.0114681504272571,0.070740478773308,0.426382043029535,0.0427535877843211,0.0201284529014773,0.00273689064138798,0.0388593515428118,0.0352595148312287,1,0.0695391568159161,0.0263639634178363,0.0211018651120086,0.0388593515428118,0.220521794268584,0.401919574706252,0.0486386008363605,0.0619567748069732,0.00907900374649624
"Gm17024",0.192899391998265,0.29808917983573,0.737759604625833,0.110583206539041,0.194851763866831,0.346940775587757,0.192899391998265,0.919403603711662,1,0.0896257789414694,0.103825536547392,0.0811317629948801,0.167396660287725,0.424798571462914,1,0.105984493436418,0.1836717203605,0.464272791922721,0.167396660287725,0.59592994004288,0.422106687729119,0.153356788622786,0.154546036061725,0.268944790617074
"Fos",0.0937671876160459,0.259154683343923,1,0.049928147978357,0.0322563913225991,0.0428995367625469,0.0937671876160459,0.335657336785286,0.393692956446893,0.0715265163537681,0.125655850574065,0.0106590158897286,0.254516924364912,0.336565362993745,1,0.124599725655383,0.105627370236685,0.188238511529505,0.254516924364912,0.370165701019444,0.262361048705652,0.116147552122402,0.298821620088765,0.167534449137869
"Rgs1",0.187502964885893,1,0.92814540650797,0.268217676461789,0.024930390286123,0.010110052886337,0.187502964885893,0.288269682794294,0.067386737440366,0.0864743049668688,0.0474749393345443,0.00541044035191476,0.131048544833705,0.842330115999215,1,0.296398862907797,0.0640417233268802,0.0241540684659373,0.131048544833705,0.186207606399221,0.0564706849215493,0.0794450875972265,0.045805499404509,0.100354831354517
"Atf3",0.141555087819785,1,0.769587174765541,0.0638310762258176,0.052142617199556,0.0151484751392832,0.141555087819785,0.579057067660113,0.29019665039201,0.085003947607997,0.0763197832614579,0.00147395904012113,0.154780717373422,0.627625803459942,0.588456274737933,0.0780811116348326,0.0918857261534293,0.0273213865614752,0.154780717373422,1,0.220003219709902,0.0450856501333278,0.083426153680342,0.0222708076495268
"Egr1",0.115655486310285,0.528652715056536,1,0.127742014626835,0.0879764056539418,0.239954023657503,0.115655486310285,0.774327659777856,0.558281427873896,0.0913519448168291,0.096375614332557,0.0289751229811332,0.294913768819246,0.613241140338523,1,0.142175680342966,0.284870087474793,0.346185991885164,0.294913768819246,0.768691370249328,0.433856892998405,0.122701132850618,0.279927221345754,0.375575443134028
"Nr4a1",0.0300609698708936,0.223343552776903,1,0.086597541969486,0.0251081876598069,0.0335227408282853,0.0300609698708936,0.407849585103858,0.50189672962761,0.0699240242804265,0.0372894675414975,0.00563823724749319,0.0756072057170047,0.186029151215563,1,0.0857048423856859,0.0605561618872126,0.0304089587848362,0.0756072057170047,0.482612910448928,0.375269777189778,0.060049113940419,0.0704158276571271,0.0895730282921241
"Zfp36",0.0591675334910566,0.276228923405416,1,0.183316428670351,0.0764529273244231,0.067518582519784,0.0591675334910566,0.630615864440066,0.407023234574018,0.0986555540638925,0.0593441514661023,0.0137649042412998,0.102667814166379,0.3477419803001,1,0.36280817045017,0.325438745770058,0.187876410551408,0.102667814166379,0.716999345848733,0.46182195208746,0.261242730830283,0.140194912471292,0.092093640195043
"Egr2",0.0602442491182748,0.386468566934056,1,0.155474390436898,0.0429424272819958,0.241377237786902,0.0602442491182748,0.620560969304835,0.424438035897649,0.123773148033455,0.0487224841158424,0.0246045935812752,0.219669552206152,0.593495297689807,1,0.193815569629387,0.2887826587878,0.396490857099531,0.219669552206152,0.894810016263812,0.541583941210277,0.145099044134869,0.290817237286946,0.388547558999223
