"","r2","gene","kt","k_deg","tau"
"Gdf15",-1.48086559189519,"Gdf15",1.36673533570781,0.0123450021207324,1e-05
"Zbtb10",0.435112767865239,"Zbtb10",1.28843572587841,0.0121746436505966,22.7671819775341
"Itpkc",0.672592237877553,"Itpkc",1.42472897529549,0.0193273996822799,41.9950772606879
"Klf10",0.59112834798266,"Klf10",1.21755873573202,0.0313043937562026,28.2733458166222
"Irf1",0.454771002416198,"Irf1",1.28998248141696,0.0188867125831999,16.2095143069495
"Rel",0.556392969647215,"Rel",1.57485107692522,0.0193273996822799,40.6853495093859
"Gadd45b",0.774507606735157,"Gadd45b",1.13413006670754,0.0219042401477075,13.5357138215964
"ENSMUSG00000097418",0.160819590468796,"ENSMUSG00000097418",1.15792908577007,0.00630865141970549,1.00007890168355e-05
"Zc3h12c",0.336679753557041,"Zc3h12c",1.22412243395494,0.00921004990919246,41.0403594400445
"Cxcl10",0.272209844146595,"Cxcl10",1.3558853586508,0.00676885221965734,5.87440943600935
"Zc3h12a",0.277667505425277,"Zc3h12a",1.26655780171143,0.00959062532522731,0.000200865491838548
"Cgn",0.0947152723176743,"Cgn",1.25958502147029,0.00686104876899526,9.92634455160028
"Sik1",0.379562005607623,"Sik1",1.27806162385965,0.027988306712005,9.71544011411758
"Ccl1",0.828495193340374,"Ccl1",1.26304353339719,0.00734413090937427,33.6097471513263
"Wnt11",0.575253376640644,"Wnt11",1.27746473814543,0.0234989251151331,42.9557809518248
"Nfkbie",0.694926380572327,"Nfkbie",1.21855315573011,0.00831703215621954,16.9634786506313
"Rab11fip1",0.754475399770021,"Rab11fip1",1.31043608650065,0.0139201514210687,22.5780534823641
"Ripk2",0.713078636458149,"Ripk2",1.22925577155774,0.00777941262900779,8.30028066960046
"Rffl",0.802104729539383,"Rffl",1.269966488558,0.00979432094210448,35.9740159427424
"Mt2",0.500211387227632,"Mt2",1.4241656539167,0.00389392451063973,98.0002143317343
"Ch25h",0.0739919170875386,"Ch25h",1.43881947097105,0.0355589053013963,1.08732031926594e-05
"Ikbke",0.594980116187924,"Ikbke",1.26086023002913,0.00540813156616554,1e-05
"B4galt5",0.20891455797178,"B4galt5",1.28327243477417,0.00676885221965734,18.8406501715213
"Gda",-0.648734510127041,"Gda",1.25893394785658,0.00415058564051217,1e-05
"Il1r1",0.430271096148104,"Il1r1",1.25415781187552,0.0078423152800566,59.2994436473719
"Jak2",0.608938310830876,"Jak2",1.25515468838085,0.00681459201591358,2.96501255198534
"Rab20",0.634023428999889,"Rab20",1.11253264215726,0.0173178578999385,94.6749039814528
"Sdc4",0.535862874734969,"Sdc4",1.20528894162327,0.00244226558697214,53.0003567189526
"St3gal1",0.433590403666522,"St3gal1",1.27245400613831,0.00690823950621921,19.3457515588578
"Csf3",-0.19807553508489,"Csf3",1.76781869117064,0.0113939749635052,1e-05
"Nos2",0.878934542197355,"Nos2",1.25729961054901,0.0663116139877409,34.9245291277408
"Hivep3",0.717293489250191,"Hivep3",1.25579248177736,0.00846482810966739,10.9003271029208
"Rsad2",0.640176756905044,"Rsad2",1.26818927415493,0.00400417544694463,1e-05
"Tmem158",0.281807968940371,"Tmem158",1.25766431611919,0.00390596492781357,3.93840947991151
"Pilra",0.702103268598271,"Pilra",1.268292020943,0.00939606978274118,62.2001311146993
"Prokr2",0.788934497041604,"Prokr2",1.26844908017794,0.00759735833868599,14.4990842746394
"Rasl12",0.650807289999026,"Rasl12",1.24714939087027,0.0220052710399781,2.78501909053899
"Ptges",0.220999390557357,"Ptges",1.25743797971524,0.00358704749138739,32.883324949456
