"","r2","nrmsd","gene"
"Acpp",0.906182743911196,0.0998518303860051,"Acpp"
"Adtrp",0.770664308821868,0.155358890420696,"Adtrp"
"Angptl4",0.0327726503908623,0.297784385332716,"Angptl4"
"B4galt5",0.208920433721138,0.437259452588017,"B4galt5"
"Bcl3",0.847408288096227,0.13933475911871,"Bcl3"
"Bdkrb2",0.281692100089758,0.318678446894261,"Bdkrb2"
"Ccl1",0.82849530183175,0.140488131920012,"Ccl1"
"Ccl2",0.486302018817683,0.252245808649261,"Ccl2"
"Ccl5",0.844591347878579,0.131525593309898,"Ccl5"
"Ccl7",0.437399740334989,0.262867180796924,"Ccl7"
"Cd274",0.31797225146611,0.291667337810055,"Cd274"
"Cebpb",-0.125953773235496,0.345957584961347,"Cebpb"
"Cgn",0.0947733990001731,0.315896539246334,"Cgn"
"Cx3cl1",0.674824087469023,0.2920495734885,"Cx3cl1"
"Cxcl10",0.272204543166759,0.296579348522646,"Cxcl10"
"Egln3",0.611530028623293,0.215685120387852,"Egln3"
"ENSMUSG00000041481",0.45180485893413,0.228381546600794,"ENSMUSG00000041481"
"ENSMUSG00000097418",0.160819590613999,0.275780432220391,"ENSMUSG00000097418"
"ENSMUSG00000097804",0.957903258202179,0.0612956437615746,"ENSMUSG00000097804"
"Exoc3l4",-0.42127331390271,0.34775160047712,"Exoc3l4"
"Flt1",0.778305109178682,0.182622310305805,"Flt1"
"Fpr1",0.933315754332615,0.0803333772847497,"Fpr1"
"Gadd45b",0.774511065288638,0.156156369689814,"Gadd45b"
"Gbp2",0.75664612988298,0.157905376686952,"Gbp2"
"Gch1",0.852552245254375,0.137732038003492,"Gch1"
"Gda",-0.648734510116941,0.407879656200294,"Gda"
"Gdf15",-1.4808655919071,0.433864324503609,"Gdf15"
"Glrx",0.0123502812156399,0.514135017911848,"Glrx"
"Gsap",0.830453263444005,0.136620635762669,"Gsap"
"Hivep3",0.717293134017158,0.342224401988866,"Hivep3"
"Icam1",0.623923568993823,0.236872121997511,"Icam1"
"Ifih1",0.605646427283702,0.193310231408198,"Ifih1"
"Ifnb1",0.805858261766273,0.120267686275205,"Ifnb1"
"Il1r1",0.430270024635204,0.361311512500437,"Il1r1"
"Il1rap",0.883067760696366,0.0972870975875812,"Il1rap"
"Il1rl1",0.867113616845409,0.203215914953971,"Il1rl1"
"Il34",0.843435947646857,0.13828888791141,"Il34"
"Irf1",0.454766305808721,0.25842008419972,"Irf1"
"Irg1",0.921331396760059,0.100676847974652,"Irg1"
"Itgal",0.899362129764649,0.107523622324482,"Itgal"
"Itpkc",0.672693477847513,0.172115892507567,"Itpkc"
"Jak2",0.608941520250272,0.215190174050769,"Jak2"
"Kcnk10",0.671282632796301,0.185572367695964,"Kcnk10"
"Kcnn3",0.886673696055184,0.119565133131901,"Kcnn3"
"Klf10",0.591132287356723,0.329236068399172,"Klf10"
"Lcn2",0.978526909383285,0.0492695499105021,"Lcn2"
"Mmp1b",0.74499481921675,0.175192745544395,"Mmp1b"
"Mmp3",0.602506413003841,0.267096392850233,"Mmp3"
"Mmp9",0.672517344679486,0.177909427592184,"Mmp9"
"Nfkb1",0.754373546414648,0.214382363641636,"Nfkb1"
"Nfkb2",0.393157606704133,0.299027132385423,"Nfkb2"
"Nfkbie",0.695015433710713,0.225152869696228,"Nfkbie"
"Oasl1",0.453442850228935,0.202686191998725,"Oasl1"
"Pdgfb",0.35833605744699,0.426904658516319,"Pdgfb"
"Pilra",0.70210379789782,0.14763983527071,"Pilra"
"Pim1",0.774801304716547,0.188700267742983,"Pim1"
"Ptger2",0.725152535170522,0.197112291209777,"Ptger2"
"Ptges",0.221314324950513,0.289335138974608,"Ptges"
"Rab11fip1",0.75447550819753,0.166587062676028,"Rab11fip1"
"Rab15",0.746280243023866,0.191781032660395,"Rab15"
"Rab20",0.653339591094419,0.202814413275281,"Rab20"
"Rbfox1",0.910623822906617,0.0939053408797134,"Rbfox1"
"Rel",0.556439655156755,0.240500447474792,"Rel"
"Rhof",-1.23332531282525,0.426436313679449,"Rhof"
"Ripk2",0.713078292069364,0.214133728510933,"Ripk2"
"Rsad2",0.640176756898623,0.183685428783366,"Rsad2"
"Sdc4",0.535863242381829,0.342577559581755,"Sdc4"
"Sik1",0.379550384984998,0.319868495803323,"Sik1"
"Slc39a4",0.51327326886051,0.198421615448582,"Slc39a4"
"Slc6a12",0.22498741830022,0.471397798326865,"Slc6a12"
"Slc7a2",0.675439366509041,0.188913150500152,"Slc7a2"
"Slco2a1",0.606474327836688,0.32978478595981,"Slco2a1"
"Slco3a1",0.86155827284023,0.11025128769667,"Slco3a1"
"Slfn2",0.787185276977754,0.188311248841225,"Slfn2"
"Sod2",0.332125813981244,0.244679802822184,"Sod2"
"St3gal1",0.433604117267451,0.368844862809184,"St3gal1"
"Timp1",0.832210478543265,0.197895096252259,"Timp1"
"Tmem132e",0.517591499249782,0.218732159489957,"Tmem132e"
"Tmem158",0.281809303630497,0.222578775371086,"Tmem158"
"Tnfaip2",0.46842223125747,0.250895612197539,"Tnfaip2"
"Tnfsf11",0.896164907765585,0.122809814531498,"Tnfsf11"
"Tnip1",0.832351597598102,0.1620195372396,"Tnip1"
"Trim47",0.403385117171754,0.306792887541558,"Trim47"
"U90926",0.887650770682409,0.133821062394133,"U90926"
"Wnt11",0.575138874474389,0.208056997522016,"Wnt11"
"Zbtb10",0.43507815297648,0.224889016363305,"Zbtb10"
"Zc3h12a",0.277667508437441,0.364281025693412,"Zc3h12a"
"Zc3h12c",0.336778828347941,0.260878967647276,"Zc3h12c"
