"time","mRNA","sti","geno","gene"
0,0.0581456843587459,"lps","wt","Acpp"
0.0833333333333333,0.0581456843587459,"lps","wt","Acpp"
0.166666666666667,0.0581456843587459,"lps","wt","Acpp"
0.25,0.0581456843587459,"lps","wt","Acpp"
0.333333333333333,0.0581456843587459,"lps","wt","Acpp"
0.416666666666667,0.0581456843587459,"lps","wt","Acpp"
0.5,0.0581456843587459,"lps","wt","Acpp"
0.583333333333333,0.0581456843587459,"lps","wt","Acpp"
0.666666666666667,0.0581456843587459,"lps","wt","Acpp"
0.75,0.0581456843587459,"lps","wt","Acpp"
0.833333333333333,0.0581456843587459,"lps","wt","Acpp"
0.916666666666667,0.0581456843587459,"lps","wt","Acpp"
1,0.0581456843587459,"lps","wt","Acpp"
1.08333333333333,0.0581456843587459,"lps","wt","Acpp"
1.16666666666667,0.0581456843587459,"lps","wt","Acpp"
1.25,0.0581456843587459,"lps","wt","Acpp"
1.33333333333333,0.0581456843587459,"lps","wt","Acpp"
1.41666666666667,0.0581456843587459,"lps","wt","Acpp"
1.5,0.0581456843587459,"lps","wt","Acpp"
1.58333333333333,0.0581456843587459,"lps","wt","Acpp"
1.66666666666667,0.0581520325550893,"lps","wt","Acpp"
1.75,0.0583678668495607,"lps","wt","Acpp"
1.83333333333333,0.0590513672519277,"lps","wt","Acpp"
1.91666666666667,0.0603322700691484,"lps","wt","Acpp"
2,0.0622553379393921,"lps","wt","Acpp"
2.08333333333333,0.0648011616889941,"lps","wt","Acpp"
2.16666666666667,0.0679035231241166,"lps","wt","Acpp"
2.25,0.0716191200924118,"lps","wt","Acpp"
2.33333333333333,0.0762034104471142,"lps","wt","Acpp"
2.41666666666667,0.0817997731073806,"lps","wt","Acpp"
2.5,0.0884378466730466,"lps","wt","Acpp"
2.58333333333333,0.0960613734601534,"lps","wt","Acpp"
2.66666666666667,0.104549969959113,"lps","wt","Acpp"
2.75,0.113813419545437,"lps","wt","Acpp"
2.83333333333333,0.123877880933011,"lps","wt","Acpp"
2.91666666666667,0.134767664881037,"lps","wt","Acpp"
3,0.146493857246823,"lps","wt","Acpp"
3.08333333333333,0.159057556488902,"lps","wt","Acpp"
3.16666666666667,0.172452318617848,"lps","wt","Acpp"
3.25,0.186666003614409,"lps","wt","Acpp"
3.33333333333333,0.20168216983792,"lps","wt","Acpp"
3.41666666666667,0.217481127078544,"lps","wt","Acpp"
3.5,0.234040731818587,"lps","wt","Acpp"
3.58333333333333,0.25133698781101,"lps","wt","Acpp"
3.66666666666667,0.269347585165425,"lps","wt","Acpp"
3.75,0.288342386408696,"lps","wt","Acpp"
3.83333333333333,0.308982165622016,"lps","wt","Acpp"
3.91666666666667,0.331716876313198,"lps","wt","Acpp"
4,0.356782213201227,"lps","wt","Acpp"
4.08333333333333,0.384252063531366,"lps","wt","Acpp"
4.16666666666667,0.414078118121383,"lps","wt","Acpp"
4.25,0.446119785482501,"lps","wt","Acpp"
4.33333333333333,0.480166782856917,"lps","wt","Acpp"
4.41666666666667,0.51595619688884,"lps","wt","Acpp"
4.5,0.553185367782446,"lps","wt","Acpp"
4.58333333333333,0.59152161937205,"lps","wt","Acpp"
4.66666666666667,0.630609607236417,"lps","wt","Acpp"
4.75,0.670076867968515,"lps","wt","Acpp"
4.83333333333333,0.709538009964254,"lps","wt","Acpp"
4.91666666666667,0.748597878291182,"lps","wt","Acpp"
5,0.786853944786076,"lps","wt","Acpp"
