"","I_L_0","I_L_0.5","I_L_1","I_L_2","I_L_4","I_L_8","I_T_0","I_T_0.5","I_T_1","I_T_2","I_T_4","I_T_8","D_L_0","D_L_0.5","D_L_1","D_L_2","D_L_4","D_L_8","D_T_0","D_T_0.5","D_T_1","D_T_2","D_T_4","D_T_8"
"Egr4",0.0264711517246351,0.0804170437851229,1,0.0321180055951716,0,0,0.0264711517246351,0.577543222675437,0.466643225771627,0.356143141925688,0,0,0,0.174809741394082,0.538059193870052,0.119859317755343,0.062890803955243,0,0,1,0.374894706801745,0.144943256321662,0.209738810666184,0
"Fosb",0.0142168753385472,0.0325255192162854,1,0.0721929131189842,0.0196326434598297,0.00934609609621516,0.0142168753385472,0.0973999695446822,0.481129136637956,0.0721705078518036,0.0189632549521087,0.0131084558144996,0.0318049406569928,0.036150321035475,1,0.0974518974167296,0.0253444376759074,0.0108392064422894,0.0318049406569928,0.252592541641884,0.373722356762109,0.0625098571907426,0.042261442697815,0
"Serpina3g",0.101719452805145,0.434349475935085,0.488576361570546,0.140679661390312,0.103562118018814,0.0773328332551707,0.101719452805145,1,0.525613904052047,0.0765613730113562,0.0452077407683282,0.0871797747976377,0.0746803079816671,0.376513289156483,0.550131034758162,0.105517177169234,0.0830481129152568,0.0864838279260794,0.0746803079816671,1,0.258340903725561,0.105920071927369,0.0484012639998886,0.0349170161905446
"Fos",0.130102894646611,0.395241215199221,1,0.0910389803986069,0.0403327828997447,0.0351279539739245,0.130102894646611,0.513906021040319,0.435846243771333,0.0833526502379269,0.0889566790848955,0.0421835304770658,0.26733595231763,0.432484950164593,1,0.167251973202591,0.0917928248330102,0.14098217898163,0.26733595231763,0.530748645762904,0.305158556165613,0.20380400023444,0.227071573820912,0.152890312222007
"Rgs1",0.16362794254861,1,0.546576970246827,0.258248299183802,0.0192923671992261,0.00425440296839074,0.16362794254861,0.234645531400228,0.0384974747919466,0.0628832720936153,0.0203110481079772,0.0110160983555924,0.109460713391399,1,0.735332860220264,0.297971924698746,0.0353042538803504,0.00819648073009923,0.109460713391399,0.218710896413668,0.0375803804682848,0.0929886305897319,0.0392461841511377,0.0546026331645405
"Atf3",0.194121779313991,0.984352987084061,1,0.13104790252867,0.062194639932894,0.0615284659667498,0.194121779313991,0.859801188644636,0.482431906342848,0.170596135339717,0.0803932418403123,0.0307456089144403,0.12008812307482,0.705225600555576,0.694686014003457,0.123690437500948,0.124058572185685,0.0700055892303258,0.12008812307482,1,0.328674811442625,0.0728025488373646,0.100559703744061,0.0559628889629276
"Egr1",0.13884236245867,0.694027972675663,0.894271762094958,0.20976241855744,0.0866129272649394,0.159377457001487,0.13884236245867,1,0.551253237315081,0.119679157132562,0.0829026975635622,0.111896504427765,0.285466455457446,0.669418104373599,1,0.213913391132884,0.245073985141404,0.23293529526735,0.285466455457446,0.972599424260657,0.45186700391304,0.206882601412157,0.228228501528635,0.240411811270633
"Nr4a1",0.0393125509398287,0.270859789214925,1,0.15385183619977,0.0314780614749707,0.0367704862792687,0.0393125509398287,0.557185542826866,0.611484835888698,0.119588435893147,0.0359258706345396,0.0361655375661045,0.0593114654516539,0.19274978958789,1,0.121815800493541,0.0555671289491361,0.0303487221001304,0.0593114654516539,0.489507408083607,0.413368701751861,0.0906248924939435,0.0546829937150798,0.0887595765686592
"Zfp36",0.0798188326888308,0.388785003414446,1,0.289996571193157,0.0862974440186796,0.0494677559457023,0.0798188326888308,0.928053008592383,0.458544262179879,0.134610381648597,0.0529010070585445,0.0589208797872377,0.0965277402431821,0.464414025809454,1,0.460753328883793,0.270357466787897,0.132398775622678,0.0965277402431821,0.916564670097172,0.506046212431726,0.38880677658757,0.109398193853683,0.0624427004867497
"Egr2",0.0831950482774246,0.567820916783715,1,0.272544218907599,0.0502221717458119,0.180893689942244,0.0831950482774246,0.88862737342335,0.491308653419556,0.186084791656172,0.0493490822988994,0.105149982487386,0.172152247843505,0.65707380182298,0.879866479088171,0.24293094553428,0.199312229620301,0.233520821803752,0.172152247843505,1,0.480078732579453,0.194066961842181,0.228007517792887,0.150546733123051
"Ppp1r15a",0.228064030547335,0.629275406098195,1,0.20393971936,0.141166935727925,0.238303064594573,0.228064030547335,0.744957079516581,0.415973781695826,0.177698367071604,0.220150097680719,0.173628169231575,0.45834609046656,0.74233178153113,1,0.310537007108847,0.41467409729229,0.345883693388238,0.45834609046656,0.914007517724132,0.462456166560392,0.239450327271642,0.30451820751568,0.312179117686784
"Frat2",0.281695658296274,0.28525559097867,0.967419040740857,0.273429817437835,0.300089291029228,1,0.281695658296274,0.106886772437176,0.993166992057255,0.473742028001253,0.358059313942821,0.323667575610479,0.705421724718647,0.374173632587478,0.493583713630333,0.537542408628538,1,0.125012969792743,0.705421724718647,0.333578514816744,0.802447925173669,0.236377563529472,0.641339975480013,0
"Egr3",0.060927267552642,0.176482793403731,0.523101767766206,0.254437250236702,0.0477986840934592,0.0660180062696791,0.060927267552642,1,0.362179092675381,0.156079658929464,0.030016967660691,0.0488408869393016,0.0509276421266569,0.126797203476785,0.604082512383923,0.237885924230023,0.0809214243552553,0.0361010474370331,0.0509276421266569,1,0.371240343260673,0.174308671402121,0.0370410284892114,0.0343564218939074
"Dusp1",0.148668874889252,0.594998951062717,1,0.201638405858467,0.142067979854843,0.176481648724141,0.148668874889252,0.584321036387994,0.35124703511672,0.14332589857985,0.201609055733308,0.174084228212671,0.206378371029794,0.866169750778447,1,0.266539002456767,0.515513178966484,0.326045756472073,0.206378371029794,0.746438732205259,0.480968004095488,0.232525924150914,0.442168228823408,0.245533202636914
"Ier2",0.1622187570869,0.581511547816655,1,0.220442244530648,0.0835253225004082,0.151164643405775,0.1622187570869,0.715546465782938,0.452778245990112,0.107760581592417,0.185574543463828,0.139791696140485,0.470743734229636,0.822078243312708,0.988865545490906,0.395211804490591,0.492927922892445,0.298337332698318,0.470743734229636,1,0.531945192083557,0.349953087335185,0.606541965980586,0.184022112355573
"Tnfsf9",0.0232841101282899,1,0.59267382315921,0.12629903949787,0.029181731897989,0.0364663111576349,0.0232841101282899,0.518402918209805,0.0543257048457783,0.0184273324816455,0.0261142047102564,0.0288516861694088,0.0449896145949283,1,0.360262433984776,0.149597634922069,0.0556003790548549,0.0265764678218369,0.0449896145949283,0.236384504204671,0.0487406146679573,0.0615580038108541,0.0518100599865344,0.0354089802945808
"Btg2",0.229799962727756,0.494461546166294,0.968898973953595,0.329546022815087,0.181930000028309,0.150350716789245,0.229799962727756,1,0.470047487288716,0.185191379056265,0.215337898017474,0.148607281359465,0.344442388719617,0.452795600328214,0.780906601174377,0.414800419225614,0.310393929139982,0.162582896656387,0.344442388719617,1,0.429955097891091,0.36334064835185,0.273310386913939,0.125714783276092
"Arc",0.598542152884805,0.712584360207061,1,0.86361748378128,0.114887320987151,0.26918703860453,0.598542152884805,0.951411782281759,0.641634435435988,0.965790950847091,0.205621176245414,0.077446325485238,0.656831729674756,0.575617825529177,0.27974756475076,0.644933751526487,0.19307488948151,0.0910972013935241,0.656831729674756,0.981320264809646,0.371266926834738,1,0.290792895086836,0.337146530308411
"Gdf15",0.70805613091001,0.525803079866222,0.729496848228177,0.171819881589052,0.838099385615058,0.418925005324547,0.70805613091001,0.895550834247348,0.346718739529791,0.119077428961732,1,0.451974802786677,0.353545242616893,0.714397686908812,0.503913407634019,0.190489808688942,0.942395028382946,0.208847838519394,0.353545242616893,0.278639695991091,0.383022006150327,0.131631524044946,1,0
"Jun",0.336414928228615,0.520064916388146,1,0.405892594981052,0.22838037837009,0.270755118441062,0.336414928228615,0.739258575584417,0.49697251849303,0.356971549314876,0.328394985362822,0.175043733718091,0.676957369076773,0.646184036667028,0.802578432671058,0.501462701207183,0.616751631687314,0.381415856494504,0.676957369076773,1,0.480911528473737,0.500011351689522,0.779281034699061,0.38408717809599
