"",Control_Lps_0,Control_Lps_0.5,Control_Lps_1,Control_Lps_2,Control_Lps_4,Control_Lps_8,Control_Tnf_0,Control_Tnf_0.5,Control_Tnf_1,Control_Tnf_2,Control_Tnf_4,Control_Tnf_8,Mutant_Lps_0,Mutant_Lps_0.5,Mutant_Lps_1,Mutant_Lps_2,Mutant_Lps_4,Mutant_Lps_8,Mutant_Tnf_0,Mutant_Tnf_0.5,Mutant_Tnf_1,Mutant_Tnf_2,Mutant_Tnf_4,Mutant_Tnf_8
Gda,1,0.95021465307139,0.388119591833943,0.897525159992514,0.620206643604501,0.53188170534636,1,0.792667027879785,0.352164902286086,0.898469850711263,0.377262869439349,0.393492256185197,0.247868965089778,0.563468598125262,0.316155659078962,0.863911526730133,0.625045614215576,0.480448079223019,0.247868965089778,0.409020398810083,0.478327951342664,0.947376180098135,1,0.731567777879858
Rab20,0.171958997585487,0.893373545436222,0.783125536147171,0.498925257795949,0.464605350426905,0.364938441952755,0.171958997585487,1,0.680956924550827,0.245184742758774,0.31677480765325,0.100221961851806,0.351937090617081,0.842149119124773,0.604825663182394,0.712156822283571,0.848337267951015,0.722171526623612,0.351937090617081,1,0.75252587131737,0.79912753971992,0.319966506782718,0
Cxcl10,0.00867906613922462,0.0711888584327318,1,0.856129132749983,0.268127488324709,0.0442894918955889,0.00867906613922462,0.797775314002136,0.671915245851496,0.181720578564541,0.0220636731589714,0.00498611216238789,0.00748159345697398,0.13889496398191,0.733972727514904,0.91087893025921,0.943308327432557,0.392788447717359,0.00748159345697398,0.719369343328927,1,0.702738895102278,0.222763939743659,0.0110406978508514
Gadd45b,0.0911784114959654,0.214445450093661,1,0.546006095117917,0.223246953281851,0.099517632453796,0.0911784114959654,0.727509156099615,0.555219023256056,0.169415314041039,0.141753992714641,0.0816706705117055,0.202137913961809,0.204494156551047,0.50354155390893,1,0.497392806140266,0.131286083950623,0.202137913961809,0.616391783055598,0.593339819819951,0.578928624930677,0.232846255739099,0.062470764828551
Irf1,0.0368887769969043,0.192966226806669,0.457399569539268,0.26211826189264,0.106023563306976,0.0549404008815291,0.0368887769969043,1,0.558673669969501,0.0816601837595883,0.0444709572890106,0.0300520566132721,0.0571777816332331,0.164377547149596,0.613850327630239,0.589329792461574,0.356516471453807,0.190129158363394,0.0571777816332331,1,0.808643851445483,0.454986752281403,0.0778063329890682,0.0571062168019551
Itpkc,0.184076048389862,0.177787079030411,0.531232698347431,0.380997469589633,0.212848756599518,0.200773343456766,0.184076048389862,1,0.616951518405617,0.251688316837257,0.222834692280217,0.188101317564226,0.26788813832237,0.219979219625326,0.479713994181403,0.507037384827227,0.375233648333666,0.188705878955315,0.26788813832237,1,0.531873585798234,0.361504529165042,0.25680034592167,0.317584451146508
Pim1,0.106260973984673,0.378709648536258,1,0.712456517479624,0.276872998682306,0.119411880632152,0.106260973984673,0.716722451795348,0.681166414870433,0.192049345342333,0.150561477392969,0.0568184416356153,0.137389121535601,0.484385313657765,0.714308179210571,1,0.526439161471599,0.219805952281412,0.137389121535601,0.53839481260281,0.753522304123537,0.595447611341883,0.170014282265308,0.101373576871817
Zbtb10,0.329074526330994,0.434285880307469,0.740500920480534,0.736565084447952,0.419746096402391,0.411186604686559,0.329074526330994,0.809138299842084,1,0.47450399279898,0.274324480339209,0.436800890953528,0.239626581711882,0.313039083820824,0.86180716875988,0.422302173779393,0.281161001216162,0.276878242908354,0.239626581711882,0.636070223527568,1,0.38381355685992,0.242258631861724,0.215001253164087
Rhof,0.356550206903248,0.469372949439697,1,0.591233490751933,0.527543820859369,0.395540138357677,0.356550206903248,0.417143019749606,0.645999295540993,0.439727756867431,0.956767922121518,0.455194729382623,0.262013783466925,0.397082222337731,0.441352632822889,0.675612464524465,1,0.206370616800718,0.262013783466925,0.321223755008716,0.591373187486262,0.53653954896372,0.476423981785151,0.51554347482312
Sdc4,0.152650913659625,0.598244836479152,0.708070497942126,0.619386375943118,0.27367061886722,0.123159120299994,0.152650913659625,1,0.353119184110654,0.222546984693491,0.167993409982541,0.0664376898030305,0.237294159008506,0.598660863542109,0.501359886917418,0.662852354627183,0.42847387117142,0.183052678690624,0.237294159008506,1,0.383349427912235,0.491116864104203,0.354064031867171,0.123592408793264
Sik1,0.251322444117393,0.291924790027539,0.766182509516968,0.634329635011756,0.561952584915528,0.454736040246327,0.251322444117393,0.976567475987887,1,0.263316064112221,0.291834817854543,0.234206450075989,0.263726169358333,0.304592815598579,0.939181130889032,0.811318814080738,0.865063903481438,0.634465346847113,0.263726169358333,0.845370726028941,1,0.709701334977153,0.465357764790774,0.393369379879527
Ccl7,0.162555241576633,0.236343048870831,1,0.912875144944456,0.701680564799889,0.736214487143763,0.162555241576633,0.986032152369334,0.732827037655447,0.379969619730576,0.232212391099175,0.389829698780496,0.138050273009456,0.197177178804206,0.696983055597272,0.803394407943195,1,0.767926145984932,0.138050273009456,0.682600479393525,0.717532800816669,0.624127139068257,0.471158842201503,0.239293476665212
Serpina3g,0.195493818864377,0.163095649559638,0.349040590094027,1,0.658697360463947,0.72208420774965,0.195493818864377,0.472043688417862,0.57110937478491,0.571614912829494,0.12471531949849,0.0893382506136571,0.123904582501851,0.150102438454161,0.248491890889106,0.733141344298942,0.959556166929613,1,0.123904582501851,0.242577386802912,0.371925283056477,0.760296492082307,0.604142360621603,0.195658814330762
Klf10,0.270210232937555,0.303073450875777,0.686618262614052,0.727742703612709,0.281830063308222,0.217761857133877,0.270210232937555,1,0.745833410187954,0.383103870383118,0.166852937479427,0.167069516702714,0.233990252795419,0.18367110317734,0.530350650217887,1,0.531247630644158,0.372140936219139,0.233990252795419,0.786836452190541,0.877497033757361,0.908717759636795,0.290191222674315,0.240826615934238
Rel,0.175196334051501,0.489613004262035,0.620999010313685,0.784369210322495,0.332782021431283,0.15092342487175,0.175196334051501,0.754360902899918,1,0.167893513114407,0.101599515027588,0.12276683919559,0.183789148717047,0.621540537065065,0.816037200145195,0.677145129922535,0.315466210826997,0.22558174430075,0.183789148717047,1,0.933616539148983,0.400874893109949,0.154716129112663,0.184831651691043
Icam1,0.0739088197047791,0.244113573368544,0.569915361397799,0.908065418502992,0.381409909094918,0.173177233129415,0.0739088197047791,0.767934040931601,1,0.228554086952061,0.154379105499706,0.0608468516602883,0.0413967936682665,0.136130053587317,0.358024590945315,1,0.897859248317996,0.297661395043386,0.0413967936682665,0.486112755273749,0.772183744033614,0.635501562507425,0.285603208503854,0.0561208275913129
Jak2,0.287294915381036,0.29900687566012,0.430949877261719,1,0.4514591983775,0.493941853099357,0.287294915381036,0.324475857150253,0.772940762647128,0.552346524882217,0.261173450382147,0.330944277509735,0.193664682422103,0.207753962552623,0.438651145552336,1,0.742065610604815,0.839788135487058,0.193664682422103,0.242344531385867,0.737731898155955,0.757789340651446,0.348483992745335,0.208570092482272
Nfkb1,0.152221906631623,0.164682148604714,0.288119709548158,0.848096344692556,0.342796896428826,0.259757260379883,0.152221906631623,0.213562714781396,1,0.362741404397821,0.1397678850392,0.161766430502448,0.108817225140086,0.142028520849257,0.31009896349578,0.672777825416491,0.339439475309526,0.329220202364414,0.108817225140086,0.18042259122635,1,0.527857974417009,0.142573025270323,0.152916896415562
Nfkbie,0.0374260921585815,0.232887007521074,0.580253702747622,0.748933722450804,0.313951155441646,0.125157994414554,0.0374260921585815,0.64779104581582,1,0.216646046114594,0.0815844353495376,0.0280450970449122,0.0572616453346839,0.20686663822039,0.443453320830842,0.945874787733509,0.739621091166411,0.301574190842182,0.0572616453346839,0.538695280646514,1,0.858376014087526,0.237569106689296,0.028564007283854
Ripk2,0.0599124461228641,0.0990203160505855,0.242002625222634,1,0.352192168313828,0.100557035658054,0.0599124461228641,0.588354453169974,0.879676220713895,0.247196027508555,0.068393787265462,0.0523130697880849,0.0339549913888721,0.0641520113928578,0.277444309739006,1,0.578105463297226,0.207801351256704,0.0339549913888721,0.42728325493371,0.78390927578664,0.763455215413623,0.131713963928998,0.029396623976402
Trim47,0.279424262142042,0.202111064303495,0.524161339505704,1,0.454425551628393,0.328214349790118,0.279424262142042,0.561308360266111,0.989987999983276,0.669342829745569,0.303438412682936,0.170871070024601,0.237539968527708,0.112361178298864,0.308909535061161,0.896568878213463,1,0.438821036823508,0.237539968527708,0.432290524303333,0.741620968746511,0.736870874063812,0.445011411557561,0.186955326034758
B4galt5,0.745976911333508,0.612852120841128,0.60328291980481,1,0.585333462831433,0.699414854255561,0.745976911333508,0.566107868664631,0.473695623909188,0.882230254660056,0.425670681733532,0.308749516232697,0.476850573113258,0.477326201055222,0.358102970986784,1,0.952967105696612,0.817112436639719,0.476850573113258,0.44747482003207,0.441729901402115,0.98001270642837,0.600535470515702,0.438098319928758
Flt1,0.238426593869952,0.266600836268515,0.439367567970529,1,0.513433938692743,0.490291425847934,0.238426593869952,0.291866974281137,0.917189200664834,0.676143897285146,0.201592434340087,0.250059234291936,0.122387942348631,0.105124952243068,0.222222942974391,1,0.892042264481015,0.541171938997217,0.122387942348631,0.154897770560059,0.768342638859481,0.8866704056592,0.307351679388888,0.221202750159003
Nfkb2,0.14691162627933,0.206519863666298,0.490824069395351,0.800468635383528,0.414347789623482,0.310769603771471,0.14691162627933,0.675812315479733,1,0.351804504699151,0.194276344627664,0.0956714166580886,0.21301995619797,0.270999314532507,0.538916935419931,0.83242399585562,0.843992113804994,0.503980772271021,0.21301995619797,0.734587267997813,1,0.72305156673094,0.383420249723854,0.235270748251052
Wnt11,0.41209208408343,0.260812439597524,0.265356678124762,1,0.457291767837057,0.342866776120033,0.41209208408343,0.53750287177268,0.807167916362672,0.851857218608709,0.5092542212855,0.394577273543652,0.267250807596413,0.0540025252095603,0.249327253871679,0.728200539334592,0.388566701026824,0.347317522394215,0.267250807596413,0.196586546270918,0.608018858909576,1,0.388757239273873,0.210339178610322
Bcl3,0.12865027286425,0.158829756516126,0.423662836065194,1,0.530888689560228,0.375369471219082,0.12865027286425,0.873768680556797,0.844851094211393,0.311693482938747,0.100803401504838,0.0911211950307509,0.0876448182840123,0.0956796259448167,0.285837311205132,1,0.547518440492542,0.455435183975834,0.0876448182840123,0.429380528061462,0.470737539179532,0.620661164729353,0.189753606075569,0.144684027088383
Ccl2,0.0443342310349532,0.117820702180818,0.725257192166762,1,0.524895594129211,0.617058233660967,0.0443342310349532,0.963584261335861,0.800602131684835,0.348245780655075,0.0788020176731473,0.0774452376307143,0.0405133335117683,0.0847511795940939,0.346578108797653,0.749743592975115,1,0.767967809858072,0.0405133335117683,0.534823867896731,0.64614005497237,0.642896251202435,0.330971093688865,0.138362172716019
Kcnk10,0.0672803402585192,0,0.144411797618919,1,0.179183713111663,0.111956498324909,0.0672803402585192,0.0319111166915136,0.864822767531435,0.707179980858151,0.14253179371256,0.0644207793540656,0.031155536703142,0.0236081277643358,0.0968868217705996,1,0.135894864726567,0.0368086780079443,0.031155536703142,0.00818487351260051,0.556926534662406,0.826485079583078,0.13218479397092,0
Tmem132e,0.0523631501215381,0.0397686676032674,0.157350561138345,0.921233027869306,0.488094779475256,0.29044615937549,0.0523631501215381,0.161433233220582,1,0.693486624941308,0.138662603417754,0.0501376022669011,0.0317592464808396,0.033090185194811,0.0277774384294127,0.486770988687236,1,0.450263163928841,0.0317592464808396,0.0531896477449499,0.470948102034515,0.435661245336244,0.202119264999761,0.140602765860851
Tnip1,0.216466478467667,0.291799548794527,0.535442400274451,0.912917829535812,0.705643694234072,0.471009824917718,0.216466478467667,0.496514484179459,1,0.309611940125385,0.314075050195304,0.214597140173056,0.171635611321689,0.229327549293152,0.279444546731339,0.86216217487824,1,0.661234966806101,0.171635611321689,0.306157315324198,0.732329606731407,0.639031568673707,0.321133886456447,0.171304002710215
Cd274,0.193801505530102,0.561990568376145,0.423542483581575,0.961950461349373,0.79767087570306,0.449533607692496,0.193801505530102,0.401106335401384,0.284700368161545,1,0.559859809268235,0.269912028674342,0.122148121053368,0.222980194208313,0.369062318812381,0.665397907089262,0.889998474049579,0.491971966182081,0.122148121053368,0.148778788174469,0.324815390407508,1,0.272582110793193,0.131095115971084
Gsap,0.245218688461144,0.273991161961454,0.347564168086763,1,0.902499779428697,0.609540935324508,0.245218688461144,0.330391899542847,0.675896280948171,0.817104921503494,0.291442657869896,0.276184193483908,0.109628135832726,0.213369642567132,0.20507070577648,0.693133210364659,0.90204568607276,1,0.109628135832726,0.187714388078256,0.494667203393199,0.850311528268641,0.347577792436921,0.157673769790358
Slco2a1,0.352715375193992,0.382300556622951,0.356091542257746,1,0.450014436477931,0.534823014220212,0.352715375193992,0.459005384927287,0.593658983647385,0.710921191079464,0.26284088840542,0.325844458152178,0.123072212367222,0.243439837613564,0.527492705588315,0.625588775198068,0.636165281851814,0.365397216495642,0.123072212367222,0.423259339413203,1,0.548972474252392,0.619039500561771,0.245304232249826
Egln3,0.167487085417478,0.229463837149506,0.524443345870888,0.908493298647643,0.699699379548127,0.590195687559108,0.167487085417478,1,0.882862602963771,0.265102698137453,0.0626148334753854,0.0377337693487438,0.222213716774152,0.161906332022564,0.408641164002334,0.882175518417825,0.59646546974234,0.363508858787653,0.222213716774152,0.862194950656528,1,0.665852284573405,0.404054864412059,0.302699132744175
Glrx,0.645013696826241,0.598734643945621,0.953745741665814,1,0.731666828539294,0.477032036340916,0.645013696826241,0.713837805990599,0.526413858497395,0.587574323226056,0.569352545536586,0.308799605381988,0.40753471137817,0.372155263704596,0.292463706972364,0.470527024833503,0.615320770721682,1,0.40753471137817,0.304719124780201,0.322643995550591,0.411429365803961,0.627022917166655,0.370095376313479
