"","gene","Sample","Genotype","Stimuli","Time","rpkm","Species"
"1","Egr4","Control_Lps_0","Control","Lps","0",0.0410751920342613,"caRNA"
"2","Fosb","Control_Lps_0","Control","Lps","0",0.635083134422559,"caRNA"
"3","Gm17024","Control_Lps_0","Control","Lps","0",19.9003474542774,"caRNA"
"4","Fos","Control_Lps_0","Control","Lps","0",7.08987153934232,"caRNA"
"5","Rgs1","Control_Lps_0","Control","Lps","0",3.2512962713885,"caRNA"
"6","Atf3","Control_Lps_0","Control","Lps","0",5.44778326885604,"caRNA"
"7","Egr1","Control_Lps_0","Control","Lps","0",10.1924369914383,"caRNA"
"8","Nr4a1","Control_Lps_0","Control","Lps","0",3.63759509860086,"caRNA"
"9","Zfp36","Control_Lps_0","Control","Lps","0",8.81310420515469,"caRNA"
"10","Egr2","Control_Lps_0","Control","Lps","0",1.29825651102992,"caRNA"
"11","Ppp1r15a","Control_Lps_0","Control","Lps","0",9.8233062935298,"caRNA"
"12","Frat2","Control_Lps_0","Control","Lps","0",0.204708845683511,"caRNA"
"13","Egr3","Control_Lps_0","Control","Lps","0",2.67928604311618,"caRNA"
"14","Dusp1","Control_Lps_0","Control","Lps","0",10.2721790588551,"caRNA"
"15","Ier2","Control_Lps_0","Control","Lps","0",5.79694563006526,"caRNA"
"16","Tnfsf9","Control_Lps_0","Control","Lps","0",1.21943228644153,"caRNA"
"17","Btg2","Control_Lps_0","Control","Lps","0",27.0510463010383,"caRNA"
"18","Arc","Control_Lps_0","Control","Lps","0",2.1357487485214,"caRNA"
"19","Gdf15","Control_Lps_0","Control","Lps","0",0.714601883015065,"caRNA"
"20","Jun","Control_Lps_0","Control","Lps","0",19.7541147436719,"caRNA"
"21","Ier3","Control_Lps_0","Control","Lps","0",7.48897718744559,"caRNA"
"22","Junb","Control_Lps_0","Control","Lps","0",12.6110661873712,"caRNA"
"23","Dusp8","Control_Lps_0","Control","Lps","0",1.84792818766705,"caRNA"
"24","Cxcl1","Control_Lps_0","Control","Lps","0",8.42297745900651,"caRNA"
"25","Nfkbiz","Control_Lps_0","Control","Lps","0",25.231038346466,"caRNA"
"26","Cxcl2","Control_Lps_0","Control","Lps","0",0.981276009313659,"caRNA"
"27","Pcdh10","Control_Lps_0","Control","Lps","0",0.399831627596344,"caRNA"
"28","Ifrd1","Control_Lps_0","Control","Lps","0",18.4652410911986,"caRNA"
"29","Zbtb10","Control_Lps_0","Control","Lps","0",3.29640881570237,"caRNA"
"30","Mir17hg","Control_Lps_0","Control","Lps","0",6.5872712944719,"caRNA"
