gene,minScore,k1,k2,k_1,k_2,k_3,Kd1,Kd2,Kd3,n1,n2,n3,kp,kt,kdeg,nfkb_input,k2_0,KdA,nA,TS
Acpp,0.0764384939587401,1,1,0.252596067355282,0.001,0,0.00919085419964865,3.42949880568807,0.5,3,3,3,1,1,0.00393271348453926,0.02,0,0.5,3,480
Adtrp,0.100276239146214,1,0.0196813016599128,0.00948919282063667,0.0473837222315461,0.00673449688791343,2.1051556743803,0.0199926286225402,7.20871801041197,3,3,3,1,1,0.00454273657836052,0.02,0,0.5,3,120
Angptl4,0.118604945114979,1,1,0.00421578279272473,0.00100072457585518,0,4.71493268356952,0.00102189769933919,0.5,3,3,3,1,1,0.187018011136796,0.02,0,0.5,3,480
B4galt5,0.199795306378234,1,0.0451712959839024,0.00311513484653161,5.60834178891997,0.0378387906690567,2.72876912436861,0.0167521476144657,20.8733924752454,3,3,3,1,1,0.00676885221965734,0.02,0,0.5,3,120
Bcl3,0.0819718974502235,1,0.736726872768115,162.166633856364,0.0158922340441274,0.903330114163976,915.878070993482,0.00243862746525694,0.124715066784716,3,3,3,1,1,0.0217607280689812,0.02,0,0.5,3,120
Bdkrb2,0.120762206552081,1,1,5.61024429893044,601.199201675993,0,0.00664564411560767,34.2122956153662,0.5,3,3,3,1,1,0.00137543237769326,0.02,0,0.5,3,480
Ccl1,0.0670361971000595,1,0.00816682327862939,0.001,0.0240920634874391,0.0314097421009895,1.90155204330456,0.0597304339144053,10.4803453426777,3,3,3,1,1,0.0107023364146697,0.02,0,0.5,3,120
Ccl2,0.0216953380202301,1,1,191.213876041001,0.0139505124429329,0,0.00822194988176493,0.310741032158046,0.5,3,3,3,1,1,0.0201141943570177,0.02,0,0.5,3,480
Ccl5,0.0334960055255132,1,0.0527657481670895,0.001,0.00360899870256,0.0113853383744147,2.49927745640865,210.615011681935,0.00537608578003089,3,3,3,1,1,0.00815173777012796,0.02,0,0.5,3,120
Ccl7,0.0348475565354946,1,0.0706100808954792,0.0234139942643198,0.0963328857336158,189.737190664272,2.95583898399416,0.0137115413919807,0.00285529270548317,3,3,3,1,1,0.00894377495196408,0.02,0,0.5,3,120
Cd274,0.152871490491531,1,1,0.0248875863016093,0.001,0,0.0720908944180761,3.57984826304178,0.5,3,3,3,1,1,0.0266469861575119,0.02,0,0.5,3,480
Cebpb,0.104647724397283,1,1,0.00587837945379009,448.7554737669,0,3.44991893249098,0.00101195285768672,0.5,3,3,3,1,1,0.0276892503116973,0.02,0,0.5,3,480
Cgn,0.0773422659471772,1,1,130.800546762296,0.00840197660565705,0,0.0062830464596544,0.195809401486684,0.5,3,3,3,1,1,0.0147974026131169,0.02,0,0.5,3,480
Cx3cl1,0.056006176739964,1,1,0.143481411959459,0.00914420084877891,0,0.0348129279149472,334.42177534089,0.5,3,3,3,1,1,0.00781250719996643,0.02,0,0.5,3,480
Cxcl10,0.132395712132488,1,1,0.001,176.175758178716,0,1.85276849977703,0.124768263076121,0.5,3,3,3,1,1,0.0104647732077822,0.02,0,0.5,3,480
Egln3,0.0605614184601841,1,5.94748287983684,23.6976428415882,0.00102504691204534,10.9855815648403,0.0891037930870708,0.00275472833090548,0.00310078362533381,3,3,3,1,1,0.00551802292720125,0.02,0,0.5,3,120
Exoc3l4,0.107397342478783,1,1,0.00104725498111394,24.0634121876178,0,895.797972190104,0.00263578449422475,0.5,3,3,3,1,1,1.38629436111989,0.02,0,0.5,3,480
Flt1,0.134316080767181,1,0.00346140002787122,76.6354914149477,0.0121041356453781,5.28934882890221,0.0416714830782952,0.00963406199250555,3.42579441393568,3,3,3,1,1,0.00324161390971685,0.02,0,0.5,3,120
