gene,minScore,k1,k2,k_1,k_2,k_3,Kd1,Kd2,Kd3,n1,n2,n3,kp,kt,kdeg,TS
Acpp,0.076438494,1,1,0.252596067,0.001,0,0.009190854,3.429498806,0.5,3,3,3,1,1,0.003932713,NA
Adtrp,0.100276239,1,0.019681302,0.009489193,0.047383722,0.006734497,2.105155674,0.019992629,7.20871801,3,3,3,1,1,0.004542737,120
Angptl4,0.118604945,1,1,0.004215783,0.001000725,0,4.714932684,0.001021898,0.5,3,3,3,1,1,0.187018011,NA
B4galt5,0.199795306,1,0.045171296,0.003115135,5.608341789,0.037838791,2.728769124,0.016752148,20.87339248,3,3,3,1,1,0.006768852,120
Bcl3,0.081971897,1,0.736726873,162.1666339,0.015892234,0.903330114,915.878071,0.002438627,0.124715067,3,3,3,1,1,0.021760728,120
Bdkrb2,0.120762207,1,1,5.610244299,601.1992017,0,0.006645644,34.21229562,0.5,3,3,3,1,1,0.001375432,NA
Ccl1,0.067036197,1,0.008166823,0.001,0.024092063,0.031409742,1.901552043,0.059730434,10.48034534,3,3,3,1,1,0.010702336,120
Ccl2,0.021695338,1,1,191.213876,0.013950512,0,0.00822195,0.310741032,0.5,3,3,3,1,1,0.020114194,NA
Ccl5,0.033496006,1,0.052765748,0.001,0.003608999,0.011385338,2.499277456,210.6150117,0.005376086,3,3,3,1,1,0.008151738,120
Ccl7,0.034847557,1,0.070610081,0.023413994,0.096332886,189.7371907,2.955838984,0.013711541,0.002855293,3,3,3,1,1,0.008943775,120
Cd274,0.15287149,1,1,0.024887586,0.001,0,0.072090894,3.579848263,0.5,3,3,3,1,1,0.026646986,NA
Cebpb,0.104647724,1,1,0.005878379,448.7554738,0,3.449918932,0.001011953,0.5,3,3,3,1,1,0.02768925,NA
Cgn,0.077342266,1,1,130.8005468,0.008401977,0,0.006283046,0.195809401,0.5,3,3,3,1,1,0.014797403,NA
Cx3cl1,0.056006177,1,1,0.143481412,0.009144201,0,0.034812928,334.4217753,0.5,3,3,3,1,1,0.007812507,NA
Cxcl10,0.132395712,1,1,0.001,176.1757582,0,1.8527685,0.124768263,0.5,3,3,3,1,1,0.010464773,NA
Egln3,0.060561418,1,5.94748288,23.69764284,0.001025047,10.98558156,0.089103793,0.002754728,0.003100784,3,3,3,1,1,0.005518023,120
Exoc3l4,0.107397342,1,1,0.001047255,24.06341219,0,895.7979722,0.002635784,0.5,3,3,3,1,1,1.386294361,NA
Flt1,0.134316081,1,0.0034614,76.63549141,0.012104136,5.289348829,0.041671483,0.009634062,3.425794414,3,3,3,1,1,0.003241614,120
Fpr1,0.014967729,1,0.051792329,0.001,0.001971013,0.011383659,37.3940829,215.2738881,0.005378978,3,3,3,1,1,0.038056594,120
Gadd45b,0.152473481,1,1,0.139150152,0.063494165,0,0.062210584,17.3352203,0.5,3,3,3,1,1,0.019588775,NA
Gbp2,0.050444855,1,1,82.98841653,0.004083304,0,0.679524394,0.113447101,0.5,3,3,3,1,1,0.009007354,NA
Gch1,0.059806743,1,0.040865296,0.022544374,0.00707619,9.070036358,0.035862065,229.8629247,0.063724556,3,3,3,1,1,0.008289475,120
Gda,0.371959452,1,1,3.661105715,0.013967934,0,0.036290118,0.04305701,0.5,3,3,3,1,1,0.003872355,NA
Glrx,0.052685261,1,1,2.652529685,6.422018758,0,0.00107298,0.052837143,0.5,3,3,3,1,1,0.000812023,NA
Gm16685,0.061269474,1,65.17278439,0.017548919,0.001141767,225.4563229,138.5731951,850.9247195,0.127398148,3,3,3,1,1,0.012143191,120
Gsap,0.078101834,1,0.30858822,139.6592817,0.010018379,0.491941431,0.264041577,0.001003681,21.03018916,3,3,3,1,1,0.004764179,120
Hivep3,0.095643102,1,1,0.013714978,34.8643339,0,253.2311492,0.006407874,0.5,3,3,3,1,1,0.017243888,NA
Icam1,0.05031664,1,0.047498301,0.013227195,0.147073235,0.037352127,2.322657323,0.034919087,21.13970128,3,3,3,1,1,0.005785935,120
Il1r1,0.151927072,1,1,0.004863551,323.2186274,0,2.489146405,0.001529558,0.5,3,3,3,1,1,0.0117031,NA
Il1rap,0.032825457,1,0.003220109,101.0181043,0.001,5.546526804,0.04145301,0.019634056,3.961003122,3,3,3,1,1,0.003801581,120
Il1rl1,0.064214167,1,1,0.047758518,0.010015981,0,2.350981892,0.020408653,0.5,3,3,3,1,1,0.006141021,NA
Il34,0.058752567,1,1,0.001000177,0.010256206,0,3.796116085,0.00110675,0.5,3,3,3,1,1,0.016365627,NA
Irf1,0.155869762,1,1,0.08913484,188.0623058,0,2.607735747,0.001112581,0.5,3,3,3,1,1,0.0302972,NA
Itgal,0.01703209,1,3.88411518,0.001038814,0.001113353,552.2420082,2.678067039,807.1389572,81.68907535,3,3,3,1,1,0.010916045,120
Itpkc,0.183417434,1,1,0.111188399,163.5134627,0,2.400511297,0.019136341,0.5,3,3,3,1,1,0.013687782,NA
Jak2,0.131831528,1,1,0.011803996,32.55444327,0,255.3489595,0.004539208,0.5,3,3,3,1,1,0.022111816,NA
Kcnk10,0.142959732,1,1,42.3097535,0.013875179,0,115.4494205,0.664123272,0.5,3,3,3,1,1,0.001047122,NA
Kcnn3,0.036509613,1,0.052044284,5.643077493,0.001,0.338450635,0.040273001,93.84595122,0.001011851,3,3,3,1,1,0.012727613,120
Klf10,0.18362003,1,7.669833947,2.360097896,0.083531806,894.5735506,138.9517615,0.006353936,0.014481883,3,3,3,1,1,0.031304394,120
Lcn2,0.023157776,1,3.652371638,0.001,0.001897863,552.2419969,5.976412758,809.1099347,4.824246731,3,3,3,1,1,0.030934312,120
Mir155hg,0.106374996,1,1,0.020377128,31.77435119,0,447.4712834,0.001219536,0.5,3,3,3,1,1,0.087543557,NA
Mmp1b,0.085725133,1,7.286651341,8.77460072,0.002748913,0.401031902,3.416930277,37.73852744,0.001000019,3,3,3,1,1,0.000844987,120
Mmp3,0.016080458,1,1,0.001,0.001,0,154.7724045,0.003161567,0.5,3,3,3,1,1,0.002528514,NA
Mmp9,0.091377323,1,5.365026077,168.4034945,0.003774498,0.001,0.718681705,0.012798753,0.002369577,3,3,3,1,1,0.002185401,120
Nfkb1,0.120461809,1,1,0.025538182,32.53723904,0,320.9859271,0.001009389,0.5,3,3,3,1,1,0.006238628,NA
Nfkb2,0.06823839,1,1,0.010494273,1.330461476,0,2.222503238,0.023665119,0.5,3,3,3,1,1,0.009833263,NA
Nfkbie,0.063997126,1,0.006166992,0.010276728,0.128803376,0.037565844,1.97028809,0.034237342,21.02313741,3,3,3,1,1,0.008317032,120
Pdgfb,0.131835076,1,1,0.001,0.19771691,0,2.252298835,0.173881944,0.5,3,3,3,1,1,0.00958903,NA
Pilra,0.099677228,1,1,0.001,0.001,0,158.8242925,0.002624629,0.5,3,3,3,1,1,0.005067336,NA
Pim1,0.102290035,1,1,1.024698548,0.056283354,0,1.890447912,0.006431277,0.5,3,3,3,1,1,0.03965249,NA
Ptger2,0.070453636,1,1,78.75295117,0.003418087,0,1.041520477,0.026510322,0.5,3,3,3,1,1,0.01778744,NA
Ptges,0.036711936,1,30.47108605,0.003175542,0.010629091,6.311203011,11.56612195,4.195343632,1.237198281,3,3,3,1,1,0.003587047,120
Rab11fip1,0.090132398,1,1,0.016583989,24.52695487,0,789.2480852,0.002884924,0.5,3,3,3,1,1,0.01672642,NA
Rab15,0.10948879,1,1,0.210792109,0.007785883,0,0.009464131,0.205374139,0.5,3,3,3,1,1,0.000717044,NA
Rab20,0.095116286,1,1,0.116730377,185.3852779,0,0.017608588,0.051610512,0.5,3,3,3,1,1,0.006562062,NA
Rbfox1,0.083439839,1,1,0.001,366.4736968,0,440.2720249,0.001815818,0.5,3,3,3,1,1,0.009747924,NA
Rel,0.157509494,1,1,0.046139893,93.19431783,0,2.170877154,0.001568759,0.5,3,3,3,1,1,0.024934228,NA
Rhof,0.177792292,1,1,0.015401102,0.004613692,0,0.002374087,2.988644956,0.5,3,3,3,1,1,0.032899113,NA
Ripk2,0.076086604,1,1,0.016009836,58.3543342,0,331.9369811,0.002003386,0.5,3,3,3,1,1,0.014697784,NA
Sdc4,0.188581615,1,1,21.71256088,34.52056488,0,1.132658307,0.007749411,0.5,3,3,3,1,1,0.006427592,NA
Serpina3g,0.063768519,1,1,126.6742023,0.002944692,0,0.001977868,0.112222452,0.5,3,3,3,1,1,0.015257184,NA
Sik1,0.103708614,1,1,0.013785386,3.00308989,0,1.583779833,0.001000654,0.5,3,3,3,1,1,0.013233487,NA
Slc39a4,0.05797266,1,1,322.9931424,0.001,0,0.052998034,0.017057578,0.5,3,3,3,1,1,0.015047247,NA
Slc6a12,0.413934424,1,1,0.005750094,0.001000002,0,4.043449835,0.002780491,0.5,3,3,3,1,1,0.572618205,NA
Slc7a2,0.102344925,1,651.5220564,0.001,0.004405589,6.746201219,0.109877723,774.1365029,0.014512619,3,3,3,1,1,0.004082347,120
Slco2a1,0.067775639,1,1,127.8934426,0.003177259,0,0.005770491,0.076999179,0.5,3,3,3,1,1,0.005956805,NA
Slco3a1,0.056174039,1,0.003759907,68.01171856,0.003821436,2.741424028,0.035336494,0.022226042,3.725154299,3,3,3,1,1,0.005038702,120
Slfn2,0.141460921,1,1,10.02946227,0.038066147,0,2.331125765,0.003880205,0.5,3,3,3,1,1,0.030189402,NA
Sod2,0.089592713,1,0.051322732,0.001,376.2014038,0.036155476,3.347232043,0.03940578,21.54861556,3,3,3,1,1,0.013311758,120
St3gal1,0.093033404,1,0.073721945,0.006346628,0.094248108,0.026297632,2.271385031,0.021896153,24.45209271,3,3,3,1,1,0.00690824,120
Timp1,0.034904821,1,147.9646794,0.91536001,0.001000341,0.835303644,10.3259663,0.007253548,0.248737976,3,3,3,1,1,0.002103691,120
Tmem132e,0.055710905,1,1,0.001111283,30.06916313,0,339.6461537,0.029037712,0.5,3,3,3,1,1,0.014776549,NA
Tmem158,0.109606226,1,1,3.297066132,6.176605549,0,0.047780004,0.001009234,0.5,3,3,3,1,1,0.001905046,NA
Tnfaip2,0.052186319,1,1,0.014531088,39.66768795,0,325.1606973,0.013165619,0.5,3,3,3,1,1,0.022475739,NA
Tnfsf11,0.078845612,1,1,0.055504968,0.254648672,0,4.021727335,0.001967607,0.5,3,3,3,1,1,0.016519929,NA
Tnip1,0.061861501,1,1,0.001,0.010525466,0,2.81160485,0.753942075,0.5,3,3,3,1,1,0.011338246,NA
Trim47,0.075661028,1,50.58500842,0.003617182,0.003791771,4.290250312,3.309707458,0.702861168,4.312111555,3,3,3,1,1,0.013081564,120
U90926,0.075908339,1,1,1000,0.001000434,0,0.096393537,0.012515624,0.5,3,3,3,1,1,0.014389814,NA
Wnt11,0.107025061,1,1,0.001,0.015866112,0,2.57523206,0.086660031,0.5,3,3,3,1,1,0.015145896,NA
Zbtb10,0.198726665,1,1,0.043888117,183.3468527,0,2.205712174,0.001,0.5,3,3,3,1,1,0.02819554,NA
Zc3h12c,0.106191385,1,1,844.9210015,0.0295096,0,0.003857419,0.036433796,0.5,3,3,3,1,1,0.005267371,NA
